,Napoli scored,Napoli received,Roma scored,Roma received,Inter scored,Inter received,Torino scored,Torino received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Verona scored,Verona received,Lazio scored,Lazio received,Juventus scored,Juventus received,Chievo scored,Chievo received,Parma scored,Parma received,Milan scored,Milan received,Atalanta scored,Atalanta received,Catania scored,Catania received,Sampdoria scored,Sampdoria received,Livorno scored,Livorno received,Sassuolo scored,Sassuolo received,Bologna scored,Bologna received,Udinese scored,Udinese received,Genoa scored,Genoa received
0,3,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,0,0,0,0,0,1,2,1,2,1,2,0,1,0,2,0,2,0,3,1,2,0,2
1,4,2,3,0,3,0,0,2,5,2,1,3,0,3,1,4,4,1,2,4,1,3,3,1,2,0,0,3,2,2,4,1,1,4,2,2,3,1,2,5
2,2,0,3,1,1,1,2,2,1,1,1,1,2,0,3,0,1,1,0,3,1,3,2,2,0,2,0,2,0,3,2,0,0,2,1,1,1,1,3,0
3,2,1,2,0,7,0,2,1,2,0,2,2,1,2,0,2,2,1,2,1,0,0,1,2,0,2,0,0,2,2,0,0,0,7,1,2,1,2,0,0
4,1,1,2,0,2,1,2,2,1,2,1,1,2,2,3,1,2,1,1,2,4,3,3,3,3,4,1,3,0,2,1,1,1,1,3,3,1,0,0,1
5,2,0,5,0,1,1,0,1,2,2,1,1,2,1,2,2,1,0,0,2,2,2,1,0,2,0,2,0,0,1,1,2,2,2,0,5,0,2,0,2
6,4,0,3,0,0,3,2,2,0,0,0,2,4,1,0,0,3,2,0,1,3,1,2,3,1,0,1,1,2,2,0,4,1,3,1,4,2,0,1,1
7,0,2,2,0,3,3,3,3,4,2,2,1,3,2,1,2,2,4,1,2,2,3,1,0,2,1,1,2,2,1,1,2,2,1,1,2,0,1,2,1
8,2,0,1,0,4,2,0,2,2,1,0,2,2,4,2,0,2,0,1,2,3,2,2,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2
9,2,1,1,0,1,1,3,3,1,2,0,3,2,0,1,1,4,0,0,1,0,1,1,1,1,1,0,4,0,2,3,3,1,2,3,0,2,1,1,0
