,Dundee United scored,Dundee United received,Hearts scored,Hearts received,Celtic scored,Celtic received,Inverness C scored,Inverness C received,St Mirren scored,St Mirren received,Dundee scored,Dundee received,Kilmarnock scored,Kilmarnock received,Motherwell scored,Motherwell received,Ross County scored,Ross County received,Aberdeen scored,Aberdeen received,St Johnstone scored,St Johnstone received,Hibernian scored,Hibernian received
0,3,0,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,3
1,0,4,1,1,4,0,1,1,2,0,0,2,1,1,1,1,0,0,0,0,1,1,1,1
2,3,0,2,2,1,1,2,2,1,2,0,3,1,2,2,1,1,1,2,1,1,2,2,1
3,1,3,0,0,4,2,2,4,1,1,0,1,3,1,1,1,1,0,0,0,0,2,2,0
4,0,0,0,1,2,2,1,4,0,0,1,0,0,0,4,1,0,0,0,0,0,0,2,2
5,0,0,0,2,1,2,1,1,2,0,1,2,1,2,2,1,0,0,1,1,2,1,2,1
6,0,3,3,0,2,0,2,2,1,3,0,2,3,1,3,3,1,2,3,3,2,1,2,2
7,0,4,1,3,2,0,4,0,5,4,1,3,3,1,0,2,4,5,2,1,3,1,1,2
8,1,0,0,1,1,0,3,1,1,2,0,3,1,3,0,1,1,3,3,1,2,1,3,0
9,1,1,1,0,5,0,4,1,0,5,1,4,1,2,0,1,3,2,1,1,2,1,2,3
10,1,0,2,2,0,2,1,1,0,1,0,2,2,0,0,4,2,2,2,0,1,1,4,0
11,2,2,0,1,2,2,2,1,1,2,1,0,1,2,3,1,2,1,1,2,1,3,2,1
12,1,2,1,1,1,1,1,1,1,4,1,1,3,0,1,1,0,3,4,1,1,1,2,1
13,3,3,1,0,2,0,1,5,0,1,3,1,3,3,5,1,1,1,0,2,1,1,1,3
14,2,1,0,0,0,1,1,0,3,1,1,3,1,2,0,0,1,2,1,0,2,1,0,1
15,1,2,0,4,4,0,3,2,0,0,0,0,0,0,2,1,0,0,2,3,0,1,1,0
16,3,0,2,0,3,1,3,0,1,1,0,3,1,3,3,2,2,3,0,2,1,1,0,3
17,4,4,2,2,2,0,4,4,0,2,1,1,2,0,3,2,1,1,0,2,2,2,2,3
18,1,2,2,1,4,0,4,1,2,1,1,4,1,1,1,2,0,4,2,0,0,2,1,1
19,1,1,0,1,2,0,2,2,2,2,0,2,1,0,4,1,1,0,1,4,1,1,0,1
20,3,4,2,2,0,1,0,0,4,3,1,3,2,2,2,2,2,2,3,1,0,0,1,0
21,2,2,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,2,2,1,0,0,0
22,3,2,1,4,4,1,3,0,1,4,1,1,2,3,3,2,4,1,0,3,2,3,1,1
23,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,0,0,1,1,0,0
24,1,0,1,0,4,1,1,2,2,1,0,1,1,4,0,1,1,0,1,3,3,1,0,1
25,3,1,1,3,3,1,1,3,0,0,0,2,2,0,0,2,2,0,0,0,3,1,1,3
26,2,6,0,3,6,2,0,3,0,1,0,1,3,0,3,0,1,0,1,0,0,1,1,0
27,2,2,2,3,5,0,3,2,0,1,0,5,1,1,0,3,3,0,1,1,1,0,2,2
28,0,0,0,2,1,2,0,0,2,0,2,2,2,2,2,1,1,0,0,1,2,2,2,2
29,0,0,0,0,2,3,1,1,0,0,1,1,0,2,0,0,3,2,0,0,2,0,0,0
30,1,1,2,0,4,3,2,1,1,1,1,1,1,1,4,1,1,2,3,4,0,2,1,4
31,1,1,0,2,1,1,2,1,1,1,0,3,1,0,3,0,0,1,2,0,1,1,1,2
32,1,0,4,2,3,0,0,0,2,2,2,1,1,2,2,2,2,4,0,1,0,0,0,3
