,Gent scored,Gent received,Anderlecht scored,Anderlecht received,Club Brugge scored,Club Brugge received,Mechelen scored,Mechelen received,St Truiden scored,St Truiden received,Germinal scored,Germinal received,Waregem scored,Waregem received,Lokeren scored,Lokeren received,Roeselare scored,Roeselare received,Standard scored,Standard received,Mouscron scored,Mouscron received,Genk scored,Genk received,Charleroi scored,Charleroi received,Cercle Brugge scored,Cercle Brugge received,Kortrijk scored,Kortrijk received,Westerlo scored,Westerlo received
0,3,1,2,0,2,1,4,1,2,2,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,2,1,3,0,2,1,4
1,2,1,3,2,2,0,1,2,0,0,1,1,2,2,0,2,0,0,1,1,0,0,2,2,0,0,2,3,1,1,1,1
2,1,1,3,0,1,2,2,1,2,1,0,1,2,2,1,2,1,5,5,1,0,0,1,1,1,0,2,2,0,0,0,3
3,4,1,2,0,2,2,3,1,2,1,1,3,0,2,1,4,1,2,1,1,0,0,1,0,1,1,0,0,2,2,0,1
4,0,1,1,1,3,2,0,2,2,0,1,1,2,1,0,0,1,3,1,1,0,0,1,1,3,1,2,3,1,0,1,2
5,5,1,1,2,1,1,0,3,2,1,2,1,0,2,1,2,1,5,3,0,0,0,1,1,0,4,4,0,2,0,0,0
6,1,1,1,1,4,1,3,2,1,0,2,1,0,0,1,3,2,3,3,1,0,0,1,2,2,1,1,2,0,1,1,4
7,1,2,0,0,3,1,2,1,2,4,1,0,1,3,2,1,1,2,1,1,0,0,4,2,1,2,1,1,0,1,2,1
8,1,3,1,0,0,0,0,1,0,2,0,1,3,1,4,1,1,1,2,0,0,0,1,1,1,4,1,0,0,2,2,0
9,0,0,2,4,4,2,2,0,1,2,3,1,2,1,0,2,3,2,1,0,0,0,0,1,3,3,2,3,3,3,1,3
10,0,1,2,0,1,0,2,1,0,0,0,4,4,0,1,1,0,2,0,2,0,0,1,2,0,2,1,1,2,0,2,0
11,2,1,2,0,3,2,0,2,1,2,0,0,1,1,0,2,2,3,1,1,0,0,2,0,1,1,1,1,1,1,1,1
12,0,1,2,0,1,0,0,2,0,1,1,0,2,2,0,2,2,2,0,0,0,0,2,0,2,2,0,2,2,0,2,2
13,2,0,2,0,1,3,0,0,1,4,4,1,0,2,0,0,2,0,3,1,0,0,0,2,0,2,2,1,0,0,1,2
14,2,1,3,1,1,2,1,4,1,1,2,1,4,1,0,1,1,3,1,2,0,0,1,2,0,0,1,1,2,1,1,0
15,3,1,1,0,1,0,0,2,2,0,3,0,1,0,0,1,0,3,0,2,0,0,0,0,0,1,1,3,0,1,2,0
16,5,2,3,1,1,0,2,5,0,0,2,2,0,1,0,1,0,0,2,2,0,0,0,0,0,0,1,3,1,0,0,0
17,2,1,2,0,1,1,1,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,2,0,0,2
18,1,0,3,2,2,3,1,0,2,1,0,1,2,2,0,1,1,2,3,2,0,0,2,2,2,3,0,0,1,1,1,1
19,2,2,2,2,2,1,2,5,5,2,1,0,1,0,0,2,0,3,2,0,0,0,0,1,3,0,1,2,0,0,0,1
20,4,0,2,1,4,1,1,0,0,0,0,2,1,2,2,0,0,4,0,2,0,0,0,0,0,1,2,0,1,4,0,0
21,2,2,4,0,2,1,2,1,2,1,1,4,0,0,1,2,1,2,0,4,0,0,3,1,1,3,4,1,2,2,1,2
22,0,0,0,0,0,2,0,0,0,2,0,3,2,0,1,4,4,1,0,0,0,0,2,0,0,1,1,0,3,0,0,0
23,0,2,5,0,0,0,1,2,0,1,0,5,2,0,1,4,1,1,3,1,0,0,1,1,4,1,2,1,1,3,1,0
24,0,0,1,2,1,1,1,2,2,1,1,1,1,1,2,1,0,2,0,1,0,0,1,0,1,2,2,0,2,1,1,1
25,1,1,2,0,1,1,2,1,0,0,1,1,1,1,0,4,0,2,1,0,0,0,1,2,0,2,4,0,2,0,0,1
26,0,1,2,0,2,1,0,2,1,0,0,0,1,1,1,3,1,1,1,2,0,0,3,1,0,4,1,3,3,1,4,0
27,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1
28,2,1,2,0,1,0,0,0,2,0,0,2,1,1,1,3,0,1,1,1,0,0,0,2,1,2,1,2,3,1,2,1
29,2,0,4,0,4,1,2,1,1,3,1,4,1,2,0,4,0,0,0,2,0,0,1,1,0,0,3,1,1,1,0,0
