,Anderlecht scored,Anderlecht received,Mechelen scored,Mechelen received,Genk scored,Genk received,Gent scored,Gent received,Kortrijk scored,Kortrijk received,St Truiden scored,St Truiden received,Cercle Brugge scored,Cercle Brugge received,Charleroi scored,Charleroi received,Standard scored,Standard received,Waregem scored,Waregem received,Germinal scored,Germinal received,Club Brugge scored,Club Brugge received,Westerlo scored,Westerlo received,Lierse scored,Lierse received,Lokeren scored,Lokeren received,Eupen scored,Eupen received
0,4,1,2,0,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,0,1,0,1,0,1,0,2,1,4
1,4,1,4,1,6,1,1,4,2,1,2,4,1,1,1,1,5,2,2,3,1,2,4,2,1,1,1,5,1,3,1,5
2,8,1,5,1,11,1,3,5,4,1,2,6,4,2,1,6,8,5,3,4,1,6,5,5,2,2,1,6,4,6,2,7
3,11,1,7,2,15,2,6,6,6,2,3,6,4,6,2,9,8,6,7,4,1,6,6,7,2,2,2,8,4,9,3,11
4,11,1,7,2,19,3,7,6,6,3,3,6,5,7,4,9,9,6,7,4,1,7,8,8,3,4,3,12,5,10,3,13
5,13,1,7,3,21,5,9,8,7,3,3,8,5,9,4,10,11,6,7,4,2,7,10,10,4,7,5,14,8,11,3,13
6,16,1,8,3,24,6,14,11,7,6,5,12,9,11,4,15,11,7,10,9,3,7,15,10,6,7,5,16,9,14,3,14
7,17,2,10,5,26,6,16,14,8,8,5,14,11,13,5,17,13,8,14,12,6,11,19,10,8,8,6,17,12,16,3,18
8,22,2,10,10,29,6,18,14,9,10,5,16,13,14,5,18,15,9,14,15,8,12,20,12,9,10,7,17,13,16,3,19
9,23,7,12,12,31,8,20,17,12,11,6,18,14,14,6,19,20,10,15,16,8,13,23,14,11,11,7,18,14,16,4,22
10,23,8,13,13,35,10,22,17,12,13,6,24,15,14,7,21,22,14,17,19,9,14,26,16,12,12,8,19,16,17,10,22
11,25,8,18,14,35,11,23,19,13,13,9,26,17,15,9,24,24,15,17,19,10,19,26,17,12,14,8,19,17,17,11,24
12,27,9,19,17,36,13,26,20,13,13,9,26,18,17,9,24,26,17,18,20,10,19,28,19,14,15,10,21,18,18,13,26
13,29,11,21,17,37,14,27,20,17,13,9,29,18,18,9,26,27,20,21,20,10,23,30,21,15,16,12,23,20,20,16,27
14,31,12,22,17,40,14,28,22,18,14,9,32,18,21,9,27,28,20,22,21,10,24,32,21,16,16,12,25,23,20,16,28
15,32,12,23,20,43,15,32,26,19,17,11,33,19,21,10,30,28,22,24,21,10,25,32,22,20,20,13,27,26,21,19,29
16,36,13,23,20,44,17,34,27,19,17,13,34,20,22,11,34,35,22,24,21,11,26,33,24,21,21,13,34,26,21,20,30
17,38,14,24,22,45,17,37,27,19,18,14,34,23,22,11,37,36,24,25,23,11,27,37,27,24,25,15,35,28,22,20,33
18,38,14,24,23,50,18,39,28,22,19,14,35,24,25,12,39,37,24,28,24,12,28,38,27,25,26,16,38,28,22,21,38
19,40,14,25,23,51,19,41,30,24,20,14,36,25,27,12,40,38,26,30,24,14,30,38,29,25,28,17,39,30,23,22,38
20,46,14,26,23,52,20,41,32,24,21,15,37,26,27,14,40,38,27,32,24,14,32,40,29,26,30,17,45,32,24,22,40
21,48,14,26,26,54,22,43,34,24,23,15,40,29,27,14,45,41,27,34,26,14,32,45,29,27,32,19,46,34,26,22,40
22,50,14,26,26,57,24,45,35,26,26,15,43,32,27,14,45,41,29,34,29,17,32,49,30,30,32,19,49,35,28,23,44
23,50,14,26,26,58,24,46,36,28,27,16,44,33,29,14,46,43,30,34,30,17,33,50,30,31,34,20,49,35,30,25,44
24,52,14,27,26,59,24,50,37,29,29,16,46,33,30,16,46,44,30,34,32,18,34,50,31,33,35,21,53,36,31,25,45
25,53,14,30,27,61,24,51,37,29,30,17,47,33,31,17,47,44,32,34,34,20,36,52,31,34,38,23,55,37,32,26,46
26,53,16,30,28,62,24,55,38,30,33,17,48,33,31,18,47,45,36,35,35,23,37,54,32,36,38,24,56,38,34,26,46
27,54,17,31,29,63,25,56,39,33,33,18,48,33,32,18,50,47,38,36,37,23,38,56,34,37,38,25,57,40,35,27,47
28,55,18,32,30,63,27,57,39,34,37,20,49,33,33,18,52,49,38,37,39,24,39,60,35,39,38,26,58,41,36,28,48
29,58,20,34,30,64,27,59,42,36,39,20,51,33,34,20,54,50,38,39,41,24,40,60,35,41,40,26,58,43,36,28,50
