,Sp Braga scored,Sp Braga received,Nacional scored,Nacional received,Maritimo scored,Maritimo received,Porto scored,Porto received,Rio Ave scored,Rio Ave received,Sp Lisbon scored,Sp Lisbon received,Leixoes scored,Leixoes received,Naval scored,Naval received,Belenenses scored,Belenenses received,Olhanense scored,Olhanense received,Guimaraes scored,Guimaraes received,Setubal scored,Setubal received,Benfica scored,Benfica received,Leiria scored,Leiria received,Pacos Ferreira scored,Pacos Ferreira received,Academica scored,Academica received
0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
1,2,1,0,3,1,0,3,0,1,0,1,2,0,1,0,2,2,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1
2,3,1,1,1,0,0,3,1,0,0,2,0,0,0,1,3,1,3,1,1,0,0,1,8,8,1,0,0,0,0,0,2
3,2,1,0,2,1,2,4,1,2,0,1,0,1,4,0,3,0,4,2,1,3,0,0,4,4,0,4,0,0,1,1,2
4,1,0,2,1,1,2,0,1,1,1,3,2,3,1,0,1,1,1,2,3,1,3,1,0,2,1,1,2,1,1,1,1
5,1,0,1,0,1,2,1,0,0,0,0,1,0,5,2,1,0,1,0,1,2,2,0,1,5,0,2,2,1,0,0,0
6,2,0,2,0,4,2,3,0,2,3,0,0,3,2,3,2,0,0,0,3,0,2,0,2,3,1,2,3,1,3,2,4
7,1,1,1,6,3,1,3,2,1,1,1,1,0,1,0,2,0,0,0,0,1,1,1,0,6,1,2,0,1,3,2,3
8,2,0,2,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,2,1,2,0,2,1,0,0,1,2,0
9,0,1,4,2,1,0,0,1,2,2,2,2,2,4,0,1,0,3,0,0,1,0,0,0,1,0,1,1,3,0,1,1
10,2,0,1,1,2,2,2,1,1,2,0,0,1,1,1,1,2,2,0,2,2,0,0,3,0,0,0,2,1,1,3,0
11,1,1,2,1,5,2,4,1,0,0,2,0,1,1,1,0,0,0,2,5,1,4,0,2,4,0,1,2,0,1,0,4
12,0,0,1,2,0,1,2,0,1,0,0,1,0,2,0,0,0,1,2,2,1,0,0,2,2,2,1,0,2,1,2,0
13,1,0,4,3,2,3,0,1,0,1,1,0,2,2,0,1,0,1,2,2,1,0,3,2,1,0,1,0,0,1,3,4
14,2,0,0,2,0,1,3,2,0,1,1,0,0,1,0,2,0,0,1,1,1,0,0,0,1,0,2,3,1,1,2,0
15,2,0,2,3,0,5,1,1,0,2,3,2,3,1,0,1,1,3,1,0,2,2,2,2,5,0,2,0,1,1,0,2
16,1,0,0,4,2,1,4,0,2,2,0,1,1,2,1,0,0,1,0,2,1,3,2,2,3,1,2,0,2,1,1,2
17,3,1,0,1,1,0,3,0,2,0,1,2,0,2,0,3,1,3,1,0,1,2,1,1,1,1,0,1,2,1,2,1
18,2,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,3,3,1,0,3,3,0,0,1,1
19,1,5,1,1,1,1,5,1,1,2,0,0,0,2,1,0,1,2,0,0,2,0,0,1,3,0,0,3,2,1,2,1
20,3,1,1,0,1,2,0,3,1,0,3,0,0,4,2,1,0,1,1,3,1,0,3,5,4,0,0,1,5,3,0,1
21,0,0,0,2,0,0,2,2,0,0,4,0,1,2,0,0,0,4,2,2,2,0,0,0,3,1,2,1,1,3,0,0
22,1,0,0,1,0,1,2,1,0,1,3,1,1,2,1,0,3,1,1,3,1,3,2,1,1,0,0,1,1,0,1,2
23,0,1,1,2,3,2,3,0,1,5,2,3,1,0,0,1,0,3,5,1,1,0,2,1,1,0,2,1,1,2,0,1
24,3,2,1,0,1,4,4,1,0,5,5,0,0,1,2,4,0,0,2,2,2,3,2,2,4,2,0,0,0,0,0,0
25,2,1,0,0,3,3,1,0,0,1,0,2,2,0,0,0,3,3,1,1,1,1,1,1,2,0,1,2,0,2,1,1
26,3,1,2,0,2,1,3,0,0,0,2,1,1,3,3,1,0,0,1,2,0,3,1,2,3,2,0,2,1,3,2,3
27,4,0,1,1,0,0,5,2,0,0,1,1,1,3,0,4,0,2,0,5,2,0,2,5,5,0,1,1,1,1,3,1
28,1,0,3,3,2,0,3,1,0,0,0,1,0,1,1,0,5,2,1,0,0,0,0,2,1,3,2,5,0,1,3,3
29,1,1,1,1,2,1,4,1,1,2,2,1,1,2,0,1,2,1,2,2,1,2,1,2,2,1,1,4,2,2,1,0
