,Gent scored,Gent received,Standard scored,Standard received,Genk scored,Genk received,Club Brugge scored,Club Brugge received,Germinal scored,Germinal received,Lokeren scored,Lokeren received,Westerlo scored,Westerlo received,Anderlecht scored,Anderlecht received,Roeselare scored,Roeselare received,Charleroi scored,Charleroi received,Dender scored,Dender received,Bergen scored,Bergen received,St Truiden scored,St Truiden received,FC Brussels scored,FC Brussels received,Mechelen scored,Mechelen received,Cercle Brugge scored,Cercle Brugge received,Mouscron scored,Mouscron received,Waregem scored,Waregem received
0,4,1,4,1,3,1,2,1,2,1,2,1,1,0,1,0,1,1,1,1,1,2,1,2,1,2,0,1,0,1,1,3,1,4,1,4
1,5,0,4,1,0,5,1,0,0,1,0,1,1,0,1,0,3,1,0,1,1,3,1,1,0,2,1,4,1,1,2,0,2,0,0,2
2,2,0,4,1,0,0,3,2,0,0,0,0,0,1,2,2,0,0,1,0,2,2,1,3,2,3,0,2,0,1,1,4,3,1,1,0
3,1,1,4,0,2,1,1,1,1,2,1,0,0,2,3,0,0,4,3,1,0,3,0,1,1,3,0,3,1,1,3,0,2,0,1,1
4,1,4,2,1,1,0,1,2,1,2,3,1,0,1,2,1,0,0,3,1,1,0,1,3,0,1,0,0,1,3,4,1,1,2,2,1
5,1,1,1,1,2,1,1,1,1,0,1,1,0,0,2,2,0,2,0,1,0,0,2,1,1,2,1,2,2,2,2,0,2,2,2,2
6,1,1,2,1,1,1,1,1,1,1,0,2,1,2,1,1,1,1,1,1,0,3,3,0,0,2,2,0,0,2,1,1,2,0,2,0
7,2,2,0,0,1,1,1,0,2,2,0,1,1,1,0,1,3,2,1,0,2,2,1,1,0,0,1,0,2,2,1,1,0,1,2,3
8,1,1,3,1,2,1,3,1,1,3,1,0,1,1,2,2,2,2,1,3,0,1,1,2,1,5,1,3,1,2,5,1,3,1,2,1
9,1,2,1,1,1,1,2,0,3,0,1,0,6,0,2,1,0,6,0,1,0,2,1,1,2,1,0,3,0,4,4,0,1,1,1,2
10,2,0,2,2,1,2,2,1,2,1,1,1,1,2,0,0,2,0,2,1,0,3,0,2,0,2,1,2,2,2,0,0,3,0,1,1
11,1,2,0,0,1,1,1,0,2,0,1,1,1,3,3,1,0,2,1,0,0,1,0,2,2,1,0,4,4,0,2,0,0,0,0,1
12,4,1,1,0,1,0,2,1,2,0,0,1,2,0,0,2,4,3,0,1,1,4,3,4,0,2,4,1,1,4,1,2,1,2,2,1
13,0,0,0,0,0,2,0,0,3,0,1,1,3,1,0,0,3,4,2,3,2,0,1,3,0,3,1,1,4,3,1,1,1,1,3,2
14,4,2,5,1,5,0,2,1,2,0,2,4,1,1,3,4,1,2,1,5,2,1,0,2,4,3,0,5,1,1,3,0,0,3,1,2
15,2,1,0,0,5,2,1,0,2,1,1,1,1,1,0,1,3,1,1,2,0,0,0,0,0,0,1,4,1,2,4,1,1,3,2,5
16,2,4,3,1,1,3,0,0,3,0,1,1,0,0,3,2,1,1,1,3,4,2,2,3,0,1,0,1,1,0,3,1,0,3,1,0
17,2,0,3,1,1,5,1,0,1,0,1,1,7,2,1,0,1,2,2,1,0,1,0,1,1,1,2,7,0,1,5,1,0,2,1,3
18,3,3,1,0,3,3,3,0,0,3,0,0,1,1,0,0,1,2,1,1,2,1,0,2,0,0,0,1,2,0,3,0,0,0,0,3
19,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,0,1,1,0,1,1,0,0,0,0,2,1,1
20,1,2,0,0,1,3,2,0,3,1,1,2,2,1,4,2,0,0,1,1,2,4,2,1,1,1,2,4,0,2,4,2,1,2,2,1
21,3,2,2,1,1,2,1,2,0,0,1,1,2,1,2,1,2,0,0,0,2,1,0,0,1,2,0,2,1,1,2,3,1,2,0,0
22,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
23,1,0,3,1,0,1,0,2,3,0,0,0,1,3,1,0,0,1,2,0,2,2,2,2,1,1,1,1,2,1,0,3,0,0,1,2
24,2,1,2,1,1,2,0,2,1,2,0,2,0,1,2,0,1,3,0,2,0,3,2,1,1,2,2,0,3,0,1,0,2,0,3,1
25,0,2,2,1,2,2,1,0,1,2,1,0,2,0,5,0,0,5,1,3,0,1,3,0,0,0,0,1,2,2,0,0,3,1,0,3
26,2,3,2,0,3,1,0,1,2,1,0,1,2,0,3,2,0,2,1,0,1,0,0,2,2,3,1,2,0,2,2,0,1,3,3,2
27,0,4,1,0,6,2,2,6,0,2,0,0,2,0,3,1,1,0,1,0,1,2,4,0,0,1,0,1,0,1,1,3,2,1,0,0
28,2,3,1,0,2,3,3,2,0,1,3,2,0,2,2,0,1,0,4,2,2,4,0,0,3,2,2,2,2,2,0,0,0,1,2,3
29,0,1,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,1,3,1,1,1,1,1,0,2,1,1,1,0,0,1,0,2,2,0
30,0,0,2,0,2,0,0,0,2,1,2,3,0,0,0,2,2,2,2,2,0,2,0,0,1,2,0,2,2,2,3,2,2,0,2,2
31,1,1,1,2,2,1,1,0,0,0,1,1,0,1,4,1,0,1,2,1,2,1,0,0,1,4,1,2,1,0,0,1,1,0,1,2
32,2,1,3,0,2,2,0,2,4,3,2,1,1,2,2,0,2,1,1,2,0,3,1,1,1,1,0,0,3,4,0,0,1,2,2,2
33,3,0,2,0,0,2,4,0,0,1,3,0,0,4,2,1,0,3,1,3,0,3,1,2,3,2,1,2,2,3,3,1,1,0,2,1
