,Gent scored,Gent received,Standard scored,Standard received,Genk scored,Genk received,Club Brugge scored,Club Brugge received,Germinal scored,Germinal received,Lokeren scored,Lokeren received,Westerlo scored,Westerlo received,Anderlecht scored,Anderlecht received,Roeselare scored,Roeselare received,Charleroi scored,Charleroi received,Dender scored,Dender received,Bergen scored,Bergen received,St Truiden scored,St Truiden received,FC Brussels scored,FC Brussels received,Mechelen scored,Mechelen received,Cercle Brugge scored,Cercle Brugge received,Mouscron scored,Mouscron received,Waregem scored,Waregem received
0,4,1,4,1,3,1,2,1,2,1,2,1,1,0,1,0,1,1,1,1,1,2,1,2,1,2,0,1,0,1,1,3,1,4,1,4
1,9,1,8,2,3,6,3,1,2,2,2,2,2,0,2,0,4,2,1,2,2,5,2,3,1,4,1,5,1,2,3,3,3,4,1,6
2,11,1,12,3,3,6,6,3,2,2,2,2,2,1,4,2,4,2,2,2,4,7,3,6,3,7,1,7,1,3,4,7,6,5,2,6
3,12,2,16,3,5,7,7,4,3,4,3,2,2,3,7,2,4,6,5,3,4,10,3,7,4,10,1,10,2,4,7,7,8,5,3,7
4,13,6,18,4,6,7,8,6,4,6,6,3,2,4,9,3,4,6,8,4,5,10,4,10,4,11,1,10,3,7,11,8,9,7,5,8
5,14,7,19,5,8,8,9,7,5,6,7,4,2,4,11,5,4,8,8,5,5,10,6,11,5,13,2,12,5,9,13,8,11,9,7,10
6,15,8,21,6,9,9,10,8,6,7,7,6,3,6,12,6,5,9,9,6,5,13,9,11,5,15,4,12,5,11,14,9,13,9,9,10
7,17,10,21,6,10,10,11,8,8,9,7,7,4,7,12,7,8,11,10,6,7,15,10,12,5,15,5,12,7,13,15,10,13,10,11,13
8,18,11,24,7,12,11,14,9,9,12,8,7,5,8,14,9,10,13,11,9,7,16,11,14,6,20,6,15,8,15,20,11,16,11,13,14
9,19,13,25,8,13,12,16,9,12,12,9,7,11,8,16,10,10,19,11,10,7,18,12,15,8,21,6,18,8,19,24,11,17,12,14,16
10,21,13,27,10,14,14,18,10,14,13,10,8,12,10,16,10,12,19,13,11,7,21,12,17,8,23,7,20,10,21,24,11,20,12,15,17
11,22,15,27,10,15,15,19,10,16,13,11,9,13,13,19,11,12,21,14,11,7,22,12,19,10,24,7,24,14,21,26,11,20,12,15,18
12,26,16,28,10,16,15,21,11,18,13,11,10,15,13,19,13,16,24,14,12,8,26,15,23,10,26,11,25,15,25,27,13,21,14,17,19
13,26,16,28,10,16,17,21,11,21,13,12,11,18,14,19,13,19,28,16,15,10,26,16,26,10,29,12,26,19,28,28,14,22,15,20,21
14,30,18,33,11,21,17,23,12,23,13,14,15,19,15,22,17,20,30,17,20,12,27,16,28,14,32,12,31,20,29,31,14,22,18,21,23
15,32,19,33,11,26,19,24,12,25,14,15,16,20,16,22,18,23,31,18,22,12,27,16,28,14,32,13,35,21,31,35,15,23,21,23,28
16,34,23,36,12,27,22,24,12,28,14,16,17,20,16,25,20,24,32,19,25,16,29,18,31,14,33,13,36,22,31,38,16,23,24,24,28
17,36,23,39,13,28,27,25,12,29,14,17,18,27,18,26,20,25,34,21,26,16,30,18,32,15,34,15,43,22,32,43,17,23,26,25,31
18,39,26,40,13,31,30,28,12,29,17,17,18,28,19,26,20,26,36,22,27,18,31,18,34,15,34,15,44,24,32,46,17,23,26,25,34
19,40,26,40,13,31,30,29,13,30,18,18,19,29,20,27,20,26,36,22,28,18,32,20,34,16,35,15,45,25,32,46,17,23,28,26,35
20,41,28,40,13,32,33,31,13,33,19,19,21,31,21,31,22,26,36,23,29,20,36,22,35,17,36,17,49,25,34,50,19,24,30,28,36
21,44,30,42,14,33,35,32,15,33,19,20,22,33,22,33,23,28,36,23,29,22,37,22,35,18,38,17,51,26,35,52,22,25,32,28,36
22,44,30,42,14,33,36,33,15,33,19,20,23,33,24,33,24,28,36,23,29,24,37,23,36,19,38,18,52,27,35,52,22,25,33,29,36
23,45,30,45,15,33,37,33,17,36,19,20,23,34,27,34,24,28,37,25,29,26,39,25,38,20,39,19,53,29,36,52,25,25,33,30,38
24,47,31,47,16,34,39,33,19,37,21,20,25,34,28,36,24,29,40,25,31,26,42,27,39,21,41,21,53,32,36,53,25,27,33,33,39
25,47,33,49,17,36,41,34,19,38,23,21,25,36,28,41,24,29,45,26,34,26,43,30,39,21,41,21,54,34,38,53,25,30,34,33,42
26,49,36,51,17,39,42,34,20,40,24,21,26,38,28,44,26,29,47,27,34,27,43,30,41,23,44,22,56,34,40,55,25,31,37,36,44
27,49,40,52,17,45,44,36,26,40,26,21,26,40,28,47,27,30,47,28,34,28,45,34,41,23,45,22,57,34,41,56,28,33,38,36,44
28,51,43,53,17,47,47,39,28,40,27,24,28,40,30,49,27,31,47,32,36,30,49,34,41,26,47,24,59,36,43,56,28,33,39,38,47
29,51,44,53,17,48,50,40,28,40,29,24,28,42,30,51,27,32,48,35,37,31,50,35,42,26,49,25,60,37,43,56,29,33,41,40,47
30,51,44,55,17,50,50,40,28,42,30,26,31,42,30,51,29,34,50,37,39,31,52,35,42,27,51,25,62,39,45,59,31,35,41,42,49
31,52,45,56,19,52,51,41,28,42,30,27,32,42,31,55,30,34,51,39,40,33,53,35,42,28,55,26,64,40,45,59,32,36,41,43,51
32,54,46,59,19,54,53,41,30,46,33,29,33,43,33,57,30,36,52,40,42,33,56,36,43,29,56,26,64,43,49,59,32,37,43,45,53
33,57,46,61,19,54,55,45,30,46,34,32,33,43,37,59,31,36,55,41,45,33,59,37,45,32,58,27,66,45,52,62,33,38,43,47,54
