,Milan scored,Milan received,Juventus scored,Juventus received,Napoli scored,Napoli received,Sampdoria scored,Sampdoria received,Roma scored,Roma received,Inter scored,Inter received,Chievo scored,Chievo received,Bologna scored,Bologna received,Torino scored,Torino received,Genoa scored,Genoa received,Sassuolo scored,Sassuolo received,Spal scored,Spal received,Lazio scored,Lazio received,Benevento scored,Benevento received,Atalanta scored,Atalanta received,Verona scored,Verona received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Crotone scored,Crotone received,Udinese scored,Udinese received
25,37,30,64,15,60,15,46,34,40,21,42,21,23,43,33,38,36,32,21,27,15,46,26,49,64,33,18,60,37,31,24,51,35,32,23,41,23,47,37,38
26,37,30,65,15,62,19,48,35,44,23,42,21,24,44,33,39,40,33,23,28,16,47,27,49,64,34,21,60,38,33,24,54,37,32,24,43,24,51,37,40
27,38,30,67,15,62,19,49,39,47,23,42,21,24,45,33,40,40,36,23,29,17,48,28,50,66,36,21,61,39,33,25,54,38,32,26,45,28,52,37,42
28,41,32,67,15,63,19,49,44,49,23,47,21,26,48,34,41,41,38,23,30,19,49,28,50,67,37,22,63,44,33,25,59,40,33,28,46,28,54,38,44
29,42,35,70,16,64,20,50,46,50,24,50,21,28,49,35,42,45,38,24,31,20,50,29,51,73,39,24,69,46,33,25,62,42,33,28,50,28,56,38,46
30,43,36,74,18,66,21,50,46,50,26,50,22,29,51,35,43,46,38,24,31,21,51,30,52,75,40,26,73,47,34,26,62,44,33,28,51,29,56,39,48
31,43,36,77,18,66,21,50,49,50,26,50,22,29,51,37,43,46,38,25,31,23,53,30,52,75,40,28,75,47,34,26,64,44,33,30,52,29,57,40,50
32,44,37,78,19,70,23,51,49,52,27,54,22,29,51,37,44,47,39,26,33,24,53,30,52,79,43,28,78,50,34,26,65,47,37,30,56,30,58,42,54
33,44,38,78,20,71,23,51,53,55,27,56,23,30,53,37,44,48,41,29,34,25,53,30,55,83,43,29,78,52,35,27,68,47,38,30,56,32,59,43,56
34,46,39,81,22,71,26,55,54,59,28,58,26,31,57,38,46,48,42,30,37,26,57,33,56,84,43,32,81,55,36,28,71,50,38,31,60,36,60,46,59
35,50,40,84,23,73,28,55,55,60,28,62,26,33,58,39,49,50,44,32,40,27,57,35,56,85,44,32,83,56,37,29,75,53,40,31,61,37,62,46,63
36,51,41,84,23,75,28,55,57,60,28,63,28,35,59,40,51,52,45,32,41,29,58,36,58,87,46,33,83,57,38,29,76,53,41,32,61,39,64,47,63
37,56,42,86,24,77,29,56,60,61,28,66,30,36,59,40,52,54,46,33,43,29,59,39,59,89,49,33,84,57,39,30,78,54,46,33,61,40,66,48,63
