,Milan scored,Milan received,Juventus scored,Juventus received,Napoli scored,Napoli received,Sampdoria scored,Sampdoria received,Roma scored,Roma received,Inter scored,Inter received,Chievo scored,Chievo received,Bologna scored,Bologna received,Torino scored,Torino received,Genoa scored,Genoa received,Sassuolo scored,Sassuolo received,Spal scored,Spal received,Lazio scored,Lazio received,Benevento scored,Benevento received,Atalanta scored,Atalanta received,Verona scored,Verona received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Crotone scored,Crotone received,Udinese scored,Udinese received
10,0,2,2,0,3,1,4,1,1,0,2,1,1,4,0,1,2,1,0,1,1,3,1,0,5,1,1,5,1,2,1,2,1,2,1,2,2,1,2,1
11,2,0,2,1,0,0,2,0,4,2,1,1,0,0,2,3,1,1,0,2,0,2,1,1,3,0,1,2,1,1,1,2,2,4,2,1,3,2,0,3
12,1,2,2,3,2,1,3,2,2,1,2,0,1,1,3,2,1,1,1,0,2,1,1,1,1,2,1,2,0,2,2,3,1,1,1,0,0,1,0,1
13,0,0,3,0,1,0,0,3,1,1,3,1,2,1,3,0,0,0,1,1,0,2,1,2,1,1,0,1,1,0,2,0,1,1,1,3,0,3,0,1
14,2,2,1,0,0,1,1,2,3,1,5,0,0,5,1,1,1,1,1,0,0,3,1,3,2,1,2,2,1,1,0,1,3,0,1,1,0,3,3,0
15,2,1,0,0,0,0,2,2,0,0,0,0,0,0,1,2,3,1,1,2,2,1,2,2,1,3,0,2,2,1,2,2,0,0,2,2,1,2,2,0
16,0,3,3,0,3,1,0,1,1,0,1,3,0,1,0,3,1,3,0,0,1,0,2,1,3,3,1,2,3,3,3,0,0,0,0,1,1,0,3,1
17,0,2,1,0,3,2,2,3,0,1,0,1,2,3,3,2,2,2,1,0,1,0,2,2,4,0,0,1,2,0,0,4,1,0,0,1,0,4,4,0
18,1,1,3,1,1,0,2,0,1,1,0,0,0,1,1,2,0,0,0,0,1,1,0,2,0,0,1,0,1,2,1,3,1,1,2,1,0,1,2,1
19,1,0,1,0,2,0,2,3,1,2,1,1,1,1,0,3,3,0,1,0,0,1,2,5,5,2,3,2,2,1,0,2,1,1,0,1,0,1,1,1
20,2,1,1,0,1,0,3,1,1,1,1,1,1,5,3,0,1,1,0,1,1,1,1,1,5,1,0,3,0,1,0,3,1,3,1,2,3,0,1,1
21,2,1,2,0,3,1,1,0,0,1,1,1,0,2,1,3,3,0,0,1,0,3,1,1,1,2,0,3,3,0,4,1,1,4,1,1,1,1,1,0
22,1,1,7,0,2,0,1,1,1,0,1,1,0,1,1,2,1,1,2,1,0,7,0,2,1,2,0,2,1,0,0,1,2,1,2,0,1,1,1,1
23,4,0,2,0,4,1,2,0,5,2,2,1,0,1,1,2,2,0,1,0,0,0,0,4,1,4,2,5,1,1,0,2,0,2,0,0,1,1,0,2
24,1,0,1,0,1,0,0,1,2,0,0,2,2,1,2,1,0,1,2,0,1,2,0,1,2,0,3,2,1,1,0,2,1,1,1,2,2,3,0,2
25,2,0,2,0,5,0,2,1,0,2,2,0,0,1,2,0,1,2,0,2,0,3,3,2,3,0,0,2,0,2,2,1,1,0,0,5,2,3,1,2
26,0,0,1,0,2,4,2,1,4,2,0,0,1,1,0,1,4,1,2,1,1,1,1,0,0,1,3,0,1,2,0,3,2,0,1,2,1,4,0,2
27,1,0,2,0,0,0,1,4,3,0,0,0,0,1,0,1,0,3,0,1,1,1,1,1,2,2,0,1,1,0,1,0,1,0,2,2,4,1,0,2
28,3,2,0,0,1,0,0,5,2,0,5,0,2,3,1,1,1,2,0,1,2,1,0,0,1,1,1,2,5,0,0,5,2,1,2,1,0,2,1,2
29,1,3,3,1,1,1,1,2,1,1,3,0,2,1,1,1,4,0,1,1,1,1,1,1,6,2,2,6,2,0,0,3,2,0,0,4,0,2,0,2
30,1,1,4,2,2,1,0,0,0,2,0,1,1,2,0,1,1,0,0,0,1,1,1,1,2,1,2,4,1,1,1,0,2,0,0,1,1,0,1,2
31,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,2,2,0,0,0,2,0,0,2,1,0,1,1,2
32,1,1,1,1,4,2,1,0,2,1,4,0,0,0,0,1,1,1,1,2,1,0,0,0,4,3,0,3,3,0,0,1,3,4,0,4,1,1,2,4
33,0,1,0,1,1,0,0,4,3,0,2,1,1,2,0,0,1,2,3,1,1,0,0,3,4,0,1,0,2,1,1,3,0,1,0,0,2,1,1,2
34,2,1,3,2,0,3,4,1,4,1,2,3,1,4,1,2,0,1,1,3,1,4,3,1,1,0,3,3,3,1,1,3,3,0,1,4,4,1,3,3
35,4,1,3,1,2,2,0,1,1,0,4,0,2,1,1,3,2,2,2,3,1,0,2,0,1,1,0,2,1,1,1,4,3,2,0,1,1,2,0,4
36,1,1,0,0,2,0,0,2,0,0,1,2,2,1,1,2,2,1,0,1,2,1,1,2,2,2,1,0,1,1,0,1,0,1,1,0,2,2,1,0
37,5,1,2,1,2,1,1,3,1,0,3,2,1,0,0,1,2,1,1,2,0,1,3,1,2,3,0,1,0,1,1,2,1,5,1,0,1,2,1,0
