,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Ein Frankfurt scored,Ein Frankfurt received,Mainz scored,Mainz received,Hertha scored,Hertha received,Paderborn scored,Paderborn received,Werder Bremen scored,Werder Bremen received,M'gladbach scored,M'gladbach received,Stuttgart scored,Stuttgart received,FC Koln scored,FC Koln received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,Wolfsburg scored,Wolfsburg received,Freiburg scored,Freiburg received,Dortmund scored,Dortmund received,Augsburg scored,Augsburg received
0,2,0,2,0,2,1,2,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,2,1,2,0,1,0,2,0,2
1,1,1,4,2,1,1,0,0,2,2,0,0,2,4,3,0,1,1,0,0,0,2,2,0,0,3,1,1,2,2,0,0,3,2,2,3
2,1,1,3,3,2,0,2,0,0,1,3,1,1,3,0,0,3,3,4,1,0,2,0,0,0,2,1,4,1,1,1,3,3,1,1,0
3,2,0,1,4,0,0,0,2,2,2,2,0,2,2,2,0,2,4,0,0,0,2,0,0,0,0,2,2,4,1,2,2,0,2,4,2
4,3,3,1,0,4,0,1,0,2,2,2,2,1,0,0,4,0,3,1,0,2,2,0,1,0,1,3,0,0,1,3,3,2,2,0,1
5,0,0,0,0,2,0,0,1,2,1,0,0,0,1,1,2,1,2,2,1,1,0,0,2,1,2,2,1,2,1,0,0,1,2,1,0
6,2,1,2,2,4,0,0,4,3,2,1,1,3,2,2,2,1,1,1,1,2,3,2,3,1,0,1,2,1,0,1,1,0,1,0,1
7,1,1,3,3,6,0,0,3,1,3,2,1,0,2,3,1,0,6,3,0,3,3,2,1,1,1,2,0,2,1,1,2,1,2,1,2
8,1,0,1,0,0,0,1,0,4,5,0,3,3,0,0,1,0,1,0,0,5,4,1,0,0,3,0,1,3,0,0,2,0,1,2,0
9,1,3,0,1,2,1,1,0,0,1,1,2,1,3,3,1,2,1,3,1,0,4,0,1,1,0,1,0,4,0,1,0,1,2,0,1
10,3,4,0,0,4,0,2,0,0,4,0,0,0,2,0,3,2,0,0,1,0,2,4,3,0,2,0,2,2,0,2,0,1,0,3,0
