,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Sevilla scored,Sevilla received,Las Palmas scored,Las Palmas received,La Coruna scored,La Coruna received,Sp Gijon scored,Sp Gijon received,Leganes scored,Leganes received,Ath Madrid scored,Ath Madrid received,Osasuna scored,Osasuna received,Alaves scored,Alaves received,Granada scored,Granada received,Malaga scored,Malaga received,Villarreal scored,Villarreal received,Ath Bilbao scored,Ath Bilbao received,Eibar scored,Eibar received,Celta scored,Celta received,Espanol scored,Espanol received,Valencia scored,Valencia received,Sociedad scored,Sociedad received,Betis scored,Betis received
0,6,2,3,0,6,4,4,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,4,6,2,4,0,3,2,6
1,1,0,2,1,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,1,5,2,2,0,0,0,1,1,0,1,2,2,2,0,1,2,0,0,0
2,1,2,5,2,2,1,1,2,0,1,2,1,1,2,4,0,2,5,2,1,1,2,0,2,2,0,1,0,2,1,0,4,1,1,2,3,1,1,3,2
3,5,1,2,0,1,1,1,0,0,0,0,5,1,5,5,0,0,0,0,0,2,2,0,1,2,1,2,1,1,1,0,0,0,2,1,2,1,2,2,2
4,1,1,1,1,1,0,1,4,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,4,1,0,1
5,5,0,2,2,1,3,2,2,0,1,0,5,1,2,1,0,1,3,3,1,1,3,0,1,3,1,3,1,2,0,2,0,0,2,2,1,0,2,1,0
6,3,4,1,1,2,1,2,2,2,1,1,2,1,0,2,0,2,2,1,2,0,1,2,1,0,0,1,2,1,1,4,3,0,0,0,2,1,0,0,1
7,4,0,6,1,3,2,0,0,0,4,1,2,2,3,7,1,3,2,1,1,1,7,1,1,5,0,3,2,2,3,0,5,0,0,2,1,2,3,1,6
8,3,2,2,1,1,0,1,2,1,4,0,0,0,4,0,1,1,2,0,3,0,0,4,0,2,1,1,2,3,3,4,1,3,3,2,3,3,0,2,1
9,1,0,4,1,1,1,3,3,1,1,1,1,0,2,4,2,1,1,1,4,0,1,2,4,1,2,1,1,2,1,3,3,1,0,1,1,2,0,0,1
