,Dortmund scored,Dortmund received,Bayern Munich scored,Bayern Munich received,M'gladbach scored,M'gladbach received,Ein Frankfurt scored,Ein Frankfurt received,Augsburg scored,Augsburg received,Wolfsburg scored,Wolfsburg received,Mainz scored,Mainz received,Hertha scored,Hertha received,Hannover scored,Hannover received,Werder Bremen scored,Werder Bremen received,Schalke 04 scored,Schalke 04 received,Fortuna Dusseldorf scored,Fortuna Dusseldorf received,Nurnberg scored,Nurnberg received,Stuttgart scored,Stuttgart received,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Freiburg scored,Freiburg received,RB Leipzig scored,RB Leipzig received
0,4,1,3,1,2,0,2,0,2,1,2,1,1,0,1,0,1,1,1,1,1,2,1,2,0,1,0,1,1,3,0,2,0,2,1,4
1,4,1,6,1,3,1,3,2,3,2,5,2,2,1,3,0,1,1,3,2,1,4,2,3,1,2,0,4,4,4,1,5,1,5,2,5
2,7,2,9,2,5,2,4,5,4,4,7,4,4,2,5,2,3,4,4,3,2,6,4,4,2,3,3,7,5,6,2,8,4,8,5,7
3,8,3,11,2,7,6,5,6,6,7,8,7,4,3,9,4,3,6,7,5,2,8,4,4,4,3,3,7,6,7,3,8,7,9,6,8
4,15,3,12,3,10,7,6,9,7,8,8,7,4,3,10,7,4,9,10,6,2,9,5,6,4,10,3,9,9,8,5,9,8,9,8,8
5,19,5,12,5,12,9,10,10,11,9,10,9,4,4,12,7,5,13,11,8,3,9,5,9,7,10,5,10,10,10,7,13,9,13,10,9
6,23,8,12,8,15,9,12,11,14,13,10,11,4,4,12,7,8,14,13,8,5,9,5,11,7,16,6,13,11,12,7,13,9,13,16,9
7,27,8,15,9,19,9,19,12,14,13,11,14,4,8,13,8,10,16,15,8,5,11,6,18,8,19,6,17,14,13,9,15,10,14,16,9
8,29,10,17,10,20,12,20,13,16,14,14,14,5,10,15,10,11,18,17,14,5,11,6,21,9,20,6,21,18,13,15,17,13,15,16,9
9,30,10,18,11,23,12,23,13,18,16,14,15,7,11,15,13,12,21,18,16,8,12,6,24,11,22,6,24,22,14,16,21,14,16,19,9
10,33,12,20,14,26,13,26,13,19,18,15,17,10,12,16,17,14,22,19,19,8,15,10,25,11,24,8,24,24,15,16,24,15,19,22,9
11,35,13,23,17,30,14,29,14,20,21,16,17,11,14,19,20,15,26,20,20,13,17,13,28,13,29,8,26,27,18,18,24,16,20,22,10
12,37,13,25,18,30,16,30,16,20,22,18,18,12,14,21,20,15,28,21,22,14,18,13,29,14,30,9,26,28,19,19,25,16,22,24,10
13,39,14,28,18,33,16,30,17,20,23,20,20,13,15,22,20,16,29,24,23,15,20,14,32,14,33,9,29,30,21,20,25,19,22,24,13
14,41,15,32,18,33,16,32,18,21,24,22,20,14,19,23,22,16,33,25,25,16,21,16,32,14,35,11,30,30,21,21,27,19,24,28,14
15,42,17,33,18,35,16,34,20,23,26,24,20,16,21,25,24,17,34,26,26,17,23,18,33,14,37,11,32,31,22,23,28,20,25,28,15
16,44,18,36,18,36,18,34,23,25,29,27,22,17,22,26,27,17,35,28,29,20,24,19,33,14,38,12,35,32,23,26,29,21,25,31,17
17,45,18,39,19,37,18,37,24,26,31,28,24,20,24,29,28,17,36,29,29,22,25,21,34,15,41,14,38,33,26,26,30,22,28,31,18
18,50,19,43,20,39,18,39,26,26,33,28,27,22,25,31,30,18,41,31,31,24,27,21,38,16,43,15,42,37,28,29,30,24,32,35,18
19,51,20,44,23,41,18,40,27,29,33,29,27,22,28,31,31,18,44,32,32,24,29,22,39,17,44,17,44,38,29,32,31,26,34,38,18
20,54,23,47,24,41,21,40,27,29,37,32,30,23,33,34,31,20,44,36,32,25,32,25,39,17,46,17,47,41,32,37,32,29,37,38,18
21,54,23,50,26,42,22,41,28,31,40,35,30,23,36,35,32,20,47,37,33,25,32,25,41,17,46,18,50,44,32,39,32,29,37,41,19
22,57,25,51,26,42,25,44,28,32,45,38,30,26,36,35,33,20,50,38,34,25,35,27,42,18,48,19,51,45,33,41,35,34,38,42,20
23,58,27,56,27,43,30,47,30,34,46,39,31,27,38,37,34,21,55,39,35,25,39,31,42,18,49,24,52,47,36,43,35,34,40,43,20
24,61,28,62,27,44,30,50,30,34,46,39,37,27,39,38,36,23,58,43,37,27,43,31,45,19,51,25,55,49,37,46,37,36,41,43,20
25,64,30,68,27,45,31,51,30,37,47,44,39,27,45,40,39,24,61,46,38,27,44,33,50,19,52,26,56,50,38,47,40,37,42,44,20
26,66,30,69,28,46,34,54,30,37,50,44,41,28,48,40,44,24,62,49,39,28,44,36,51,22,52,26,59,54,39,48,44,38,43,49,20
27,66,35,74,28,47,35,56,31,37,54,47,42,33,48,41,46,25,65,50,40,29,46,38,52,23,53,27,60,58,39,50,48,38,48,53,22
28,68,36,78,29,48,35,57,34,40,55,47,44,34,50,41,48,25,66,52,41,30,47,39,56,24,54,27,61,60,39,51,48,39,50,55,22
29,72,36,79,29,49,37,58,35,46,55,48,45,37,51,41,48,25,66,52,42,32,52,40,59,24,56,27,67,65,41,53,48,39,54,57,23
30,74,40,80,30,49,38,58,35,47,59,52,46,37,52,41,48,26,66,53,46,36,54,44,60,25,57,28,67,66,45,57,49,40,56,59,24
31,76,42,83,31,51,40,59,41,47,59,54,46,40,55,44,49,27,69,55,48,36,54,45,61,25,59,29,70,68,47,63,50,41,57,62,27
32,79,44,83,31,55,40,59,43,50,63,54,49,42,55,48,52,30,69,56,48,37,55,47,64,25,63,32,70,68,48,64,51,41,60,62,27
33,81,44,88,32,55,42,60,48,51,71,62,50,46,57,49,57,31,71,58,49,37,55,49,65,26,68,32,70,70,52,69,52,46,61,63,29
