,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,15/08/09,Aston Villa,Wigan,82,74,76,74,79,74,0.5507877189707827,0.26634710468104034,0.18286517634817695,2,1.6683333333333332,3.4499999999999997,5.0249999999999995
1,15/08/09,Blackburn,Man City,75,84,75,80,75,80,0.27849130502001246,0.2849846256033806,0.43652406937660687,2,3.2916666666666665,3.216666666666667,2.0999999999999996
2,15/08/09,Bolton,Sunderland,77,78,73,74,75,77,0.4174682570219316,0.28626394767218166,0.296267795305887,2,2.2,3.2083333333333335,3.0999999999999996
3,15/08/09,Chelsea,Hull,85,70,84,73,84,72,0.7815444648914707,0.15697403720373368,0.06148149790479569,1,1.18,5.875,15.0
4,15/08/09,Everton,Arsenal,80,85,79,82,77,82,0.30396832464175627,0.2908150778762555,0.4052165974819884,2,3.0216666666666665,3.158333333333333,2.266666666666666
5,15/08/09,Portsmouth,Fulham,75,76,74,77,74,76,0.37236296769837446,0.2872237266465065,0.3404133056551189,2,2.4683333333333333,3.1999999999999997,2.6999999999999997
6,15/08/09,Stoke,Burnley,76,75,75,70,72,72,0.48406750248422126,0.2815267265087262,0.23440577100705265,1,1.8950000000000002,3.2583333333333333,3.9133333333333336
7,15/08/09,Wolves,West Ham,75,76,69,75,72,76,0.3649310551074182,0.2849668342466713,0.3501021106459104,2,2.518333333333333,3.2249999999999996,2.625
8,16/08/09,Man United,Birmingham,86,73,84,71,81,75,0.7708103776419915,0.1611489532204748,0.0680406691375338,1,1.1916666666666667,5.7,13.5
9,16/08/09,Tottenham,Liverpool,81,88,78,81,78,82,0.29550941292207816,0.2885471492668459,0.41594343781107596,1,3.108333333333333,3.1833333333333336,2.2083333333333335
10,18/08/09,Sunderland,Chelsea,78,85,74,84,77,84,0.1417521115221032,0.2442497921611625,0.6139980963167343,2,6.533333333333334,3.7916666666666665,1.5083333333333335
11,18/08/09,Wigan,Wolves,74,75,74,69,74,72,0.5438500660256784,0.26570960368683144,0.1904403302874901,2,1.71,3.5,4.883333333333334
12,19/08/09,Birmingham,Portsmouth,73,75,71,74,75,74,0.45799354434805234,0.2831868480320018,0.2588196076199458,1,2.025,3.275,3.5833333333333335
13,19/08/09,Burnley,Man United,75,86,70,84,72,81,0.09593593550669484,0.19523804418906313,0.7088260203042419,1,9.666666666666666,4.75,1.3083333333333333
14,19/08/09,Hull,Tottenham,70,81,73,78,72,78,0.2510428682940865,0.2797082259916507,0.4692489057142629,2,3.6916666666666664,3.313333333333333,1.9749999999999999
15,19/08/09,Liverpool,Stoke,88,76,81,75,82,72,0.7472499961285727,0.17762108534174378,0.07512891852968351,1,1.24,5.216666666666667,12.333333333333334
16,22/08/09,Arsenal,Portsmouth,85,75,82,74,82,74,0.7847051643220719,0.1534775066218894,0.061817329056038775,1,1.1816666666666666,6.041666666666667,15.0
17,22/08/09,Birmingham,Stoke,73,76,71,75,75,72,0.42012468231083966,0.2884275668714314,0.2914477508177291,X,2.2083333333333335,3.216666666666667,3.1833333333333336
18,22/08/09,Hull,Bolton,70,77,73,73,72,75,0.38133780322699756,0.28922243777216433,0.3294397590008381,1,2.433333333333333,3.2083333333333335,2.816666666666667
19,22/08/09,Man City,Wolves,84,75,80,69,80,72,0.7106260527793374,0.1965188096574958,0.09285513756316677,1,1.3066666666666666,4.7250000000000005,10.0
20,22/08/09,Sunderland,Blackburn,78,75,74,75,77,75,0.453118870145155,0.2814829344841114,0.2653981953707336,1,2.05,3.3000000000000003,3.5
21,22/08/09,Wigan,Man United,74,86,74,84,74,81,0.14902273070266417,0.24465929634041786,0.6063179729569179,2,6.2250000000000005,3.7916666666666665,1.53
22,23/08/09,Burnley,Everton,75,80,70,79,72,77,0.2932135512501353,0.2879099469639572,0.4188765017859076,1,3.1666666666666665,3.2249999999999996,2.216666666666667
23,23/08/09,Fulham,Chelsea,76,85,77,84,76,84,0.147230001631656,0.2532087727378139,0.5995612256305303,2,6.291666666666667,3.658333333333333,1.545
24,23/08/09,West Ham,Tottenham,76,81,75,78,76,78,0.3123300159009432,0.28510124528393793,0.4025687388151188,2,2.966666666666667,3.25,2.3016666666666663
25,24/08/09,Liverpool,Aston Villa,88,82,81,76,82,79,0.6536591490632943,0.22475310539509633,0.12158774554160949,2,1.4183333333333332,4.125,7.625
26,29/08/09,Blackburn,West Ham,75,76,75,75,75,76,0.4285697933955245,0.2864533852229154,0.28497682138156016,X,2.1500000000000004,3.2166666666666663,3.233333333333333
27,29/08/09,Bolton,Liverpool,77,88,73,81,75,82,0.15552665309507654,0.24758727286435953,0.5968860740405639,2,5.916666666666667,3.716666666666667,1.5416666666666667
28,29/08/09,Chelsea,Burnley,85,75,84,70,84,72,0.8092485549132948,0.13140655105973023,0.05934489402697495,1,1.1366666666666667,7.0,15.5
29,29/08/09,Man United,Arsenal,86,85,84,82,81,82,0.4437138015630137,0.28549027542426464,0.2707959230127216,1,2.0749999999999997,3.2249999999999996,3.4
30,29/08/09,Stoke,Sunderland,76,78,75,74,72,77,0.40048952912297414,0.28594537364324274,0.3135650972337831,1,2.296666666666667,3.2166666666666663,2.9333333333333336
31,29/08/09,Tottenham,Birmingham,81,73,78,71,78,75,0.6802229272538395,0.20846786646825952,0.111309206277901,1,1.3499999999999999,4.405,8.25
