,Hearts scored,Hearts received,Hibernian scored,Hibernian received,Celtic scored,Celtic received,Kilmarnock scored,Kilmarnock received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Rangers scored,Rangers received,Dundee scored,Dundee received,Livingston scored,Livingston received,St Johnstone scored,St Johnstone received,Hamilton scored,Hamilton received,Motherwell scored,Motherwell received
0,4,1,3,0,3,1,2,0,2,1,1,1,1,1,1,2,1,3,0,2,1,4,0,3
1,1,0,1,1,0,1,0,0,0,2,1,0,2,0,0,1,0,0,1,1,1,0,0,1
2,1,0,1,1,1,0,0,1,0,2,1,1,3,3,0,1,2,0,1,0,0,1,3,3
3,4,1,1,2,1,0,2,0,1,4,0,2,0,1,1,3,2,1,2,1,1,2,3,1
4,1,0,3,2,0,0,2,3,0,0,1,1,4,0,0,4,1,0,1,1,0,1,0,1
5,0,0,3,0,1,2,2,1,0,3,1,0,5,1,0,3,0,0,1,5,3,0,0,1
6,2,1,1,0,1,0,3,1,0,1,0,1,0,1,2,0,1,0,1,2,0,2,1,3
7,1,3,6,0,6,0,2,1,1,4,4,1,3,1,1,2,1,1,0,6,0,6,1,1
8,2,1,2,4,4,2,2,1,1,2,1,2,4,1,0,4,4,0,1,0,1,4,0,1
9,3,0,0,0,3,0,1,1,0,2,3,2,0,0,0,3,2,3,2,0,1,1,0,3
10,0,0,0,0,5,0,1,1,0,2,3,0,1,1,0,5,0,1,1,0,0,3,2,0
11,0,5,0,1,5,0,1,2,0,2,2,1,2,0,0,1,0,1,1,0,1,0,1,0
12,0,1,0,1,0,0,1,0,1,1,1,0,7,1,1,1,0,0,4,0,0,4,1,7
13,0,2,2,2,3,0,0,0,2,0,0,3,3,0,2,2,0,3,0,0,0,3,3,0
14,1,2,0,3,2,0,3,0,1,3,5,1,2,1,1,5,2,0,0,2,3,1,0,2
15,2,2,2,2,1,1,2,0,2,2,1,0,0,1,4,0,0,2,2,2,0,4,1,1
16,1,0,1,0,5,1,1,5,1,3,0,2,1,1,1,1,3,1,2,0,0,1,0,1
17,0,5,2,0,0,2,3,1,1,2,2,1,1,0,1,3,5,0,1,2,0,1,2,1
18,0,2,1,1,3,0,1,1,1,0,2,0,2,1,0,3,1,1,1,2,1,1,0,1
19,2,0,1,1,4,3,1,0,0,1,3,4,1,1,0,0,0,0,1,0,0,2,0,1
20,1,0,0,1,0,1,2,1,1,2,2,1,1,0,0,2,1,2,2,0,1,2,2,1
21,1,2,0,1,4,0,2,1,0,4,3,0,1,2,2,1,0,1,1,0,0,3,1,0
22,2,0,3,1,3,0,0,0,1,3,0,0,3,0,0,1,0,3,0,2,0,3,1,0
23,2,1,1,2,2,0,1,2,0,4,2,1,4,0,1,1,0,3,0,2,1,1,3,0
24,0,0,0,2,2,0,2,2,1,2,2,4,4,2,2,2,0,0,1,2,2,1,2,1
25,1,2,2,0,1,0,0,1,2,2,2,2,0,0,2,1,1,2,0,0,0,2,2,1
26,1,1,4,2,4,1,0,1,1,1,2,0,5,0,2,4,1,0,0,2,0,5,1,4
27,1,2,2,1,2,1,0,0,1,0,0,2,4,0,0,4,0,1,1,2,2,0,0,0
28,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,3,1,1,3,0,3,3,0
29,0,1,2,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,2
30,2,1,2,1,2,1,5,0,2,1,1,2,1,2,1,2,1,2,0,3,0,5,3,0
31,0,3,0,0,2,0,0,0,0,2,3,1,3,0,0,2,2,0,2,0,0,2,1,3
32,1,2,2,1,0,0,2,0,1,1,2,0,3,0,0,2,0,0,0,2,1,1,0,3
