,Stuttgart scored,Stuttgart received,Wolfsburg scored,Wolfsburg received,Dortmund scored,Dortmund received,Mainz scored,Mainz received,Werder Bremen scored,Werder Bremen received,Hannover scored,Hannover received,Nurnberg scored,Nurnberg received,M'gladbach scored,M'gladbach received,Augsburg scored,Augsburg received,Freiburg scored,Freiburg received,Hoffenheim scored,Hoffenheim received,Bayern Munich scored,Bayern Munich received,Hertha scored,Hertha received,Hamburg scored,Hamburg received,Kaiserslautern scored,Kaiserslautern received,Leverkusen scored,Leverkusen received,FC Koln scored,FC Koln received,Schalke 04 scored,Schalke 04 received
0,3,0,3,0,3,1,2,0,2,0,2,1,1,0,1,0,2,2,2,2,1,2,0,1,0,1,1,3,0,2,0,2,0,3,0,3
1,1,1,0,1,0,1,2,1,0,1,2,1,1,2,1,1,1,1,1,2,1,0,1,0,2,2,2,2,1,1,1,0,1,5,5,1
2,0,1,1,4,2,0,2,4,5,3,1,1,0,2,4,1,0,2,3,5,2,0,5,0,1,1,0,5,1,1,1,0,1,1,4,2
3,0,1,0,3,0,0,1,1,2,1,1,1,1,0,0,1,0,1,3,0,1,2,3,0,1,0,3,4,0,3,0,0,4,3,1,0
4,3,0,2,1,1,2,0,4,2,0,0,3,2,1,1,0,1,4,0,7,4,0,7,0,2,1,0,2,0,1,4,1,1,2,1,2
5,2,1,1,3,1,2,1,3,1,1,2,1,1,1,1,0,2,2,1,2,3,1,2,0,2,2,0,1,3,1,1,4,4,1,0,2
6,1,2,1,0,2,1,1,2,2,1,0,0,0,1,1,0,0,0,2,4,0,2,3,0,1,2,2,1,0,1,0,3,2,0,4,2
7,2,0,1,3,4,0,3,3,2,3,3,2,3,3,0,1,0,4,1,0,0,0,0,0,3,0,1,2,0,2,3,1,0,3,2,1
8,2,0,2,1,2,0,0,1,0,2,0,2,1,2,2,2,1,0,1,2,0,2,4,0,0,4,2,1,2,1,2,2,2,0,1,2
9,2,2,1,1,5,0,0,0,1,1,2,1,2,2,0,1,1,1,0,1,1,0,1,2,0,0,1,1,1,0,0,1,0,5,1,0
10,1,1,2,3,1,1,1,3,3,1,1,2,0,4,2,1,0,3,0,1,1,3,4,0,3,2,1,1,1,1,1,0,3,0,3,1
11,1,3,1,5,5,1,3,1,3,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,3,2,2
12,2,1,4,1,1,0,1,1,0,5,1,4,0,4,5,0,1,2,2,2,0,2,0,1,2,2,2,0,0,2,2,0,1,1,4,0
13,0,2,0,2,2,0,3,2,2,0,1,1,1,0,3,0,2,0,1,1,1,1,2,3,3,3,1,1,0,1,3,3,0,3,0,2
14,2,2,2,2,1,1,2,2,1,4,1,1,0,2,1,1,1,3,1,1,0,2,4,1,1,1,2,0,1,1,2,0,2,2,3,1
15,1,2,1,4,1,1,0,0,4,1,0,0,0,2,0,1,1,0,0,4,2,0,2,1,1,2,0,0,1,1,0,0,4,0,2,1
16,0,1,1,0,4,1,0,1,0,5,1,1,3,0,1,0,1,1,1,4,1,1,3,0,1,1,1,1,1,1,0,3,0,3,5,0
17,1,3,1,0,5,1,2,3,0,0,0,0,2,0,3,1,0,1,1,0,0,0,1,3,0,2,1,5,0,0,3,2,0,1,3,1
18,0,3,0,2,3,1,3,1,1,1,1,0,0,1,3,0,2,2,1,3,1,3,2,0,1,2,2,1,2,2,1,1,1,4,4,1
19,2,2,0,0,2,0,1,1,2,2,1,0,0,2,0,0,2,2,2,2,2,2,1,1,0,1,1,1,0,1,2,2,1,0,1,1
20,5,0,3,2,1,0,1,1,1,1,1,1,0,0,3,0,0,0,2,3,1,1,2,0,0,5,1,0,0,2,0,1,0,1,0,3
21,2,4,0,4,1,0,1,1,3,1,4,2,2,1,2,1,1,4,0,0,1,1,0,0,0,1,1,3,1,2,4,1,1,2,4,0
22,4,1,1,2,3,1,4,0,0,1,1,3,1,0,1,1,3,0,1,4,2,1,2,0,0,3,1,1,0,4,2,0,0,2,0,2
23,4,0,0,0,2,1,1,2,0,1,2,2,1,0,0,1,2,2,2,1,1,1,0,2,1,0,0,4,0,0,2,0,1,1,1,2
24,0,0,3,2,0,0,2,1,3,0,0,3,1,2,0,0,0,0,0,0,1,7,7,1,0,1,1,3,0,0,2,3,1,0,3,1
25,2,1,3,1,1,0,1,2,0,1,4,1,1,3,2,1,2,1,3,1,1,2,6,0,0,6,1,3,1,4,1,2,1,4,4,1
26,1,0,2,1,6,1,1,3,1,1,1,2,0,1,1,2,1,1,2,0,2,1,2,1,3,1,1,2,0,2,0,2,1,6,2,0
27,4,4,4,1,4,4,3,0,0,3,2,1,0,1,1,2,2,1,2,0,1,1,1,0,1,4,1,0,0,1,0,2,1,2,1,1
28,4,1,1,3,3,1,1,4,1,1,0,3,2,2,0,0,1,2,2,2,2,1,2,1,0,0,1,1,1,2,1,1,1,1,3,0
29,3,1,0,2,1,0,4,0,2,2,2,0,4,1,2,2,1,3,2,1,4,0,0,1,1,2,0,4,1,3,3,1,0,4,1,4
30,4,1,1,2,2,1,0,0,1,4,0,1,2,0,3,0,2,1,0,0,0,0,0,0,3,3,1,0,0,2,3,3,0,3,1,2
31,1,1,0,0,2,0,0,0,1,2,0,0,1,1,0,2,1,1,0,0,0,1,2,1,1,2,1,1,2,1,1,0,1,1,1,1
32,0,2,3,1,5,2,0,0,1,3,0,1,3,2,0,0,0,0,4,1,2,3,2,0,0,4,0,0,2,5,1,0,1,4,4,0
33,3,2,2,3,4,0,0,3,2,3,2,1,1,4,3,0,1,0,0,4,1,3,4,1,3,1,0,1,1,2,4,1,1,4,3,2
