,Roma scored,Roma received,Genoa scored,Genoa received,Chievo scored,Chievo received,Lazio scored,Lazio received,Milan scored,Milan received,Juventus scored,Juventus received,Bologna scored,Bologna received,Sampdoria scored,Sampdoria received,Sassuolo scored,Sassuolo received,Pescara scored,Pescara received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Torino scored,Torino received,Fiorentina scored,Fiorentina received,Empoli scored,Empoli received,Crotone scored,Crotone received,Palermo scored,Palermo received,Cagliari scored,Cagliari received,Inter scored,Inter received,Udinese scored,Udinese received
0,4.0,0.0,3.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,4.0
1,3.0,1.0,3.0,1.0,1.0,0.5,2.0,2.0,2.5,3.0,1.5,0.5,1.0,2.5,1.5,0.5,0.5,1.5,2.5,1.0,3.0,2.0,2.0,3.0,3.5,2.0,1.0,1.0,0.0,1.5,0.5,2.0,0.5,1.0,1.5,2.5,0.5,1.5,1.0,2.0
2,3.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.0,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,2.0,1.3333333333333333,3.0,1.3333333333333333,2.0,2.3333333333333335,2.6666666666666665,2.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.3333333333333333
3,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,3.0,1.3333333333333333,1.6666666666666667,1.0,2.0,1.3333333333333333,1.6666666666666667,3.3333333333333335,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666
4,2.3333333333333335,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0,0.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,2.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333
5,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.0,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,1.0,0.3333333333333333,1.0,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667
6,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.0,1.0,2.6666666666666665,0.0,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,0.0,2.3333333333333335,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.0,0.6666666666666666,2.0
7,2.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,2.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,3.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,1.0,2.3333333333333335,0.6666666666666666,2.0,2.0,1.0,1.0,1.6666666666666667,0.3333333333333333,2.0
8,3.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,2.0,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,1.0,2.0,2.0,0.6666666666666666,2.0,1.0,1.6666666666666667,1.0,0.3333333333333333,2.6666666666666665,1.3333333333333333,2.0,1.6666666666666667,0.0,1.0,1.0,2.0,1.0,3.0,2.3333333333333335,2.3333333333333335,1.0,2.0,1.3333333333333333,2.0
9,3.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.0,1.0,1.0,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.6666666666666667,1.0,3.6666666666666665,2.0,3.3333333333333335,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333
