,Roma scored,Roma received,Genoa scored,Genoa received,Chievo scored,Chievo received,Lazio scored,Lazio received,Milan scored,Milan received,Juventus scored,Juventus received,Bologna scored,Bologna received,Sampdoria scored,Sampdoria received,Sassuolo scored,Sassuolo received,Pescara scored,Pescara received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Torino scored,Torino received,Fiorentina scored,Fiorentina received,Empoli scored,Empoli received,Crotone scored,Crotone received,Palermo scored,Palermo received,Cagliari scored,Cagliari received,Inter scored,Inter received,Udinese scored,Udinese received
0,4,0,3,1,2,0,4,3,3,2,2,1,1,0,1,0,1,0,2,2,2,2,3,4,2,3,1,2,0,1,0,1,0,1,1,3,0,2,0,4
1,2,2,3,1,0,1,0,1,2,4,1,0,1,5,2,1,0,3,3,0,4,2,1,2,5,1,1,0,0,2,1,3,1,1,2,2,1,1,2,0
2,3,2,1,0,1,1,1,1,0,1,3,1,2,1,2,3,1,3,1,2,3,0,2,1,1,2,0,1,2,1,1,2,0,3,1,2,2,1,1,0
3,0,1,0,2,2,1,3,0,1,0,1,2,1,3,0,1,2,0,0,3,3,1,0,3,0,0,1,0,0,0,1,1,1,1,3,0,2,1,1,2
4,4,0,0,0,2,1,0,2,2,0,4,0,2,0,0,2,1,2,0,0,0,0,0,1,0,0,2,2,0,2,0,4,1,0,0,4,2,0,2,2
5,1,3,1,1,0,2,2,0,0,0,1,0,1,1,1,2,1,0,1,1,2,0,3,1,3,1,0,0,0,2,1,3,0,1,2,1,1,1,0,1
6,2,1,1,0,2,0,3,0,4,3,3,0,0,1,1,1,3,4,0,2,0,1,1,0,2,1,1,2,0,3,1,2,1,1,2,1,1,2,0,3
7,3,1,0,0,1,3,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,3,0,0,4,1,0,0,0,0,1,2,1,4,2,1,1,2,1,2
8,4,1,1,2,0,0,2,2,1,0,0,1,1,1,2,1,1,1,1,3,2,1,2,1,2,2,5,3,0,0,1,2,1,4,3,5,1,2,3,1
9,3,1,3,0,1,1,4,1,0,3,4,1,1,1,1,4,1,3,0,1,2,0,1,0,1,2,1,1,0,2,1,1,1,3,1,4,2,1,3,1
10,0,0,0,3,0,2,2,1,1,0,2,1,0,1,1,0,1,2,0,1,1,2,3,0,2,2,1,0,0,0,2,0,1,2,2,1,0,1,2,2
11,3,0,1,1,1,2,1,1,2,1,2,1,0,3,1,1,0,3,0,4,1,1,3,0,5,1,1,1,4,0,0,3,1,2,1,5,3,0,1,1
12,1,2,1,3,1,0,3,1,2,2,3,0,3,1,3,2,2,3,0,3,2,1,2,1,2,0,4,0,0,4,0,2,1,3,0,1,2,2,1,2
13,3,2,3,1,1,2,1,0,4,1,1,3,0,2,1,1,1,1,2,3,1,1,2,0,2,1,2,4,1,4,1,1,0,1,2,1,4,2,1,2
14,2,0,0,0,0,0,0,2,2,1,3,1,0,1,2,0,3,0,1,1,3,0,1,3,0,2,2,1,0,3,1,2,1,2,1,1,0,3,1,0
15,1,0,0,2,2,0,2,1,0,1,3,1,0,0,1,2,1,2,1,2,5,0,1,3,1,3,2,1,0,0,2,1,0,2,0,5,2,0,3,1
16,0,1,3,4,2,1,3,1,0,0,1,0,3,0,1,2,0,1,0,3,5,3,0,0,3,5,1,3,2,0,0,2,4,3,0,2,1,0,2,0
17,3,1,0,1,1,3,0,3,1,0,2,0,0,1,0,0,3,4,1,1,3,3,2,1,1,0,3,3,1,2,0,2,1,1,4,3,3,0,0,0
18,1,0,0,1,1,4,1,0,1,0,3,0,0,3,1,2,0,0,1,2,2,1,4,1,0,0,2,1,1,0,0,1,0,1,0,1,2,1,1,2
19,1,0,1,4,1,3,2,1,2,2,1,2,1,0,0,0,4,1,1,3,3,1,1,2,2,2,2,1,0,0,0,1,1,4,4,1,3,1,0,1
20,1,0,2,2,0,3,0,2,1,2,2,0,2,0,0,1,3,1,1,3,2,1,1,0,0,2,3,0,1,0,2,2,0,1,0,1,1,0,0,1
21,2,3,3,3,1,0,0,1,1,2,2,0,1,1,3,2,0,2,0,3,1,1,1,1,1,1,3,3,1,4,4,1,1,1,1,1,3,0,2,1
22,4,0,0,1,0,0,6,2,0,1,1,0,1,7,1,0,1,0,2,6,7,1,2,0,1,1,0,4,1,1,0,1,1,0,0,2,0,1,0,0
23,2,0,0,2,3,1,1,1,1,1,2,0,1,3,3,1,1,3,3,5,2,0,3,1,5,3,3,0,0,2,0,2,1,3,0,2,2,0,0,3
24,4,1,0,5,1,3,2,1,2,1,4,1,0,1,1,1,2,1,5,0,3,1,1,0,1,4,1,2,1,2,0,1,1,4,1,1,1,0,1,2
25,3,1,1,1,2,0,1,0,1,0,2,0,1,1,1,1,0,1,0,2,0,2,2,0,2,2,2,2,0,2,1,2,1,1,2,1,1,3,0,1
26,1,2,2,0,1,3,2,0,3,1,1,1,0,2,3,1,0,0,1,3,2,1,0,0,3,1,0,0,0,2,0,0,1,3,1,5,5,1,1,1
27,3,0,0,1,4,0,3,1,1,2,2,1,1,0,1,0,0,1,1,3,3,0,1,7,1,3,1,0,0,4,0,3,0,3,0,1,7,1,3,1
28,3,1,0,1,1,4,0,0,1,0,1,0,4,1,0,1,1,3,0,3,3,2,3,0,2,2,1,0,2,3,0,1,1,4,0,0,2,2,4,1
29,2,0,0,5,1,2,2,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,5,0,2,2,1,0,0,2,2,1,1,3,3,1,1,2,2,2
30,3,0,0,3,0,2,0,3,4,0,2,0,0,3,2,2,1,1,1,1,3,0,1,1,3,2,2,2,1,1,2,1,0,4,2,3,1,2,3,0
