,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Man City,Leicester,Crystal Palace,West Ham,Aston Villa,Liverpool,Man United,Chelsea,Everton,Newcastle,Southampton,Swansea,Watford,Bournemouth,Stoke,Tottenham,Sunderland,Norwich,Arsenal,West Brom
1,Man City,Leicester,Liverpool,Man United,Everton,Swansea,Crystal Palace,West Ham,Norwich,Aston Villa,Arsenal,Watford,Stoke,Tottenham,Newcastle,Chelsea,Southampton,West Brom,Bournemouth,Sunderland
2,Man City,Leicester,Liverpool,Man United,Crystal Palace,Swansea,Everton,Norwich,Arsenal,Chelsea,West Ham,Watford,Bournemouth,Aston Villa,Stoke,Tottenham,Newcastle,Southampton,Sunderland,West Brom
3,Man City,Crystal Palace,Leicester,Swansea,Man United,Arsenal,Liverpool,West Ham,Everton,Southampton,Bournemouth,Aston Villa,Chelsea,Norwich,West Brom,Tottenham,Watford,Stoke,Newcastle,Sunderland
4,Man City,Leicester,Man United,Arsenal,West Ham,Crystal Palace,Everton,Swansea,Norwich,Liverpool,Southampton,Tottenham,Watford,West Brom,Aston Villa,Bournemouth,Chelsea,Stoke,Sunderland,Newcastle
5,Man City,Man United,West Ham,Leicester,Arsenal,Everton,Swansea,Crystal Palace,Tottenham,Watford,Norwich,West Brom,Liverpool,Bournemouth,Chelsea,Southampton,Aston Villa,Stoke,Newcastle,Sunderland
6,Man United,Man City,West Ham,Arsenal,Everton,Tottenham,Crystal Palace,Leicester,Liverpool,Southampton,Swansea,Norwich,Watford,Chelsea,West Brom,Bournemouth,Stoke,Aston Villa,Newcastle,Sunderland
7,Man City,Arsenal,Man United,Crystal Palace,Leicester,West Ham,Everton,Tottenham,Southampton,Liverpool,Swansea,Watford,Norwich,Stoke,Bournemouth,Chelsea,West Brom,Aston Villa,Sunderland,Newcastle
8,Man City,Arsenal,Man United,West Ham,Leicester,Crystal Palace,Tottenham,Southampton,Everton,Liverpool,Stoke,Chelsea,West Brom,Swansea,Watford,Norwich,Bournemouth,Newcastle,Aston Villa,Sunderland
9,Man City,Arsenal,West Ham,Man United,Leicester,Tottenham,Crystal Palace,Southampton,Liverpool,West Brom,Everton,Swansea,Watford,Stoke,Chelsea,Norwich,Bournemouth,Sunderland,Newcastle,Aston Villa
10,Man City,Arsenal,Leicester,Man United,Tottenham,West Ham,Southampton,Liverpool,Everton,Crystal Palace,Watford,West Brom,Swansea,Stoke,Chelsea,Norwich,Bournemouth,Newcastle,Sunderland,Aston Villa
11,Man City,Arsenal,Leicester,Man United,Tottenham,West Ham,Southampton,Crystal Palace,Everton,Liverpool,Watford,Stoke,West Brom,Swansea,Norwich,Chelsea,Newcastle,Bournemouth,Sunderland,Aston Villa
12,Leicester,Man United,Man City,Arsenal,Tottenham,West Ham,Everton,Southampton,Liverpool,Crystal Palace,Stoke,West Brom,Watford,Swansea,Chelsea,Norwich,Newcastle,Sunderland,Bournemouth,Aston Villa
13,Man City,Leicester,Man United,Arsenal,Tottenham,Liverpool,Crystal Palace,West Ham,Everton,Southampton,Watford,Stoke,West Brom,Chelsea,Swansea,Norwich,Sunderland,Bournemouth,Newcastle,Aston Villa
14,Leicester,Arsenal,Man City,Man United,Tottenham,Crystal Palace,West Ham,Liverpool,Everton,Watford,Stoke,Southampton,West Brom,Chelsea,Swansea,Norwich,Bournemouth,Newcastle,Sunderland,Aston Villa
15,Leicester,Arsenal,Man City,Man United,Tottenham,Crystal Palace,Watford,West Ham,Liverpool,Everton,Stoke,Southampton,West Brom,Bournemouth,Newcastle,Chelsea,Swansea,Norwich,Sunderland,Aston Villa
16,Leicester,Arsenal,Man City,Tottenham,Man United,Crystal Palace,Watford,West Ham,Liverpool,Everton,Stoke,Southampton,West Brom,Bournemouth,Chelsea,Norwich,Newcastle,Swansea,Sunderland,Aston Villa
17,Leicester,Arsenal,Man City,Tottenham,Crystal Palace,Man United,Watford,Liverpool,Everton,West Ham,Stoke,Southampton,West Brom,Bournemouth,Chelsea,Swansea,Norwich,Newcastle,Sunderland,Aston Villa
18,Arsenal,Leicester,Man City,Tottenham,Crystal Palace,Man United,Liverpool,West Ham,Watford,Stoke,Everton,Southampton,West Brom,Chelsea,Norwich,Bournemouth,Swansea,Newcastle,Sunderland,Aston Villa
