,Man City scored,Man City received,Leicester scored,Leicester received,Crystal Palace scored,Crystal Palace received,West Ham scored,West Ham received,Aston Villa scored,Aston Villa received,Liverpool scored,Liverpool received,Man United scored,Man United received,Chelsea scored,Chelsea received,Everton scored,Everton received,Newcastle scored,Newcastle received,Southampton scored,Southampton received,Swansea scored,Swansea received,Stoke scored,Stoke received,Tottenham scored,Tottenham received,Sunderland scored,Sunderland received,Arsenal scored,Arsenal received,West Brom scored,West Brom received,Watford scored,Watford received,Bournemouth scored,Bournemouth received,Norwich scored,Norwich received
0,4.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,3.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,2.0,1.6666666666666667,1.0,1.6666666666666667,3.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,,,,,,
1,3.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,2.0,0.3333333333333333,2.6666666666666665,1.0,3.0,0.6666666666666666,0.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,2.0,2.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.0,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,,,,,,
2,2.3333333333333335,0.0,2.6666666666666665,1.0,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,0.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,1.6666666666666667,1.0,0.6666666666666666,3.0,1.3333333333333333,1.3333333333333333,1.0,1.0,2.3333333333333335,2.0,0.6666666666666666,1.0,2.3333333333333335,,,,,,
3,2.3333333333333335,0.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,1.0,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.0,1.0,1.3333333333333333,2.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667
4,1.6666666666666667,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.3333333333333333,2.0,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,1.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,2.0,2.3333333333333335,1.3333333333333333,1.6666666666666667
5,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.0,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667
6,1.0,2.0,2.3333333333333335,3.0,0.3333333333333333,0.6666666666666666,2.0,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,3.0,1.0,1.6666666666666667,1.6666666666666667,2.0,1.0,1.0,2.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,0.3333333333333333,0.0,2.0,2.3333333333333335,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333
7,2.6666666666666665,2.3333333333333335,2.0,2.6666666666666665,1.0,0.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,3.3333333333333335,2.6666666666666665,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.0,2.3333333333333335,1.0,0.6666666666666666,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,1.0,1.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667
8,4.0,2.0,2.0,2.6666666666666665,1.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.0,2.0,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,3.0,3.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,2.0,1.3333333333333333,0.3333333333333333,2.0,1.0,0.6666666666666666,2.0,3.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,2.6666666666666665,1.6666666666666667,3.3333333333333335
9,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,1.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,2.3333333333333335,3.6666666666666665,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667,1.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,1.0,3.6666666666666665,1.0,3.0
