,Fulham scored,Fulham received,Swansea scored,Swansea received,West Brom scored,West Brom received,Chelsea scored,Chelsea received,Man City scored,Man City received,Newcastle scored,Newcastle received,Everton scored,Everton received,West Ham scored,West Ham received,Reading scored,Reading received,Stoke scored,Stoke received,Arsenal scored,Arsenal received,Sunderland scored,Sunderland received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Aston Villa scored,Aston Villa received,Man United scored,Man United received,Wigan scored,Wigan received,Liverpool scored,Liverpool received,Norwich scored,Norwich received,QPR scored,QPR received
14,25,26,23,17,24,19,25,16,28,11,17,21,25,19,19,17,19,30,14,12,24,16,16,18,21,32,28,23,12,23,37,21,15,28,19,18,13,21,11,27
15,27,27,26,21,24,21,28,17,30,14,18,23,27,20,21,20,19,31,14,12,26,16,17,21,22,32,29,25,12,23,40,23,17,30,22,20,17,24,13,29
16,28,29,26,22,24,21,30,19,33,15,19,26,28,21,21,20,21,36,15,13,31,18,18,24,24,34,30,25,15,24,43,24,18,32,23,23,19,25,15,30
17,28,33,27,23,26,22,38,19,34,15,20,26,30,22,22,22,21,37,15,13,32,18,19,24,24,35,30,25,15,32,44,25,18,33,27,23,20,27,15,31
18,29,34,27,23,28,23,39,19,34,16,23,30,32,23,23,27,21,37,18,14,37,19,20,24,25,36,34,25,15,36,48,28,19,35,28,26,20,28,16,33
19,30,36,29,24,28,25,41,20,38,19,26,37,33,25,23,28,22,37,21,17,44,22,21,26,28,39,36,26,15,39,50,28,22,35,31,26,23,32,16,36
20,32,37,31,26,29,27,41,21,41,19,27,39,35,26,25,29,23,40,21,20,45,23,21,29,29,40,39,27,17,41,54,28,22,39,34,26,24,34,17,36
21,33,38,31,26,31,30,45,21,43,19,27,39,35,26,25,32,26,42,21,24,45,25,24,29,30,40,39,27,17,42,56,29,23,40,35,28,24,34,17,36
22,33,40,34,27,33,32,47,22,45,19,28,41,35,26,26,33,28,43,22,27,46,27,27,31,30,40,40,28,19,44,57,30,25,43,40,28,24,39,18,37
23,36,41,34,27,34,34,49,24,45,19,30,42,37,27,27,36,30,45,24,29,48,29,27,31,31,42,41,29,20,46,59,31,27,45,42,30,25,40,18,37
24,36,42,34,28,34,35,51,27,47,21,33,44,40,30,28,36,32,46,24,30,49,29,28,33,33,44,42,29,23,49,60,31,29,47,44,32,25,40,18,37
25,36,42,38,29,36,35,55,28,48,24,34,46,40,32,29,38,33,48,26,31,50,29,28,34,36,45,44,30,25,50,62,31,30,51,44,34,25,40,19,41
26,37,42,38,34,38,36,55,30,50,24,38,48,41,34,31,41,33,51,26,32,52,30,29,36,38,49,47,32,26,52,64,31,33,51,49,34,27,41,19,43
27,39,44,39,34,38,37,56,30,51,24,38,49,44,35,32,41,34,54,26,33,53,32,31,38,39,51,49,33,26,53,68,31,33,55,53,34,27,45,21,44
28,39,47,40,36,40,38,59,30,52,24,40,50,44,35,34,43,35,56,27,35,53,32,32,41,39,51,51,36,28,54,70,33,33,56,56,36,27,45,24,45
29,40,47,40,38,40,38,61,30,52,26,41,52,46,35,34,45,35,57,27,35,55,32,33,42,42,52,51,37,31,56,71,33,35,57,57,39,28,46,26,48
30,43,49,41,40,41,41,62,32,56,26,41,56,47,35,37,46,36,61,27,36,59,33,33,43,44,53,53,38,32,58,72,33,36,57,59,40,28,47,28,51
31,43,50,43,42,42,43,64,33,58,27,42,56,49,37,37,46,36,63,28,39,61,34,34,45,46,53,55,40,35,59,73,35,37,58,59,40,30,49,29,52
32,44,51,46,44,42,44,66,35,59,27,42,59,51,37,38,47,36,63,28,41,64,35,37,45,47,54,57,42,36,60,75,35,39,61,59,40,31,52,29,54
33,44,52,46,44,43,45,68,37,60,30,43,60,51,38,40,47,37,65,30,41,65,35,38,45,47,54,60,43,36,63,78,35,39,63,61,42,33,53,29,56
