,Chelsea scored,Chelsea received,Blackpool scored,Blackpool received,Aston Villa scored,Aston Villa received,Man United scored,Man United received,Wolves scored,Wolves received,Blackburn scored,Blackburn received,Birmingham scored,Birmingham received,Sunderland scored,Sunderland received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Bolton scored,Bolton received,Fulham scored,Fulham received,Man City scored,Man City received,Tottenham scored,Tottenham received,Stoke scored,Stoke received,Everton scored,Everton received,Newcastle scored,Newcastle received,West Ham scored,West Ham received,Wigan scored,Wigan received,West Brom scored,West Brom received
0,6,0,4,0,3,0,3,0,2,1,1,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,3,0,4,0,6
1,6,0,0,6,0,6,2,2,1,1,1,2,2,1,0,1,6,0,0,3,3,1,2,2,3,0,2,1,1,2,1,1,6,0,1,3,0,6,1,0
2,2,0,2,2,1,0,3,0,1,1,1,2,2,2,1,0,2,1,1,0,2,2,2,2,0,1,0,1,0,2,0,1,1,1,0,3,1,0,0,1
3,3,1,2,0,1,2,3,3,1,2,1,1,0,0,1,1,4,1,0,0,1,4,2,1,1,1,1,1,2,1,3,3,0,2,1,3,1,1,1,1
4,4,0,0,4,1,1,3,2,1,3,1,1,1,3,1,1,1,1,2,3,1,1,1,1,2,0,3,1,1,1,0,1,1,0,1,1,0,2,3,1
5,0,1,1,2,2,1,2,2,1,2,2,1,0,0,2,2,2,3,2,2,2,2,0,0,1,0,0,1,2,1,0,0,1,2,1,0,0,0,3,2
6,2,0,2,1,1,2,0,0,0,2,0,1,0,2,0,0,0,2,1,2,1,1,1,1,2,1,2,1,1,0,2,0,1,2,1,1,2,0,1,1
7,0,0,2,3,0,0,2,2,1,1,0,0,1,2,0,0,2,1,0,2,2,1,1,2,3,2,2,1,1,2,2,0,2,2,1,1,2,2,2,2
8,2,0,0,2,0,1,2,1,0,2,1,2,2,0,1,0,3,0,2,1,1,1,1,2,0,3,1,1,1,2,1,1,2,1,1,2,1,1,2,1
9,2,1,2,1,0,0,2,0,2,1,1,2,0,0,1,5,1,0,1,0,0,1,2,0,1,2,0,2,0,1,1,0,5,1,0,1,0,2,1,2
10,0,2,2,2,1,1,2,1,1,2,2,1,2,2,2,0,0,1,2,0,4,2,1,1,2,0,2,4,0,2,2,2,1,0,2,2,1,2,0,2
11,1,0,2,3,3,2,0,0,0,2,2,1,2,3,1,1,2,0,1,1,1,1,0,1,0,0,1,1,3,2,1,1,1,2,2,2,1,1,2,2
12,0,3,0,0,2,2,2,2,2,3,2,4,0,0,3,0,2,1,0,2,3,2,0,0,0,0,4,2,2,0,1,2,0,0,0,0,1,0,0,1
13,0,1,2,1,0,2,2,0,1,2,2,0,1,0,2,2,2,3,3,0,5,1,1,4,4,1,3,2,3,0,2,2,1,5,0,3,0,2,0,3
