,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,18/08/12,Arsenal,Sunderland,80,75,80,74,79,73,0.6822248322886082,0.20595935395748585,0.11181581375390592,X,1.3816666666666666,4.576666666666667,8.43,11.0,12.0,0.0,0.0,0.0,0.0
1,18/08/12,Fulham,Norwich,78,72,75,73,75,73,0.5223269269009894,0.2652077592242471,0.2124653138747634,1,1.8033333333333332,3.5516666666666663,4.433333333333334,1.0,19.0,5.0,0.0,0.0,5.0
2,18/08/12,Newcastle,Tottenham,81,82,77,79,77,78,0.3702811530724285,0.28461771155041443,0.3451011353771571,1,2.558333333333333,3.328333333333333,2.745,6.0,14.0,2.0,1.0,1.0,2.0
3,18/08/12,QPR,Swansea,77,74,74,73,73,73,0.4650030877010168,0.2765436865182258,0.2584532257807573,2,2.025,3.405,3.643333333333333,20.0,2.0,0.0,5.0,5.0,0.0
4,18/08/12,Reading,Stoke,72,74,71,75,69,74,0.3953501147108068,0.2912466521281456,0.3134032331610475,X,2.396666666666667,3.253333333333334,3.023333333333333,9.0,10.0,1.0,1.0,1.0,1.0
5,18/08/12,West Brom,Liverpool,74,76,71,79,74,80,0.2372896188767307,0.2707986842518554,0.49191169687141406,1,3.973333333333333,3.481666666666667,1.9166666666666663,3.0,18.0,3.0,0.0,0.0,3.0
6,18/08/12,West Ham,Aston Villa,75,74,72,71,74,72,0.4250959748229488,0.28410616426386165,0.29079786091318965,1,2.2266666666666666,3.331666666666667,3.2550000000000003,8.0,15.0,1.0,0.0,0.0,1.0
7,19/08/12,Man City,Southampton,85,73,80,71,83,74,0.7995438593613429,0.1420295247659471,0.05842661587271001,1,1.1783333333333332,6.633333333333333,16.125,5.0,13.0,3.0,2.0,2.0,3.0
8,19/08/12,Wigan,Chelsea,74,82,72,81,72,80,0.1566339644745421,0.2426581185778789,0.600707916947579,2,6.008333333333333,3.878333333333333,1.5666666666666669,17.0,4.0,0.0,2.0,2.0,0.0
9,20/08/12,Everton,Man United,74,86,77,82,76,81,0.2221150412565638,0.26608072326476523,0.5118042354786709,1,4.266666666666667,3.561666666666667,1.8516666666666663,7.0,16.0,1.0,0.0,0.0,1.0
10,22/08/12,Chelsea,Reading,82,72,81,71,80,69,0.7517980949912525,0.1705436402514093,0.07765826475733817,1,1.2533333333333332,5.525,12.133333333333333,4.0,9.0,2.0,0.0,1.0,1.0
11,25/08/12,Aston Villa,Everton,74,74,71,77,72,76,0.3309529276770654,0.2864592561313572,0.3825878161915773,2,2.865,3.31,2.478333333333333,20.0,3.0,0.5,2.0,2.0,0.5
12,25/08/12,Chelsea,Newcastle,82,81,81,77,80,77,0.6286842801631217,0.22472542082541008,0.1465902990114682,1,1.5066666666666668,4.215,6.461666666666666,2.0,10.0,2.0,0.0,1.0,1.5
13,25/08/12,Man United,Fulham,86,78,82,75,81,75,0.7337676335509705,0.17709730102997112,0.08913506541905833,1,1.2840000000000005,5.32,10.57,8.0,7.0,1.5,1.5,3.5,1.5
14,25/08/12,Norwich,QPR,72,77,73,74,73,73,0.416730822725491,0.2813451375315877,0.30192403974292115,X,2.2616666666666667,3.35,3.1216666666666666,17.0,18.0,0.5,3.0,0.5,3.0
15,25/08/12,Southampton,Wigan,73,74,71,72,74,72,0.4483520513760904,0.2795267613725254,0.27212118725138434,2,2.1,3.3683333333333336,3.4599999999999995,19.0,9.0,1.0,2.5,1.0,1.0
16,25/08/12,Swansea,West Ham,74,75,73,72,73,74,0.4540199291378745,0.2853118159344682,0.2606682549276573,1,2.0716666666666668,3.2966666666666664,3.608333333333334,1.0,11.0,4.0,0.0,0.5,1.5
17,25/08/12,Tottenham,West Brom,82,74,79,71,78,74,0.6372765970644563,0.22450380318056,0.13821959975498369,X,1.4766666666666668,4.191666666666666,6.808333333333334,14.0,4.0,1.0,1.5,2.0,0.5
18,26/08/12,Liverpool,Man City,76,85,79,80,80,83,0.3145834816539109,0.2795095865972126,0.4059069317488765,X,3.015,3.3933333333333335,2.3366666666666664,15.0,6.0,1.0,2.5,2.5,2.0
19,26/08/12,Stoke,Arsenal,74,80,75,80,74,79,0.2651255339207559,0.28451848379672307,0.4503559822825211,X,3.5700000000000003,3.3266666666666667,2.1016666666666666,12.0,13.0,0.5,0.5,0.0,0.0
20,01/09/12,Man City,QPR,85,77,80,74,83,73,0.7896179002334658,0.14244087612054676,0.06794122364598741,1,1.196,6.63,13.9,6.0,18.0,2.5,2.0,0.5,3.0
21,01/09/12,Swansea,Sunderland,74,75,73,74,73,73,0.42936204943944417,0.2874783015311378,0.2831596490294181,X,2.195,3.2783333333333333,3.328333333333333,2.0,8.0,3.333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666
22,01/09/12,Tottenham,Norwich,82,72,79,73,78,73,0.6846298957245889,0.19877128079736756,0.11659882347804346,X,1.376666666666667,4.741666666666667,8.083333333333334,14.0,15.0,1.0,1.3333333333333333,0.6666666666666666,2.333333333333333
23,01/09/12,West Brom,Everton,74,74,71,77,74,76,0.32757680618012397,0.2886271249574873,0.3837960688623887,1,2.89,3.28,2.4666666666666663,3.0,6.0,2.0,0.3333333333333333,1.3333333333333333,1.0
24,01/09/12,West Ham,Fulham,75,78,72,75,74,75,0.3777708228012792,0.2870523491760984,0.3351768280226225,1,2.505,3.296666666666667,2.8233333333333337,7.0,12.0,1.3333333333333333,1.0,2.333333333333333,2.0
25,01/09/12,Wigan,Stoke,74,74,72,75,72,74,0.4198893121235763,0.2905763568731792,0.28953433100324466,X,2.243333333333333,3.2416666666666667,3.2533333333333334,10.0,13.0,1.3333333333333333,1.3333333333333333,1.0,1.0
