,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Draw Odds not normal,Away win Odds not normal,Home win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,11/08/2007,Aston Villa,Liverpool,76,85,72,82,80,83,0.521160068,0.220525811,0.258314121,2,3.816666667,3.258333333,1.615,14,7,1,2,2,1
1,11/08/2007,Bolton,Newcastle,76,82,75,76,76,76,0.367665244,0.360708719,0.271626038,2,2.378333333,3.158333333,2.333333333,19,1,1,3,3,1
2,11/08/2007,Derby,Portsmouth,74,79,68,77,67,77,0.42892098,0.306335105,0.264743916,X,2.758333333,3.191666667,1.97,9,10,2,2,2,2
3,11/08/2007,Everton,Wigan,79,73,79,72,80,73,0.214323479,0.532008636,0.253667886,1,1.645,3.45,4.083333333,6,17,2,1,1,2
4,11/08/2007,Middlesbrough,Blackburn,79,82,76,76,78,79,0.366493517,0.365191124,0.268315358,2,2.345,3.191666667,2.336666667,16,5,1,2,2,1
5,11/08/2007,Sunderland,Tottenham,72,84,70,79,72,80,0.468279494,0.266772897,0.264947609,1,3.145,3.166666667,1.791666667,8,18,1,0,0,1
6,11/08/2007,West Ham,Man City,77,78,76,76,79,75,0.299089584,0.43063936,0.270271056,2,2.008333333,3.2,2.891666667,20,2,0,2,2,0
7,12/08/2007,Arsenal,Fulham,84,76,81,73,83,76,0.119846088,0.675454965,0.204698947,1,1.323333333,4.366666667,7.458333333,4,15,2,1,1,2
8,12/08/2007,Chelsea,Birmingham,87,77,83,72,84,73,0.082873246,0.756567558,0.160559196,1,1.186666667,5.591666667,10.83333333,3,13,3,2,2,3
9,12/08/2007,Man United,Reading,89,79,83,74,86,74,0.089979406,0.737536111,0.172484483,X,1.22,5.216666667,10,11,12,0,0,0,0
10,14/08/2007,Tottenham,Everton,84,79,79,79,80,80,0.251199323,0.481196501,0.267604176,2,1.816666667,3.266666667,3.48,18,6,0,1,2,1
11,15/08/2007,Birmingham,Sunderland,77,72,72,70,73,72,0.355122488,0.377155636,0.267721876,X,2.283333333,3.216666667,2.425,14,7,2,2.5,1.5,1
12,15/08/2007,Fulham,Bolton,76,76,73,75,76,76,0.330026082,0.400108841,0.269865077,1,2.158333333,3.2,2.616666667,9,18,1.5,1.5,1,2.5
13,15/08/2007,Man City,Derby,78,74,76,68,75,67,0.199125182,0.55196834,0.248906478,1,1.593333333,3.533333333,4.416666667,3,15,1.5,0,1,1.5
14,15/08/2007,Portsmouth,Man United,79,89,77,83,77,86,0.586217143,0.162267787,0.25151507,X,5.425,3.5,1.501666667,12,13,1.5,1.5,0.5,0.5
15,15/08/2007,Reading,Chelsea,79,87,74,83,74,84,0.634185957,0.141521671,0.224292373,2,5.758333333,3.633333333,1.285,16,4,0.5,1,2.5,1.5
16,15/08/2007,Wigan,Middlesbrough,73,79,72,76,73,78,0.360005096,0.371166033,0.268828871,1,2.311666667,3.191666667,2.383333333,10,17,1,1,0.5,1.5
17,18/08/2007,Birmingham,West Ham,77,77,72,76,73,79,0.365176925,0.364399953,0.270423123,2,2.35,3.166666667,2.345,14,20,2,2.5,0,3
18,18/08/2007,Fulham,Middlesbrough,76,79,73,76,76,78,0.328943689,0.403469994,0.267586317,2,2.133333333,3.216666667,2.616666667,9,17,1.5,1.5,0.5,1.5
19,18/08/2007,Newcastle,Aston Villa,82,76,76,72,76,80,0.254139275,0.478366172,0.267494553,X,1.826666667,3.266666667,3.438333333,5,8,2,1,2.5,1
20,18/08/2007,Portsmouth,Bolton,79,76,77,75,77,76,0.265364097,0.468865637,0.265770266,1,1.851666667,3.266666667,3.271666667,12,18,1.5,1.5,1,2.5
21,18/08/2007,Reading,Everton,79,79,74,79,74,80,0.368645083,0.360366737,0.27098818,1,2.375,3.158333333,2.321666667,10,5,0.666666667,0.666666667,1.666666667,1
22,18/08/2007,Tottenham,Derby,84,74,79,68,80,67,0.157576295,0.612695846,0.229727859,1,1.446666667,3.858333333,5.625,13,19,1.666666667,1.333333333,0.666666667,2.333333333
23,18/08/2007,Wigan,Sunderland,73,72,72,70,73,72,0.346493954,0.383709972,0.269796074,1,2.25,3.2,2.491666667,4,11,1.666666667,0.666666667,1,1.666666667
24,19/08/2007,Blackburn,Arsenal,82,84,76,81,79,83,0.46413419,0.27220843,0.26365738,X,3.083333333,3.183333333,1.808333333,12,8,1,2,1.333333333,1
25,19/08/2007,Liverpool,Chelsea,85,87,82,83,83,84,0.359123744,0.355434116,0.28544214,X,2.433333333,3.03,2.408333333,2,3,2.333333333,0.666666667,2,1.333333333
26,19/08/2007,Man City,Man United,78,89,76,83,75,86,0.540075691,0.20219907,0.257725239,1,4.1,3.216666667,1.535,1,17,1.333333333,0,0.333333333,0.666666667
27,25/08/2007,Arsenal,Man City,84,78,81,76,83,75,0.201126761,0.558803939,0.2400693,1,1.571666667,3.658333333,4.366666667,8,1,1.333333333,1,1.333333333,0
28,25/08/2007,Aston Villa,Fulham,76,76,72,73,80,76,0.233674575,0.497923394,0.268402031,1,1.783333333,3.308333333,3.8,9,14,1.666666667,0.666666667,1.333333333,1.666666667
29,25/08/2007,Bolton,Reading,76,79,75,74,76,74,0.347020643,0.387769279,0.265210077,1,2.2,3.216666667,2.458333333,20,10,1,2.666666667,0.666666667,0.666666667
30,25/08/2007,Chelsea,Portsmouth,87,79,83,77,84,77,0.111636754,0.70230199,0.186061256,1,1.271666667,4.8,8,3,6,2,1.333333333,2,1.333333333
31,25/08/2007,Derby,Birmingham,74,77,68,72,67,73,0.363528397,0.365599784,0.270871819,2,2.34,3.158333333,2.353333333,20,12,0.333333333,2.333333333,1.333333333,1.333333333
32,25/08/2007,Everton,Blackburn,79,82,79,76,80,79,0.302258455,0.422670359,0.275071186,X,2.05,3.15,2.866666667,7,11,1.333333333,1,0.666666667,2
33,25/08/2007,Sunderland,Liverpool,72,85,70,82,72,83,0.610379708,0.155105983,0.234514309,2,5.266666667,3.483333333,1.338333333,15,1,0.666666667,2.333333333,2.333333333,0.333333333
34,25/08/2007,West Ham,Wigan,77,73,76,72,79,73,0.269157544,0.461684912,0.269157544,X,1.885,3.233333333,3.233333333,16,6,0.666666667,1.666666667,1.666666667,0.333333333
