,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,15/08/2008,Bayern Munich,Hamburg,85,79,84,77,83,78,0.580198799,0.24978946,0.170011741,X,1.575,3.658333333,5.375,9,10,2,2,2,2
1,16/08/2008,Bielefeld,Werder Bremen,75,79,71,78,69,82,0.229422244,0.270877253,0.499700503,X,3.975,3.366666667,1.825,8,11,2,2,2,2
2,16/08/2008,Cottbus,Hoffenheim,69,75,67,68,71,69,0.380213332,0.280772922,0.339013745,2,2.4,3.25,2.691666667,17,1,0,3,3,0
3,16/08/2008,Karlsruhe,Bochum,69,75,71,71,71,74,0.426625371,0.283314523,0.290060107,1,2.141666667,3.225,3.15,7,14,1,0,0,1
4,16/08/2008,Leverkusen,Dortmund,78,78,75,72,78,76,0.455745798,0.278549976,0.265704225,2,2.001666667,3.275,3.433333333,12,5,2,3,3,2
5,16/08/2008,Schalke 04,Hannover,82,75,81,75,79,75,0.576817767,0.249954366,0.173227867,1,1.581666667,3.65,5.266666667,2,18,3,0,0,3
6,16/08/2008,Wolfsburg,FC Koln,75,73,77,72,73,73,0.576325743,0.251679866,0.171994391,1,1.586666667,3.633333333,5.316666667,6,13,2,1,1,2
7,17/08/2008,Ein Frankfurt,Hertha,77,78,71,74,73,74,0.399646196,0.282953637,0.317400167,2,2.283333333,3.225,2.875,16,4,0,2,2,0
8,17/08/2008,M'gladbach,Stuttgart,75,81,71,76,72,76,0.34672801,0.283116411,0.370155578,2,2.633333333,3.225,2.466666667,15,3,1,3,3,1
9,22/08/2008,Hannover,Cottbus,75,69,75,67,75,71,0.563702597,0.257238931,0.179058472,X,1.62,3.55,5.1,18,17,0,3,0,3
10,23/08/2008,Dortmund,Bayern Munich,78,85,72,84,76,83,0.283132192,0.28240247,0.434465338,X,3.225,3.233333333,2.101666667,4,11,2,1.5,1.5,1.5
