,Standard scored,Standard received,Mechelen scored,Mechelen received,Anderlecht scored,Anderlecht received,Club Brugge scored,Club Brugge received,Lierse scored,Lierse received,Waregem scored,Waregem received,Westerlo scored,Westerlo received,Cercle Brugge scored,Cercle Brugge received,Gent scored,Gent received,Lokeren scored,Lokeren received,Genk scored,Genk received,Mouscron-Peruwelz scored,Mouscron-Peruwelz received,Kortrijk scored,Kortrijk received,Oostende scored,Oostende received,Waasland-Beveren scored,Waasland-Beveren received,Charleroi scored,Charleroi received
0,3,0,3,1,3,1,2,0,2,0,2,0,1,0,0,0,0,0,0,1,1,3,1,3,0,2,0,2,0,2,0,3
1,3,2,1,3,2,0,1,0,0,1,1,2,3,2,1,1,3,1,2,1,1,1,1,0,2,3,0,2,0,1,2,3
2,0,1,1,2,1,0,1,1,2,2,1,1,1,1,0,1,1,0,0,0,0,0,2,2,2,1,1,0,1,1,0,1
3,2,5,0,2,2,2,1,1,0,2,1,3,2,2,1,1,3,1,2,0,1,1,5,2,1,1,2,0,2,2,2,2
4,2,2,3,1,1,0,1,3,0,2,1,1,2,2,1,0,2,3,0,1,3,2,1,1,0,2,2,0,0,1,2,0
5,1,1,0,2,2,2,2,2,0,2,2,2,2,2,0,4,0,1,1,1,1,1,4,0,1,0,1,1,2,0,2,0
6,3,5,5,2,2,2,1,1,2,2,1,4,2,5,1,0,1,0,3,2,1,1,0,1,2,3,5,3,4,1,0,1
7,2,0,2,3,3,2,5,0,1,6,1,2,6,1,2,3,3,1,3,2,2,1,1,2,0,5,1,3,0,2,2,1
8,2,2,2,0,2,0,2,2,2,2,0,2,2,1,1,2,1,1,1,1,1,1,0,3,3,0,2,2,0,2,1,1
9,0,3,1,1,0,0,3,0,3,1,1,3,0,0,0,1,0,0,3,1,0,0,1,1,2,0,1,3,1,0,0,2
10,1,2,1,1,1,1,3,1,2,1,2,1,1,3,1,2,2,2,1,3,3,1,0,0,2,1,0,0,1,2,2,2
11,2,0,1,0,0,2,2,2,0,1,1,2,2,1,2,1,2,2,2,2,1,0,2,2,1,2,0,2,0,1,2,0
12,1,0,1,1,3,2,4,1,0,3,1,1,0,4,0,1,4,1,5,2,3,0,1,4,2,3,4,0,1,4,2,5
13,2,0,0,2,1,1,0,0,0,1,2,0,1,3,0,4,1,0,1,1,0,2,3,1,4,0,0,1,1,0,0,0
14,2,0,1,1,2,0,5,0,0,1,3,1,0,5,1,1,0,2,3,0,0,2,0,2,1,0,1,3,0,3,2,0
15,2,3,0,3,1,3,4,2,1,2,1,3,0,0,0,4,4,0,0,0,3,0,2,1,3,1,3,2,2,4,3,1
16,0,2,0,0,2,2,2,2,1,1,2,1,2,3,0,1,1,2,1,1,1,0,1,2,2,0,0,0,2,1,3,2
17,1,0,0,3,2,4,2,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,4,2,3,0,2,1,2,1,0,1
18,1,3,0,0,3,0,3,1,3,3,1,0,3,3,2,1,0,0,0,1,3,0,1,2,0,3,0,3,1,3,3,1
19,2,1,1,1,2,0,4,1,0,6,1,0,1,1,0,2,1,2,1,2,1,4,0,1,2,1,2,0,0,2,6,0
20,2,0,1,0,4,0,6,0,0,6,1,3,0,4,1,0,3,2,0,2,1,1,0,1,2,3,1,1,0,1,3,1
21,1,1,1,1,3,0,1,1,0,3,3,1,1,1,2,0,3,1,1,1,1,1,1,3,7,1,1,7,1,3,0,2
22,2,0,0,1,0,2,3,0,1,1,1,3,3,1,0,3,3,1,1,0,2,0,0,2,0,0,1,3,1,1,0,0
23,3,2,2,2,0,0,2,0,2,3,0,0,1,0,0,1,3,3,3,3,0,1,0,3,3,0,0,2,2,2,1,0
24,3,0,0,0,2,0,0,2,3,2,2,3,0,4,0,2,4,0,1,0,1,0,0,3,2,0,0,1,0,1,0,0
25,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,0,0,1,1,2,1,0,1,0,1,1,0,1,0,0,0
26,3,2,2,1,1,0,1,2,1,2,2,2,0,6,2,2,2,1,1,0,0,1,0,1,6,0,1,3,2,3,3,1
27,1,0,3,2,2,0,3,0,0,2,2,3,3,0,0,1,1,0,0,1,2,0,0,3,0,2,0,3,0,1,1,0
28,0,1,1,0,2,1,1,0,1,2,2,3,0,1,0,1,2,1,1,2,3,2,1,0,1,0,4,3,3,4,0,1
29,1,0,3,2,1,2,3,1,0,0,1,4,1,3,2,3,2,1,0,0,0,1,0,2,0,0,4,1,0,0,2,0
