,Standard scored,Standard received,Mechelen scored,Mechelen received,Anderlecht scored,Anderlecht received,Club Brugge scored,Club Brugge received,Lierse scored,Lierse received,Waregem scored,Waregem received,Westerlo scored,Westerlo received,Cercle Brugge scored,Cercle Brugge received,Gent scored,Gent received,Lokeren scored,Lokeren received,Genk scored,Genk received,Mouscron-Peruwelz scored,Mouscron-Peruwelz received,Kortrijk scored,Kortrijk received,Oostende scored,Oostende received,Waasland-Beveren scored,Waasland-Beveren received,Charleroi scored,Charleroi received
0,3,0,3,1,3,1,2,0,2,0,2,0,1,0,0,0,0,0,0,1,1,3,1,3,0,2,0,2,0,2,0,3
1,6,2,4,4,5,1,3,0,2,1,3,2,4,2,1,1,3,1,2,2,2,4,2,3,2,5,0,4,0,3,2,6
2,6,3,5,6,6,1,4,1,4,3,4,3,5,3,1,2,4,1,2,2,2,4,4,5,4,6,1,4,1,4,2,7
3,8,8,5,8,8,3,5,2,4,5,5,6,7,5,2,3,7,2,4,2,3,5,9,7,5,7,3,4,3,6,4,9
4,10,10,8,9,9,3,6,5,4,7,6,7,9,7,3,3,9,5,4,3,6,7,10,8,5,9,5,4,3,7,6,9
5,11,11,8,11,11,5,8,7,4,9,8,9,11,9,3,7,9,6,5,4,7,8,14,8,6,9,6,5,5,7,8,9
6,14,16,13,13,13,7,9,8,6,11,9,13,13,14,4,7,10,6,8,6,8,9,14,9,8,12,11,8,9,8,8,10
7,16,16,15,16,16,9,14,8,7,17,10,15,19,15,6,10,13,7,11,8,10,10,15,11,8,17,12,11,9,10,10,11
8,18,18,17,16,18,9,16,10,9,19,10,17,21,16,7,12,14,8,12,9,11,11,15,14,11,17,14,13,9,12,11,12
9,18,21,18,17,18,9,19,10,12,20,11,20,21,16,7,13,14,8,15,10,11,11,16,15,13,17,15,16,10,12,11,14
10,19,23,19,18,19,10,22,11,14,21,13,21,22,19,8,15,16,10,16,13,14,12,16,15,15,18,15,16,11,14,13,16
11,21,23,20,18,19,12,24,13,14,22,14,23,24,20,10,16,18,12,18,15,15,12,18,17,16,20,15,18,11,15,15,16
12,22,23,21,19,22,14,28,14,14,25,15,24,24,24,10,17,22,13,23,17,18,12,19,21,18,23,19,18,12,19,17,21
13,24,23,21,21,23,15,28,14,14,26,17,24,25,27,10,21,23,13,24,18,18,14,22,22,22,23,19,19,13,19,17,21
14,26,23,22,22,25,15,33,14,14,27,20,25,25,32,11,22,23,15,27,18,18,16,22,24,23,23,20,22,13,22,19,21
15,28,26,22,25,26,18,37,16,15,29,21,28,25,32,11,26,27,15,27,18,21,16,24,25,26,24,23,24,15,26,22,22
16,28,28,22,25,28,20,39,18,16,30,23,29,27,35,11,27,28,17,28,19,22,16,25,27,28,24,23,24,17,27,25,24
17,29,28,22,28,30,24,41,19,17,32,24,31,28,37,11,27,28,17,28,19,22,16,29,29,31,24,25,25,19,28,25,25
18,30,31,22,28,33,24,44,20,20,35,25,31,31,40,13,28,28,17,28,20,25,16,30,31,31,27,25,28,20,31,28,26
19,32,32,23,29,35,24,48,21,20,41,26,31,32,41,13,30,29,19,29,22,26,20,30,32,33,28,27,28,20,33,34,26
20,34,32,24,29,39,24,54,21,20,47,27,34,32,45,14,30,32,21,29,24,27,21,30,33,35,31,28,29,20,34,37,27
21,35,33,25,30,42,24,55,22,20,50,30,35,33,46,16,30,35,22,30,25,28,22,31,36,42,32,29,36,21,37,37,29
22,37,33,25,31,42,26,58,22,21,51,31,38,36,47,16,33,38,23,31,25,30,22,31,38,42,32,30,39,22,38,37,29
23,40,35,27,33,42,26,60,22,23,54,31,38,37,47,16,34,41,26,34,28,30,23,31,41,45,32,30,41,24,40,38,29
24,43,35,27,33,44,26,60,24,26,56,33,41,37,51,16,36,45,26,35,28,31,23,31,44,47,32,30,42,24,41,38,29
25,44,36,28,34,45,27,61,25,28,57,34,42,38,53,17,38,45,26,36,29,33,24,31,45,47,33,31,42,25,41,38,29
26,47,38,30,35,46,27,62,27,29,59,36,44,38,59,19,40,47,27,37,29,33,25,31,46,53,33,32,45,27,44,41,30
27,48,38,33,37,48,27,65,27,29,61,38,47,41,59,19,41,48,27,37,30,35,25,31,49,53,35,32,48,27,45,42,30
28,48,39,34,37,50,28,66,27,30,63,40,50,41,60,19,42,50,28,38,32,38,27,32,49,54,35,36,51,30,49,42,31
29,49,39,37,39,51,30,69,28,30,63,41,54,42,63,21,45,52,29,38,32,38,28,32,51,54,35,40,52,30,49,44,31
