,Celtic scored,Celtic received,Ross County scored,Ross County received,Aberdeen scored,Aberdeen received,Rangers scored,Rangers received,Hibernian scored,Hibernian received,Livingston scored,Livingston received,Motherwell scored,Motherwell received,Hearts scored,Hearts received,Kilmarnock scored,Kilmarnock received,St Mirren scored,St Mirren received,Hamilton scored,Hamilton received,St Johnstone scored,St Johnstone received
0,7,0,3,0,3,2,2,1,1,0,0,0,0,0,2,3,1,2,0,1,0,3,0,7
1,12,2,3,0,3,3,8,2,2,6,2,2,2,5,2,3,1,4,1,1,2,3,2,9
2,15,3,4,4,3,3,9,2,4,8,6,3,5,6,3,6,1,4,1,2,3,6,4,11
3,17,3,4,7,6,3,9,4,4,11,8,4,8,6,5,8,2,4,2,4,5,8,4,12
4,18,3,6,8,7,4,12,5,4,13,9,7,11,8,7,11,4,4,3,6,5,9,5,13
5,21,4,8,9,9,4,16,5,5,15,9,9,12,10,9,12,5,7,3,6,5,9,5,17
6,22,5,8,9,9,9,21,5,6,16,10,11,13,10,9,12,5,7,3,6,7,10,5,18
7,22,7,10,11,10,10,26,5,7,17,12,11,15,10,9,13,6,7,3,8,7,15,7,20
8,28,7,10,17,13,10,27,6,8,18,13,13,15,13,10,14,8,8,5,8,8,16,7,22
9,32,7,12,19,13,14,29,7,10,20,13,13,16,15,10,14,9,8,5,9,10,19,10,24
10,34,7,12,23,14,14,33,7,12,22,15,15,18,16,10,15,10,10,5,11,10,20,11,24
11,36,7,14,25,17,14,33,7,14,23,16,17,20,17,10,17,10,13,6,13,12,22,11,24
12,38,7,15,28,20,15,35,7,18,24,16,19,20,19,15,19,12,15,8,18,14,24,12,28
13,42,7,16,30,21,16,38,8,21,25,16,23,21,22,15,22,15,15,10,19,15,27,13,29
14,46,8,17,34,23,17,43,8,23,27,16,23,25,22,15,27,17,17,11,21,15,27,13,33
15,48,9,19,35,25,19,45,10,24,29,17,24,28,22,16,28,17,17,11,24,16,29,13,33
16,51,9,19,37,25,22,47,10,27,29,20,24,29,22,16,29,17,20,12,24,16,30,13,36
17,53,9,20,37,26,22,49,10,27,31,23,27,29,24,16,30,17,21,15,27,16,31,14,36
18,55,10,20,41,27,24,52,10,27,34,27,27,30,24,17,32,17,22,15,27,18,32,14,36
19,57,11,21,43,29,25,53,10,29,34,28,29,32,25,17,34,17,23,16,29,18,33,15,36
20,58,13,22,44,30,26,55,11,29,36,30,29,33,27,18,35,17,24,17,29,20,34,16,37
21,61,14,22,44,30,27,56,11,31,37,31,29,34,27,18,35,18,27,17,30,21,36,16,38
22,64,14,22,47,30,27,57,13,31,37,35,31,34,27,20,36,19,29,17,30,23,40,18,39
23,68,15,23,50,30,27,57,13,33,39,36,31,34,28,23,39,22,30,19,32,24,44,21,42
24,72,15,25,50,30,28,59,14,34,41,36,33,34,32,25,42,25,32,20,33,25,45,22,42
25,77,15,25,53,33,29,60,16,37,41,38,34,35,34,25,47,27,33,21,35,26,48,24,43
26,79,16,26,54,34,31,61,16,39,42,38,35,36,36,27,49,28,35,23,36,28,50,25,44
27,82,17,28,55,35,33,63,18,40,43,39,36,36,36,27,50,29,38,24,36,28,50,27,46
28,84,19,29,59,37,35,63,19,41,46,41,38,40,37,30,51,31,40,24,36,29,50,27,46
29,89,19,29,60,40,36,64,19,42,49,41,39,41,38,31,52,31,41,24,41,30,50,28,46
30,89,19,29,60,40,36,64,19,42,49,41,39,41,38,31,52,31,41,24,41,30,50,28,46
31,89,19,29,60,40,36,64,19,42,49,41,39,41,38,31,52,31,41,24,41,30,50,28,46
32,89,19,29,60,40,36,64,19,42,49,41,39,41,38,31,52,31,41,24,41,30,50,28,46
