,Galatasaray scored,Galatasaray received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Buyuksehyr scored,Buyuksehyr received,Kayserispor scored,Kayserispor received,Konyaspor scored,Konyaspor received,Kasimpasa scored,Kasimpasa received,Besiktas scored,Besiktas received,Fenerbahce scored,Fenerbahce received,Sivasspor scored,Sivasspor received,Erzurum BB scored,Erzurum BB received,Rizespor scored,Rizespor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Bursaspor scored,Bursaspor received,Alanyaspor scored,Alanyaspor received,Goztep scored,Goztep received,Ankaragucu scored,Ankaragucu received,Antalyaspor scored,Antalyaspor received,Trabzonspor scored,Trabzonspor received
0,3,1,3,1,2,0,2,0,3,2,3,2,2,1,2,1,1,0,2,3,2,3,1,2,1,2,0,1,1,3,1,3,0,2,0,2
1,1,0,1,0,1,2,0,0,3,3,2,1,3,1,0,1,1,3,1,3,1,1,1,1,0,0,0,2,0,1,2,0,3,3,3,1
2,6,0,0,0,3,1,0,0,1,1,3,0,2,3,0,1,0,3,0,0,0,0,1,3,1,1,0,6,1,0,2,2,3,2,2,2
3,0,4,0,1,1,0,3,2,1,0,2,1,1,1,2,3,1,1,0,1,1,2,1,1,1,1,1,0,0,1,1,2,2,1,4,0
4,4,1,1,2,4,0,0,2,0,1,1,4,2,1,1,0,2,2,2,2,1,1,0,1,1,1,1,0,2,0,1,0,0,4,0,1
5,0,3,1,0,0,0,0,2,2,0,1,2,1,1,1,1,1,2,0,1,0,1,3,0,0,0,2,1,2,1,1,0,2,1,1,2
6,1,0,1,1,1,1,0,2,2,3,2,4,2,0,0,3,2,0,0,1,3,0,1,2,0,2,2,1,3,2,0,1,1,0,4,2
7,1,0,4,4,0,0,2,2,2,2,3,1,2,2,0,0,4,4,1,0,2,2,1,3,1,0,0,1,1,3,0,1,0,1,3,1
8,1,1,0,1,1,0,0,1,1,1,5,0,0,2,0,0,0,0,0,0,1,1,0,5,1,1,0,1,2,0,1,0,1,0,0,0
9,0,2,2,0,1,0,2,0,0,1,1,1,4,1,1,3,0,2,1,1,1,4,1,0,2,0,0,2,0,1,3,1,1,1,1,1
10,2,2,1,0,1,0,1,3,0,0,1,2,0,1,2,2,0,0,1,1,0,2,1,1,1,1,0,1,2,0,3,1,2,1,1,1
11,3,0,5,0,2,1,0,3,2,0,2,1,1,2,2,0,2,1,2,1,1,2,2,1,1,2,0,2,1,2,0,2,1,2,0,5
