,Celtic scored,Celtic received,Hibernian scored,Hibernian received,Rangers scored,Rangers received,Ross County scored,Ross County received,St Mirren scored,St Mirren received,St Johnstone scored,St Johnstone received,Kilmarnock scored,Kilmarnock received,Aberdeen scored,Aberdeen received,Livingston scored,Livingston received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received,Dundee United scored,Dundee United received
0,3.3333333333333335,1.0,1.0,2.3333333333333335,1.0,1.0,1.0,2.0,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.0,2.0,2.0,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,,
1,2.6666666666666665,1.0,2.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,2.0,1.0,1.0,2.3333333333333335,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,,
2,2.0,0.3333333333333333,2.0,1.3333333333333333,2.3333333333333335,0.0,1.0,1.0,0.0,2.6666666666666665,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,,
3,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,2.0,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,1.0,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666
4,0.3333333333333333,0.0,0.6666666666666666,0.0,1.6666666666666667,0.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,2.0,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
5,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2.0
6,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.6666666666666667
7,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.3333333333333333
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
