,Bayern Munich scored,Bayern Munich received,Dortmund scored,Dortmund received,Schalke 04 scored,Schalke 04 received,FC Koln scored,FC Koln received,Leverkusen scored,Leverkusen received,Wolfsburg scored,Wolfsburg received,Ingolstadt scored,Ingolstadt received,Hertha scored,Hertha received,Hannover scored,Hannover received,Darmstadt scored,Darmstadt received,Hoffenheim scored,Hoffenheim received,Ein Frankfurt scored,Ein Frankfurt received,Mainz scored,Mainz received,Augsburg scored,Augsburg received,Stuttgart scored,Stuttgart received,Werder Bremen scored,Werder Bremen received,M'gladbach scored,M'gladbach received,Hamburg scored,Hamburg received
0,5,0,4,0,3,0,3,1,2,1,2,1,1,0,1,0,2,2,2,2,1,2,1,2,0,1,0,1,1,3,0,3,0,4,0,5
1,2,1,4,0,1,1,1,1,1,0,1,1,0,4,1,1,0,1,1,1,1,2,1,1,2,1,1,1,2,3,1,1,1,2,3,2
2,3,0,3,1,0,3,2,1,0,3,3,0,1,0,1,3,0,3,0,0,0,0,4,1,3,0,0,1,1,4,2,1,1,2,1,2
3,2,1,4,2,2,1,2,6,0,1,0,0,0,0,2,1,2,4,1,0,1,3,6,2,1,2,1,2,1,2,3,1,0,3,3,0
4,3,0,3,0,1,0,1,0,0,3,2,0,1,0,0,2,0,2,0,3,1,3,0,0,3,1,2,0,0,1,0,1,0,1,0,0
5,5,1,1,1,2,0,0,2,1,0,1,5,0,1,2,0,1,3,2,1,1,1,0,2,0,1,2,4,3,1,1,2,4,2,1,0
6,3,0,2,2,1,0,1,1,3,0,1,1,1,1,1,1,1,1,2,2,3,1,1,1,0,3,1,3,1,3,0,3,3,1,0,1
7,5,1,1,5,0,3,3,0,1,1,0,2,2,0,3,0,1,0,2,3,2,2,0,2,3,2,1,1,2,2,0,1,2,0,0,3
8,1,0,2,0,2,1,0,1,0,0,4,2,0,1,1,2,1,0,2,0,2,4,1,5,0,2,0,2,1,0,0,1,5,1,0,0
9,4,0,5,1,1,3,0,4,4,3,1,0,0,1,1,0,1,2,0,1,0,1,2,1,1,3,1,5,3,4,3,1,3,1,1,0
10,0,0,3,1,1,1,0,0,1,2,2,1,1,1,1,4,2,1,0,2,0,0,0,0,3,3,3,3,2,0,1,3,4,1,1,2
11,4,0,3,2,2,3,2,1,1,2,0,2,0,0,3,1,1,3,1,1,0,0,0,0,2,0,1,2,0,4,2,1,0,0,1,1
12,3,1,1,3,1,3,0,0,3,1,6,0,3,1,1,0,1,2,1,3,0,1,1,3,0,0,4,0,0,4,0,6,2,1,3,1
13,2,0,4,1,1,1,0,0,1,1,0,0,0,4,0,2,4,0,0,0,3,3,1,2,2,1,0,0,1,4,1,3,3,3,3,1
14,1,3,2,1,3,1,0,1,1,2,1,2,1,1,2,1,1,3,1,0,1,1,0,1,3,1,1,0,1,1,1,1,3,1,1,3
15,2,0,4,1,1,2,1,1,5,0,1,1,0,2,4,0,0,1,0,4,1,0,1,4,0,0,2,1,0,0,1,1,0,5,1,1
16,1,0,1,2,1,0,2,1,1,0,1,3,0,1,2,0,0,1,2,3,0,1,2,1,0,2,1,0,3,1,1,2,3,2,0,1
17,2,1,3,1,1,3,1,3,1,1,2,3,1,0,0,0,1,2,2,1,1,1,3,2,0,1,0,0,3,1,3,1,1,3,1,2
18,2,0,2,0,2,0,1,1,3,0,1,1,0,2,3,3,0,3,0,2,0,2,0,0,1,0,0,0,2,1,3,3,0,1,1,2
19,0,0,0,0,3,0,1,1,0,0,0,3,2,1,0,0,0,1,2,0,0,2,2,4,1,0,1,2,4,2,1,5,5,1,1,1
20,3,1,1,0,1,2,3,1,2,1,2,0,0,2,0,2,0,1,1,2,1,1,1,3,2,1,1,3,2,0,1,1,2,3,3,2
21,3,1,1,0,1,1,0,1,0,1,1,1,2,0,1,1,0,1,1,3,3,2,0,0,2,3,1,0,1,1,0,2,1,0,0,0
22,2,0,3,1,0,0,0,1,1,3,0,2,1,1,1,0,2,1,2,2,1,3,0,0,3,1,2,2,1,2,2,2,2,2,1,1
23,1,2,2,0,3,2,1,1,1,4,4,0,1,1,2,0,0,4,0,2,2,1,0,2,2,1,1,2,0,4,4,1,4,0,2,3
24,0,0,0,0,3,1,1,3,3,3,2,1,1,1,0,2,1,4,0,0,1,5,1,1,0,0,3,3,5,1,4,1,1,2,2,0
25,5,0,2,0,0,2,2,0,1,0,0,1,3,3,2,0,0,2,2,2,1,0,0,3,0,2,2,2,3,3,0,5,3,0,0,1
26,1,0,3,1,2,1,0,1,2,0,1,1,1,2,2,1,0,1,1,1,3,1,1,0,1,1,1,3,0,2,1,1,1,2,1,3
27,1,0,3,2,0,3,1,1,3,0,0,3,3,0,0,5,0,3,2,2,1,1,0,1,4,2,2,4,2,2,2,3,5,0,3,0
28,3,1,2,2,2,2,0,2,2,0,1,1,1,0,2,2,2,2,2,1,2,0,0,2,1,1,2,1,1,3,1,2,0,1,1,2
29,3,0,3,0,0,3,3,2,3,0,2,3,0,2,1,2,2,0,2,0,2,1,0,3,2,3,1,0,0,1,3,2,0,2,0,3
30,2,0,3,0,2,3,4,1,3,2,0,2,2,2,0,2,2,2,1,4,1,3,2,1,1,2,2,0,0,3,1,2,3,1,2,1
31,1,1,5,1,3,1,0,0,2,1,1,5,1,2,1,2,1,3,1,2,2,1,2,1,0,0,0,0,2,6,6,2,1,1,0,0
32,2,1,0,1,1,1,0,0,1,2,1,0,1,2,1,2,1,0,2,1,0,1,1,0,3,1,1,1,1,3,0,0,2,1,0,1
33,3,1,2,2,4,1,2,2,3,2,3,1,2,3,0,0,1,3,0,2,1,4,0,1,0,0,1,3,1,3,1,0,2,0,3,1
