,Club Brugge scored,Club Brugge received,Genk scored,Genk received,Mechelen scored,Mechelen received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Cercle Brugge scored,Cercle Brugge received,Kortrijk scored,Kortrijk received,Lierse scored,Lierse received,Bergen scored,Bergen received,Standard scored,Standard received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Anderlecht scored,Anderlecht received,St Truiden scored,St Truiden received,Gent scored,Gent received,Germinal scored,Germinal received,Westerlo scored,Westerlo received
0,5,0,3,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,2,0,1,1,3,0,5
1,3,3,0,0,1,3,1,2,1,1,0,0,0,0,1,1,3,1,1,3,2,1,3,1,3,3,2,2,2,2,0,0
2,1,0,2,2,2,1,0,1,0,2,2,0,1,2,4,2,1,3,0,1,2,2,1,0,2,4,3,1,3,1,1,3
3,1,1,2,3,2,1,1,2,3,2,1,3,1,1,2,2,3,1,2,0,1,1,2,2,0,2,3,2,1,1,2,3
4,1,1,0,0,0,0,1,0,3,1,4,0,0,1,3,1,1,1,0,1,1,3,1,1,0,4,1,0,1,1,1,3
5,2,1,4,3,1,2,3,1,2,1,0,2,1,1,1,3,1,0,1,1,1,3,2,0,3,4,3,1,1,2,0,1
6,2,1,3,0,1,5,0,2,0,0,2,0,0,0,5,1,0,3,1,2,0,2,1,0,0,2,0,1,2,0,2,0
7,2,1,1,1,0,2,1,1,0,0,0,1,0,0,1,2,0,0,2,0,1,0,3,2,3,4,4,3,2,3,0,0
8,1,1,0,1,0,1,1,6,2,2,1,0,0,2,3,3,2,0,3,3,1,1,1,0,2,2,6,1,1,1,1,1
9,2,0,1,3,1,2,1,1,2,1,1,3,2,1,3,1,0,5,3,1,1,2,5,0,2,4,0,2,4,2,1,1
10,1,2,2,0,2,2,0,2,2,0,2,1,0,2,0,2,1,0,1,3,0,1,2,1,2,0,3,1,2,2,1,2
11,4,5,5,4,1,0,3,2,1,1,4,1,0,4,1,1,1,1,1,4,1,1,4,0,1,1,1,1,2,3,0,1
12,1,2,2,2,2,6,1,3,1,0,2,2,3,1,0,2,2,1,4,2,0,0,0,1,0,0,6,2,2,0,2,4
13,1,0,3,0,1,1,1,3,0,1,0,4,1,2,2,1,3,1,1,1,1,1,3,1,1,3,4,0,1,1,0,3
14,1,0,0,2,2,3,1,2,1,1,1,0,0,1,1,2,3,2,1,1,2,3,3,2,2,1,2,0,0,1,2,1
15,1,0,0,2,2,2,0,0,1,2,2,1,2,2,3,2,0,0,1,1,1,1,0,0,2,3,0,0,2,0,0,1
16,1,0,4,0,2,1,2,2,2,0,1,0,0,4,0,2,1,1,1,1,2,2,1,2,0,1,0,1,1,0,0,1
17,1,3,0,0,0,0,3,1,0,1,0,2,2,0,3,2,0,0,2,3,2,3,3,2,0,0,1,0,1,3,3,1
18,1,0,4,2,2,2,2,2,2,4,2,0,0,0,1,1,0,2,0,0,0,1,1,1,0,0,3,1,0,0,1,3
19,0,3,1,1,4,1,1,1,3,1,0,0,2,1,1,4,6,1,1,1,1,1,3,0,0,0,1,2,1,6,1,3
20,0,1,2,1,1,0,2,2,0,4,0,1,0,2,2,2,0,0,2,0,0,0,1,0,1,2,0,0,4,0,0,0
21,3,0,2,3,3,2,0,2,2,2,2,0,2,2,1,2,2,1,0,3,1,0,3,1,0,3,1,3,0,1,3,0
22,2,0,5,0,2,3,0,5,0,1,0,0,2,0,0,2,1,0,3,2,0,0,0,0,0,6,6,0,0,0,0,2
23,5,1,2,4,0,0,2,3,1,0,0,0,0,2,1,3,2,0,3,1,3,1,4,2,0,1,3,2,1,5,1,3
24,3,1,0,1,0,1,3,1,1,0,2,2,2,1,2,2,1,2,1,0,1,2,2,1,2,3,1,3,3,2,1,3
25,2,1,2,1,2,1,2,3,3,2,1,2,1,1,1,2,2,4,1,1,4,2,3,1,1,1,1,1,1,2,1,3
26,0,3,3,0,3,1,1,2,1,0,2,5,0,0,0,2,0,0,5,2,0,1,0,0,0,0,2,0,2,1,1,3
27,1,0,2,3,0,2,0,0,0,4,3,2,0,0,4,2,0,1,4,0,0,1,4,0,1,0,2,0,2,4,0,4
28,2,1,2,3,0,2,0,4,1,2,1,3,1,1,1,1,4,0,2,2,2,0,2,2,2,2,3,1,2,2,3,2
29,1,0,3,1,1,2,3,1,0,1,2,0,0,1,2,1,2,1,1,0,1,2,2,1,1,3,1,3,0,2,1,2
