,Club Brugge scored,Club Brugge received,Genk scored,Genk received,Mechelen scored,Mechelen received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Cercle Brugge scored,Cercle Brugge received,Kortrijk scored,Kortrijk received,Lierse scored,Lierse received,Bergen scored,Bergen received,Standard scored,Standard received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Anderlecht scored,Anderlecht received,St Truiden scored,St Truiden received,Gent scored,Gent received,Germinal scored,Germinal received,Westerlo scored,Westerlo received
0,5.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,5.0
1,4.0,1.5,1.5,0.5,1.5,2.0,1.5,1.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.5,1.0,0.5,2.0,1.5,2.0,2.5,1.0,1.5,1.5,2.5,0.0,2.5
2,3.0,1.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,2.0,3.0,1.6666666666666667,1.3333333333333333,2.0,2.0,0.3333333333333333,2.6666666666666665
3,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.0,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,1.0,1.6666666666666667,3.0,2.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,1.0,2.0
4,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.0,1.6666666666666667,2.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,3.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,1.0,0.6666666666666666,3.3333333333333335,2.3333333333333335,1.0,1.6666666666666667,1.0,1.3333333333333333,3.0
5,1.3333333333333333,1.0,2.0,2.0,1.0,1.0,1.6666666666666667,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,2.0,2.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,1.0,1.0,3.3333333333333335,2.3333333333333335,1.0,1.0,1.3333333333333333,1.0,2.3333333333333335
6,1.6666666666666667,1.0,2.3333333333333335,1.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.0,3.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,1.3333333333333333
7,2.0,1.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,3.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.0,0.3333333333333333,1.0,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,0.6666666666666666,2.0,3.3333333333333335,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333
8,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,3.0,2.0,0.6666666666666666,1.0,2.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.6666666666666665,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333
9,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,2.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.3333333333333333,1.0,1.0,3.0,0.6666666666666666,2.3333333333333335,3.3333333333333335,3.3333333333333335,2.0,2.3333333333333335,2.0,0.6666666666666666,0.6666666666666666
10,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,3.0,2.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,2.0,1.0,1.6666666666666667,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.3333333333333333,2.0,2.0,3.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,1.3333333333333333
