,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,24/08/2019,Parma,Juventus,75,89,73,85,74,84,0.09219195099327626,0.18290788612050585,0.724900162886218,2,10.326666666666666,5.205,1.3133333333333332,18,7,0.0,1.0,1.0,0.0
1,24/08/2019,Fiorentina,Napoli,76,84,75,81,74,81,0.19858298499127106,0.2578173500992269,0.5435996649095021,2,4.795,3.693333333333333,1.7516666666666667,13,3,3.0,4.0,4.0,3.0
2,25/08/2019,Udinese,Milan,75,85,74,79,75,78,0.2464674405972616,0.2888972784722332,0.4646352809305052,1,3.858333333333333,3.2916666666666665,2.046666666666667,8,16,1.0,0.0,0.0,1.0
3,25/08/2019,Cagliari,Brescia,78,74,73,70,76,72,0.5262518820729515,0.2632473650978677,0.21050075282918054,2,1.8066666666666664,3.611666666666667,4.516666666666667,17,6,0.0,1.0,1.0,0.0
4,25/08/2019,Roma,Genoa,84,75,78,75,78,74,0.6452337766222235,0.22721666378668126,0.12754955959109548,X,1.4766666666666666,4.193333333333333,7.47,9,10,3.0,3.0,3.0,3.0
5,25/08/2019,Sampdoria,Lazio,78,82,73,80,73,81,0.2661012783338321,0.28373529428719513,0.4501634273789729,2,3.566666666666667,3.345,2.1083333333333334,19,2,0.0,3.0,3.0,0.0
6,25/08/2019,Spal,Atalanta,75,82,71,77,71,79,0.19263634392123904,0.2637622398514932,0.5436014162272679,2,4.9383333333333335,3.606666666666667,1.75,14,4,2.0,3.0,3.0,2.0
7,25/08/2019,Torino,Sassuolo,79,77,77,71,76,75,0.5088827638714293,0.2738262308709224,0.21729100525764836,1,1.8716666666666668,3.478333333333333,4.383333333333333,5,15,2.0,1.0,1.0,2.0
8,25/08/2019,Verona,Bologna,74,74,73,73,75,76,0.2807497010823149,0.29771166218937145,0.4215386367283136,X,3.393333333333333,3.2000000000000006,2.26,12,11,1.0,1.0,1.0,1.0
9,26/08/2019,Inter,Lecce,83,72,86,72,80,71,0.7760197675164059,0.15482530466036182,0.06915492782323221,1,1.2266666666666666,6.1483333333333325,13.765,1,20,4.0,0.0,0.0,4.0
