,Galatasaray scored,Galatasaray received,Trabzonspor scored,Trabzonspor received,Besiktas scored,Besiktas received,Bursaspor scored,Bursaspor received,Gaziantepspor scored,Gaziantepspor received,Konyaspor scored,Konyaspor received,Kocaelispor scored,Kocaelispor received,Eskisehirspor scored,Eskisehirspor received,Buyuksehyr scored,Buyuksehyr received,Kayserispor scored,Kayserispor received,Sivasspor scored,Sivasspor received,Genclerbirligi scored,Genclerbirligi received,Antalyaspor scored,Antalyaspor received,Ankaragucu scored,Ankaragucu received,Hacettepespor scored,Hacettepespor received,Fenerbahce scored,Fenerbahce received,Ankaraspor scored,Ankaraspor received,Denizlispor scored,Denizlispor received
0,4,1,2,0,3,2,2,1,1,0,3,2,1,1,0,0,0,0,0,0,0,0,1,1,2,3,2,3,1,2,0,1,0,2,1,4
1,0,0,2,1,2,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,2,2,3,1,2,0,0,2,0,0,2,3,2
2,1,1,0,0,0,0,1,3,2,2,1,1,0,1,1,3,1,2,1,0,3,1,3,1,1,1,2,2,2,1,1,2,2,1,1,1
3,4,1,1,0,3,0,1,0,0,3,1,0,1,4,2,2,0,0,0,1,2,2,0,3,0,1,0,0,0,4,3,0,4,0,0,1
4,4,1,3,2,1,1,3,2,2,1,1,4,2,3,0,1,1,1,1,0,2,1,1,1,2,3,1,0,0,1,1,2,1,1,1,2
5,1,2,3,2,2,1,2,1,4,1,2,3,1,2,2,1,1,2,4,1,0,2,2,0,1,4,0,2,1,2,1,4,2,0,2,1
6,3,0,0,3,3,1,1,2,0,1,1,0,2,3,2,1,2,1,1,2,3,0,1,3,1,2,0,3,1,0,3,2,2,1,0,1
7,2,4,1,1,1,1,2,5,1,1,1,2,0,4,4,2,2,1,3,1,1,1,2,2,1,1,1,3,1,1,5,2,4,0,2,2
8,3,1,4,0,0,1,0,1,1,3,2,1,1,1,2,2,0,4,1,0,3,1,1,2,2,1,1,1,1,2,2,2,1,0,1,3
9,1,4,1,0,5,2,1,1,1,4,2,2,2,5,0,2,4,1,0,1,1,2,2,2,2,1,1,1,0,1,4,1,2,0,1,0
10,2,0,1,0,0,0,0,0,0,0,0,1,3,2,1,3,0,2,0,0,1,0,0,1,0,0,3,1,0,0,2,0,0,2,2,3
11,0,0,0,0,2,0,3,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,3
12,3,1,1,1,1,2,1,1,0,3,0,3,3,0,4,3,0,0,1,1,3,0,0,0,1,1,1,0,1,3,2,1,0,1,3,4
13,3,0,2,1,1,3,0,0,0,0,0,0,1,2,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,3,1,0,3,1,0,1
14,3,1,1,2,1,0,2,1,5,2,0,0,2,5,0,0,0,2,2,0,2,1,1,3,0,2,0,1,1,2,2,0,2,0,0,2
15,4,2,2,1,2,4,0,2,2,0,1,2,0,5,1,2,5,0,3,0,2,1,1,2,1,1,1,1,0,3,2,1,1,1,1,1
16,0,2,0,0,1,0,2,0,1,1,0,3,4,0,1,1,0,2,1,3,2,0,3,1,1,0,0,1,0,4,0,0,3,0,0,1
17,2,0,2,0,1,0,0,0,1,1,3,1,0,2,6,1,1,6,0,0,0,0,2,0,0,1,1,3,0,0,1,1,0,2,0,2
18,1,1,2,1,0,0,2,1,2,0,0,0,0,2,2,2,2,0,1,1,2,0,1,2,2,1,1,2,2,2,0,2,0,2,1,2
19,0,1,1,1,1,1,1,1,1,3,1,2,1,2,0,0,2,1,2,1,1,1,0,0,1,0,3,1,0,7,7,0,1,2,2,1
20,2,5,0,2,3,0,0,0,0,3,2,0,5,2,0,1,1,2,0,0,1,0,1,0,0,2,2,1,3,1,0,1,1,3,2,0
21,1,0,1,0,2,1,1,1,0,2,0,1,1,1,1,0,1,2,0,1,2,4,0,0,0,1,1,0,0,1,4,2,0,0,2,0
22,2,1,0,1,3,2,1,2,1,1,1,0,1,0,0,1,0,2,0,2,1,1,2,0,1,1,0,2,2,3,2,0,1,1,2,0
23,2,2,2,2,3,0,2,1,3,2,2,3,1,1,1,2,0,1,2,2,2,0,0,3,1,0,0,2,0,0,1,1,2,2,0,0
24,0,1,2,3,1,1,2,1,3,2,0,2,3,1,1,0,2,0,2,0,1,1,0,0,2,1,0,2,1,2,1,2,1,3,0,0
25,1,0,0,0,1,0,2,0,0,1,2,0,0,4,1,2,0,0,0,1,2,0,2,4,4,2,4,0,0,2,2,1,0,2,0,2
26,0,0,4,1,3,1,2,0,1,1,0,1,1,3,2,0,1,1,2,0,1,0,1,0,0,1,0,2,1,4,0,0,0,2,0,2
27,1,0,2,0,0,0,0,0,0,0,0,0,1,2,2,3,0,1,1,2,0,0,0,2,2,1,3,2,0,0,0,1,1,0,2,1
28,1,1,0,3,2,0,2,0,0,1,1,1,1,0,0,2,1,2,1,1,3,0,1,0,0,1,2,1,2,1,1,2,1,1,0,2
29,0,2,4,1,1,2,3,2,2,1,2,0,0,2,2,3,3,1,1,4,1,2,1,3,2,3,1,0,2,0,2,1,0,1,3,2
30,1,0,3,1,4,1,3,0,0,3,0,3,1,3,2,0,2,1,3,0,1,2,3,1,0,2,0,1,1,3,1,0,1,4,0,1
31,2,1,1,0,3,1,0,1,5,2,1,2,2,5,2,1,1,0,0,1,2,1,1,2,1,1,1,3,1,2,1,1,0,2,2,0
32,1,2,5,2,2,1,2,2,2,2,2,4,2,3,2,5,3,2,1,0,3,2,2,3,0,0,3,0,0,1,4,2,0,0,0,3
