,Galatasaray scored,Galatasaray received,Trabzonspor scored,Trabzonspor received,Besiktas scored,Besiktas received,Bursaspor scored,Bursaspor received,Gaziantepspor scored,Gaziantepspor received,Konyaspor scored,Konyaspor received,Kocaelispor scored,Kocaelispor received,Eskisehirspor scored,Eskisehirspor received,Buyuksehyr scored,Buyuksehyr received,Kayserispor scored,Kayserispor received,Sivasspor scored,Sivasspor received,Genclerbirligi scored,Genclerbirligi received,Antalyaspor scored,Antalyaspor received,Ankaragucu scored,Ankaragucu received,Hacettepespor scored,Hacettepespor received,Fenerbahce scored,Fenerbahce received,Ankaraspor scored,Ankaraspor received,Denizlispor scored,Denizlispor received
19,41,23,29,16,30,19,26,26,28,26,19,29,24,46,28,28,22,30,21,12,33,13,24,28,20,26,19,30,11,39,39,21,28,18,25,37
20,43,28,29,18,33,19,26,26,28,29,21,29,29,48,28,29,23,32,21,12,34,13,25,28,20,28,21,31,14,40,39,22,29,21,27,37
21,44,28,30,18,35,20,27,27,28,31,21,30,30,49,29,29,24,34,21,13,36,17,25,28,20,29,22,31,14,41,43,24,29,21,29,37
22,46,29,30,19,38,22,28,29,29,32,22,30,31,49,29,30,24,36,21,15,37,18,27,28,21,30,22,33,16,44,45,24,30,22,31,37
23,48,31,32,21,41,22,30,30,32,34,24,33,32,50,30,32,24,37,23,17,39,18,27,31,22,30,22,35,16,44,46,25,32,24,31,37
24,48,32,34,24,42,23,32,31,35,36,24,35,35,51,31,32,26,37,25,17,40,19,27,31,24,31,22,37,17,46,47,27,33,27,31,37
25,49,32,34,24,43,23,34,31,35,37,26,35,35,55,32,34,26,37,25,18,42,19,29,35,28,33,26,37,17,48,49,28,33,29,31,39
26,49,32,38,25,46,24,36,31,36,38,26,36,36,58,34,34,27,38,27,18,43,19,30,35,28,34,26,39,18,52,49,28,33,31,31,41
27,50,32,40,25,46,24,36,31,36,38,26,36,37,60,36,37,27,39,28,20,43,19,30,37,30,35,29,41,18,52,49,29,34,31,33,42
28,51,33,40,28,48,24,38,31,36,39,27,37,38,60,36,39,28,41,29,21,46,19,31,37,30,36,31,42,20,53,50,31,35,32,33,44
29,51,35,44,29,49,26,41,33,38,40,29,37,38,62,38,42,31,42,30,25,47,21,32,40,32,39,32,42,22,53,52,32,35,33,36,46
30,52,35,47,30,53,27,44,33,38,43,29,40,39,65,40,42,33,43,33,25,48,23,35,41,32,41,32,43,23,56,53,32,36,37,36,47
31,54,36,48,30,56,28,44,34,43,45,30,42,41,70,42,43,34,43,33,26,50,24,36,43,33,42,33,46,24,58,54,33,36,39,38,47
32,55,38,53,32,58,29,46,36,45,47,32,46,43,73,44,48,37,45,34,26,53,26,38,46,33,42,36,46,24,59,58,35,36,39,38,50
33,57,39,54,34,60,30,47,36,46,48,35,46,47,73,45,49,37,46,38,26,54,28,38,50,34,42,36,47,24,63,60,36,36,42,39,52
