,Man City scored,Man City received,Man United scored,Man United received,Liverpool scored,Liverpool received,Brighton scored,Brighton received,Burnley scored,Burnley received,Tottenham scored,Tottenham received,Arsenal scored,Arsenal received,Bournemouth scored,Bournemouth received,Sheffield United scored,Sheffield United received,Crystal Palace scored,Crystal Palace received,Everton scored,Everton received,Leicester scored,Leicester received,Wolves scored,Wolves received,Newcastle scored,Newcastle received,Aston Villa scored,Aston Villa received,Norwich scored,Norwich received,Southampton scored,Southampton received,Watford scored,Watford received,Chelsea scored,Chelsea received,West Ham scored,West Ham received
0,5,0,4,0,4,1,3,0,3,0,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,3,0,3,0,4,0,5
1,7,2,5,1,6,2,4,1,4,2,5,3,3,1,3,2,2,1,0,1,1,0,1,1,1,1,1,4,2,5,4,5,1,5,0,4,1,5,1,6
2,10,3,6,3,9,3,4,3,5,3,5,4,4,4,4,5,3,3,2,2,1,2,3,2,2,2,2,4,4,5,6,8,3,5,1,7,4,7,4,7
3,14,3,7,4,12,3,4,7,5,6,7,6,6,6,5,8,5,5,3,2,4,4,6,3,4,5,3,5,4,6,6,10,4,6,2,8,6,9,6,7
4,16,6,8,4,15,4,5,8,6,7,11,6,8,8,8,9,5,6,3,6,5,7,6,4,6,10,4,8,4,6,9,12,5,6,4,10,11,11,6,7
5,24,6,8,6,17,5,5,8,8,7,12,8,11,10,11,10,7,6,4,7,5,9,8,5,7,11,4,8,6,9,9,14,6,9,4,18,12,13,8,7
6,27,7,9,7,18,5,5,10,10,9,14,9,12,11,13,12,7,7,6,7,6,12,13,5,9,11,4,13,8,11,9,16,7,11,4,20,14,13,10,9
7,27,9,9,8,20,6,8,10,11,9,14,12,13,11,13,13,7,7,8,8,6,13,14,7,11,11,5,13,13,12,10,21,8,15,4,20,18,14,11,11
8,29,9,10,9,21,7,9,12,12,11,15,13,13,12,13,13,8,7,8,10,8,13,16,8,12,12,5,14,15,13,10,21,9,16,5,21,19,14,11,13
9,32,9,13,10,23,8,12,14,14,15,16,15,15,14,13,13,9,8,10,12,10,16,25,8,13,13,6,15,15,16,11,24,9,25,5,21,23,16,12,14
10,34,10,13,11,25,9,14,14,14,18,17,16,16,15,14,13,12,8,10,14,11,17,27,8,14,14,9,17,16,18,11,26,10,27,6,23,25,17,14,17
11,35,13,16,12,28,10,15,17,17,18,18,17,16,17,15,15,13,9,10,16,13,18,29,8,16,15,11,18,17,20,11,28,11,29,8,23,27,17,14,20
12,37,14,19,15,30,11,15,19,20,18,21,19,18,19,16,17,16,12,11,18,13,20,31,8,18,16,11,20,19,20,13,28,13,31,8,26,28,19,16,23
13,39,16,21,17,32,12,16,21,20,20,24,21,20,21,18,20,17,13,13,18,14,22,33,9,19,17,13,22,21,22,15,30,15,32,9,28,28,20,17,23
14,43,17,23,18,37,14,18,22,21,24,25,23,21,23,18,21,17,15,14,18,16,27,35,9,21,17,15,22,22,24,16,32,17,33,9,30,30,21,17,25
15,44,19,25,19,40,14,20,24,21,29,30,23,24,24,18,24,19,16,14,18,19,28,39,10,23,19,17,23,23,28,17,34,18,35,9,30,31,24,18,28
16,47,19,26,20,42,14,21,25,22,29,32,24,24,27,19,24,21,16,15,19,20,29,40,11,24,21,17,24,23,30,18,35,18,36,9,32,31,25,19,28
17,50,20,26,22,44,14,21,26,23,29,32,26,24,27,19,25,22,16,15,20,20,29,41,14,26,22,18,24,24,33,19,37,21,37,11,32,33,25,19,30
18,52,23,30,23,48,14,22,28,23,30,34,27,25,28,20,26,23,17,17,21,21,29,41,18,29,24,19,28,25,33,19,38,23,37,12,33,33,27,20,32
19,54,23,32,23,49,14,24,28,23,32,36,29,26,30,20,28,23,19,18,22,23,30,43,19,29,25,20,30,25,36,21,40,24,38,15,33,35,28,21,34
20,56,24,32,25,51,14,25,29,24,34,36,30,28,30,20,32,23,21,19,23,24,32,46,19,30,27,20,33,27,37,22,41,25,38,17,34,36,29,25,34
21,62,25,36,25,52,14,25,30,24,37,36,31,29,31,20,35,24,21,20,24,25,32,47,21,31,28,21,34,28,43,22,45,27,39,20,34,39,29,25,35
