,Bordeaux scored,Bordeaux received,Rennes scored,Rennes received,Nancy scored,Nancy received,Nice scored,Nice received,Marseille scored,Marseille received,Lorient scored,Lorient received,Monaco scored,Monaco received,Sochaux scored,Sochaux received,Le Mans scored,Le Mans received,Lyon scored,Lyon received,Montpellier scored,Montpellier received,Paris SG scored,Paris SG received,Lille scored,Lille received,Auxerre scored,Auxerre received,Toulouse scored,Toulouse received,Valenciennes scored,Valenciennes received,St Etienne scored,St Etienne received,Grenoble scored,Grenoble received,Lens scored,Lens received,Boulogne scored,Boulogne received
0,4.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0
1,3.5,1.5,2.0,0.5,3.5,0.5,1.5,0.5,1.5,0.0,2.0,1.5,0.5,2.0,1.5,1.5,1.5,2.5,1.5,1.0,1.5,1.5,2.0,1.0,0.5,1.5,0.0,1.5,1.5,1.0,0.5,2.0,0.5,2.5,0.5,2.0,1.5,2.0,1.0,2.0
2,3.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,2.0,2.0,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,2.0,1.3333333333333333,1.0,1.0,2.3333333333333335,0.3333333333333333,2.0,0.6666666666666666,2.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333
3,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,1.0,1.6666666666666667,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.6666666666666666,3.0,1.0,0.3333333333333333,1.6666666666666667,0.0,1.6666666666666667,1.3333333333333333,1.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.0,1.0,0.3333333333333333
4,1.6666666666666667,0.0,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.0,3.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.0,0.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333
5,1.0,0.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,2.6666666666666665,2.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,2.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.0,2.0,1.0,1.3333333333333333,0.3333333333333333,1.0
6,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,2.0,2.6666666666666665,2.0,1.3333333333333333,1.0,2.0,1.0,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0,0.6666666666666666,3.0,1.6666666666666667,1.0,1.0,0.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333
7,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.0,1.6666666666666667,0.6666666666666666,2.0,2.0,1.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.0,3.3333333333333335,2.3333333333333335,2.0,1.0,0.6666666666666666,3.0,0.3333333333333333,2.0,0.6666666666666666,2.0
8,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.0,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,2.0,1.0,0.6666666666666666,1.0,1.3333333333333333,1.0,1.3333333333333333,0.0,0.6666666666666666,1.0,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,2.3333333333333335,1.0,1.6666666666666667
9,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.0,1.6666666666666667,2.6666666666666665,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,1.0,2.0,1.6666666666666667,2.0,0.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,2.0,1.0,1.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,0.0,2.0,1.3333333333333333,2.3333333333333335
