,Bordeaux scored,Bordeaux received,Rennes scored,Rennes received,Nancy scored,Nancy received,Nice scored,Nice received,Marseille scored,Marseille received,Lorient scored,Lorient received,Monaco scored,Monaco received,Sochaux scored,Sochaux received,Le Mans scored,Le Mans received,Lyon scored,Lyon received,Montpellier scored,Montpellier received,Paris SG scored,Paris SG received,Lille scored,Lille received,Auxerre scored,Auxerre received,Toulouse scored,Toulouse received,Valenciennes scored,Valenciennes received,St Etienne scored,St Etienne received,Grenoble scored,Grenoble received,Lens scored,Lens received,Boulogne scored,Boulogne received
0,4,1,3,0,3,1,2,0,2,0,2,1,1,0,1,0,2,2,2,2,1,1,1,1,1,2,0,1,0,1,1,3,0,2,0,2,1,4,0,3
1,3,2,1,1,4,0,1,1,1,0,2,2,0,4,2,3,1,3,1,0,2,2,3,1,0,1,0,2,3,1,0,1,1,3,1,2,2,0,2,1
2,4,0,1,1,1,2,0,4,1,1,0,2,2,0,0,2,2,1,3,0,2,0,3,2,1,1,0,3,1,1,2,3,0,1,1,2,2,1,1,0
3,0,0,2,2,1,3,0,3,0,0,1,0,0,1,1,0,0,1,3,1,3,0,3,0,0,3,0,0,0,1,1,0,1,0,0,1,2,2,0,0
4,1,0,1,0,0,0,0,2,2,1,0,1,2,0,0,1,1,2,1,0,1,0,0,2,1,0,2,0,0,0,1,1,0,1,0,1,0,1,1,1
5,2,0,4,0,1,3,1,3,4,2,3,1,3,1,2,5,0,2,1,1,2,4,1,1,1,1,1,1,2,0,5,2,1,1,0,4,1,1,0,2
6,1,0,0,1,2,1,1,1,2,3,1,1,1,2,1,2,3,0,2,1,1,0,1,1,1,1,2,0,1,2,3,2,2,1,0,2,0,3,0,1
7,1,3,0,1,1,1,3,2,1,2,1,0,2,1,1,0,0,1,2,0,3,2,1,1,3,2,1,0,0,1,2,3,3,1,2,3,0,2,2,3
8,0,1,0,0,0,3,1,4,3,0,4,1,2,0,2,0,1,1,0,2,2,1,0,1,0,0,1,0,1,0,2,0,1,2,0,2,0,2,1,1
9,3,0,3,0,2,1,4,1,1,0,0,1,3,1,1,0,0,3,1,4,0,3,0,1,2,3,3,2,2,0,2,0,0,2,1,2,0,2,1,3
10,1,0,0,1,2,0,0,2,2,1,1,2,1,0,0,2,1,0,2,0,0,1,1,1,4,0,0,0,2,0,0,0,0,4,0,1,1,1,0,2
11,1,0,0,3,2,1,1,0,1,1,1,1,0,1,1,4,0,1,1,0,1,2,4,1,2,0,2,1,1,1,3,0,0,1,0,2,1,1,1,2
12,0,2,2,3,0,1,1,0,5,5,5,0,0,0,1,2,0,1,5,5,1,1,0,1,2,0,1,0,3,2,1,1,1,0,0,0,2,1,0,5
13,0,1,2,1,1,2,1,0,3,0,2,0,0,2,0,3,1,2,1,1,2,0,5,2,0,2,2,0,0,1,1,0,0,2,1,1,2,1,2,5
14,3,0,1,1,0,3,0,1,0,1,2,2,4,0,1,0,1,1,1,1,0,4,1,0,4,0,0,1,1,0,0,4,1,1,2,2,1,0,0,1
15,1,0,1,0,3,1,1,3,3,1,0,1,1,3,0,0,1,2,3,4,2,1,0,1,4,3,1,3,0,1,3,1,0,0,1,0,1,2,2,1
16,1,0,2,1,1,2,0,2,2,0,0,0,0,4,1,0,2,1,0,1,1,0,3,0,4,0,0,0,0,1,1,2,0,3,0,1,2,0,0,2
17,4,1,1,0,2,0,1,1,0,0,1,4,1,1,0,0,0,3,1,1,0,2,0,1,3,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
18,2,1,0,2,0,4,2,2,0,2,3,2,1,1,2,0,1,1,1,2,2,1,4,0,4,0,2,0,1,2,2,3,0,1,0,4,1,0,2,2
19,1,1,1,1,0,2,0,1,1,1,3,0,2,0,0,2,0,3,2,0,1,0,1,3,3,1,0,0,3,1,1,3,2,1,1,2,1,1,0,0
20,3,1,0,0,0,0,0,1,2,1,1,3,1,0,2,1,1,2,3,1,1,0,0,1,1,2,1,0,0,0,2,0,0,0,1,3,0,1,0,2
21,0,0,4,0,1,0,2,3,0,2,0,1,3,2,1,1,1,3,2,1,2,0,1,2,1,0,1,0,3,1,1,1,0,1,0,4,0,1,0,0
22,2,4,4,2,1,1,1,1,5,1,3,0,0,3,1,1,1,2,0,0,2,0,0,3,1,1,0,5,0,0,1,5,3,0,5,0,2,1,0,2
23,3,1,0,1,0,0,1,2,2,1,1,1,1,2,0,0,0,0,1,0,1,0,0,0,3,1,1,0,1,1,2,1,1,3,0,1,0,1,1,3
24,1,2,1,2,1,3,1,0,3,1,0,1,0,3,0,4,3,1,4,0,0,1,1,0,2,1,2,1,0,1,1,0,1,0,0,1,3,0,1,3
25,1,2,1,3,0,2,0,2,3,0,1,0,1,0,0,1,2,1,2,0,3,1,0,3,1,2,2,1,1,0,1,0,0,1,2,0,0,1,0,1
26,1,1,1,0,3,2,2,3,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0
27,0,0,2,0,1,3,1,0,1,1,1,0,0,0,1,4,0,1,1,1,1,1,4,1,1,0,1,1,1,1,0,2,1,1,0,1,0,1,3,1
28,3,1,4,1,0,0,1,0,2,1,0,2,0,0,0,0,1,2,1,2,2,1,0,1,1,3,2,1,1,4,1,2,0,0,0,0,0,0,2,0
29,0,2,3,1,5,1,2,0,1,0,4,0,0,0,0,1,1,3,2,0,1,4,3,0,4,1,0,0,0,2,2,0,0,4,0,2,1,5,0,3
30,1,2,1,2,2,1,0,0,1,0,2,1,0,0,0,0,0,2,2,1,0,0,1,1,0,1,1,1,1,1,1,0,2,0,1,2,0,1,1,1
31,1,3,1,1,0,1,1,4,4,1,1,1,2,1,0,2,2,2,1,1,2,2,3,1,1,1,1,0,4,0,1,2,2,0,0,4,3,0,0,3
32,2,2,0,0,0,0,0,0,2,1,1,4,0,4,2,2,1,0,2,2,1,1,0,0,4,0,4,1,1,1,0,1,0,0,2,2,0,0,1,2
33,0,1,1,1,0,0,2,1,1,0,1,0,0,3,0,3,1,2,3,0,0,0,1,1,2,1,3,0,0,3,1,1,0,1,1,2,1,1,3,0
34,1,0,1,2,1,3,3,3,0,0,0,0,1,1,2,1,1,1,1,0,0,1,0,4,3,1,0,0,0,1,0,0,1,4,4,0,4,1,3,3
35,1,1,1,3,3,2,1,1,3,1,2,2,2,2,0,1,2,3,2,1,1,0,2,2,2,0,1,2,0,2,2,2,1,0,1,1,1,1,0,1
36,2,0,2,2,1,2,2,2,2,3,1,2,2,1,0,2,1,0,2,2,2,1,0,1,3,2,0,0,1,0,2,2,0,1,2,0,0,0,0,2
37,3,4,0,1,1,1,1,1,2,0,2,1,0,0,1,2,0,2,2,0,3,1,1,3,1,2,2,1,0,0,1,1,1,1,0,2,4,3,1,0
