,Juventus scored,Juventus received,Milan scored,Milan received,Fiorentina scored,Fiorentina received,Roma scored,Roma received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Catania scored,Catania received,Lazio scored,Lazio received,Parma scored,Parma received,Torino scored,Torino received,Atalanta scored,Atalanta received,Inter scored,Inter received,Reggina scored,Reggina received,Udinese scored,Udinese received,Siena scored,Siena received,Empoli scored,Empoli received,Napoli scored,Napoli received,Palermo scored,Palermo received,Genoa scored,Genoa received,Livorno scored,Livorno received
0,5,1,3,0,3,1,2,0,2,0,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,3,0,2,0,2,0,3,1,5
1,8,3,4,1,4,2,5,0,4,3,2,1,2,2,2,2,2,4,4,4,3,1,3,1,3,3,1,6,1,5,1,5,5,2,4,4,0,3,3,9
2,8,4,5,2,6,4,7,0,5,4,2,3,2,4,2,2,3,5,5,5,5,3,5,1,3,5,2,6,2,6,1,5,7,2,5,5,1,4,4,10
3,10,6,6,3,7,4,9,2,5,5,2,3,2,5,3,4,4,6,6,6,7,4,7,3,3,7,4,6,3,7,1,5,7,2,6,5,1,4,6,12
4,14,6,7,5,9,6,11,4,6,8,2,6,3,5,6,5,6,6,6,8,8,5,10,3,3,11,6,9,4,8,1,6,8,2,8,6,4,6,6,13
5,15,6,8,6,12,6,12,8,7,8,5,6,4,6,7,6,7,8,6,9,8,8,14,4,4,12,8,10,4,9,4,7,9,4,9,9,6,7,6,16
6,16,7,13,7,13,7,15,8,7,10,5,7,5,6,8,11,7,11,7,9,8,8,16,5,5,13,8,10,7,9,4,10,10,6,10,10,8,7,6,17
7,17,7,13,8,16,7,19,12,8,11,8,7,6,7,9,11,7,14,9,11,10,10,17,5,5,14,9,11,7,12,5,10,14,10,11,11,8,8,6,18
8,18,10,13,9,16,7,20,12,8,13,8,9,8,7,9,12,10,16,11,11,11,10,17,5,5,14,10,11,7,12,5,11,17,11,11,11,8,8,8,21
9,21,10,18,9,17,7,23,14,10,15,8,14,9,8,11,15,11,17,12,13,13,12,21,6,6,17,12,12,8,13,5,14,17,12,12,12,9,12,11,22
10,22,11,18,9,18,7,25,16,10,18,11,14,10,10,11,16,13,19,12,13,15,13,22,7,7,18,12,12,10,15,7,16,18,13,15,15,12,15,11,22
11,24,13,19,11,19,9,27,16,10,20,14,14,11,11,11,19,15,21,13,14,17,14,25,7,9,18,14,13,12,18,7,19,19,15,17,16,12,17,14,24
12,29,13,21,12,19,9,28,16,11,22,15,17,11,13,12,19,15,22,13,14,18,16,27,8,9,18,16,13,12,20,7,19,21,15,17,21,12,18,17,25
13,29,13,21,12,19,11,30,17,11,22,18,17,14,14,13,20,16,22,14,15,23,17,29,8,9,21,17,15,13,21,7,20,22,20,18,24,13,19,17,25
14,30,13,22,12,19,13,31,18,12,26,20,20,14,16,15,20,16,23,14,19,23,18,33,8,9,22,20,17,16,22,11,21,23,20,20,24,14,22,18,26
15,33,15,23,13,21,15,31,18,12,28,22,22,16,16,17,23,19,23,14,19,24,21,35,8,9,25,20,19,17,23,12,22,24,21,23,25,15,23,19,27
16,35,15,24,15,26,16,33,18,13,33,22,24,17,19,19,25,19,24,15,20,25,22,37,9,12,26,22,21,17,25,14,24,25,22,25,27,16,23,20,28
