,Besiktas scored,Besiktas received,Kasimpasa scored,Kasimpasa received,Fenerbahce scored,Fenerbahce received,Antalyaspor scored,Antalyaspor received,Rizespor scored,Rizespor received,Trabzonspor scored,Trabzonspor received,Galatasaray scored,Galatasaray received,Sivasspor scored,Sivasspor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Kayserispor scored,Kayserispor received,Osmanlispor scored,Osmanlispor received,Konyaspor scored,Konyaspor received,Genclerbirligi scored,Genclerbirligi received,Buyuksehyr scored,Buyuksehyr received,Bursaspor scored,Bursaspor received,Eskisehirspor scored,Eskisehirspor received,Mersin Idman Yurdu scored,Mersin Idman Yurdu received,Gaziantepspor scored,Gaziantepspor received
0,5,2,3,0,2,0,3,2,3,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,2,3,2,3,0,1,0,2,2,5,0,3
1,1,2,1,0,1,1,3,1,1,1,2,1,1,2,2,4,2,0,1,1,2,1,1,1,1,3,0,1,0,1,4,2,0,2,1,0
2,4,0,0,1,2,1,1,2,1,1,2,2,4,1,1,1,2,2,2,1,1,1,1,4,1,0,2,1,1,2,1,1,1,2,0,4
3,2,0,0,1,1,0,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1,2,2,1,2,3,0,2,3,2,0,2,1,1,0,0
4,1,1,3,0,2,1,1,5,5,1,0,1,1,0,0,0,0,2,0,1,4,0,0,0,1,1,2,0,1,2,0,3,0,4,1,0
5,3,2,1,1,2,3,1,1,1,1,1,3,2,1,1,1,1,0,0,1,3,1,2,0,0,1,1,0,2,0,0,2,0,2,1,2
6,2,1,0,0,2,2,0,0,2,3,1,2,2,0,2,2,2,2,0,2,1,2,2,1,2,0,0,2,3,2,1,2,2,2,2,1
7,1,0,2,1,1,0,2,0,0,1,2,3,4,1,1,2,1,0,0,1,0,3,2,1,1,4,3,0,0,2,0,1,3,2,1,2
8,5,1,0,1,1,1,1,5,0,2,2,0,1,1,0,2,2,0,3,1,0,1,0,4,1,0,4,0,1,0,1,3,0,1,1,0
9,3,3,3,3,1,0,1,2,0,0,2,2,4,0,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,2,2
10,1,0,2,1,1,0,1,1,4,3,0,1,3,4,3,0,1,2,1,1,2,0,0,1,1,1,1,0,0,1,0,2,1,1,0,3
11,2,0,0,0,3,1,3,3,1,0,1,0,3,3,0,2,3,1,0,0,0,1,3,2,0,1,1,0,1,3,2,3,1,3,0,1
12,0,2,2,2,2,0,1,1,0,0,0,2,2,2,2,2,2,0,2,1,1,1,0,0,2,2,2,2,1,2,3,2,2,3,2,2
13,2,1,1,0,2,2,2,3,0,3,3,1,3,0,0,1,1,0,1,2,0,1,3,2,0,2,2,0,0,3,1,3,3,0,2,2
14,2,1,2,1,1,0,3,2,3,0,0,3,1,2,1,0,2,3,3,2,4,0,1,2,0,1,0,1,0,4,1,2,2,3,2,1
15,3,2,2,1,1,0,0,3,0,2,3,0,3,2,0,0,2,3,0,0,2,3,1,0,0,1,2,1,0,1,1,2,1,2,2,0
16,4,0,1,1,2,1,0,0,2,1,1,1,1,1,1,2,0,0,1,1,0,0,0,4,0,2,1,2,2,1,2,0,1,2,0,0
17,1,0,1,2,3,0,1,2,2,3,2,4,3,1,1,3,0,2,1,0,0,1,2,0,3,2,2,1,4,2,0,3,0,1,2,1
18,2,0,1,1,2,1,0,1,1,2,0,2,2,3,1,2,0,0,0,1,3,2,1,0,1,0,1,1,3,2,2,1,0,0,2,3
19,4,0,0,1,2,4,4,2,1,1,1,2,0,0,0,4,2,1,0,1,4,0,0,0,1,0,3,3,3,3,1,1,1,0,0,4
20,2,2,1,3,3,1,2,3,1,2,2,1,1,2,2,1,1,0,1,2,1,1,1,1,2,0,2,2,0,2,3,2,2,1,0,1
21,1,0,2,1,0,0,2,1,1,2,1,2,2,1,1,2,0,0,2,2,3,1,2,1,0,1,0,0,0,0,1,2,1,3,2,2
22,0,2,0,2,2,0,0,0,2,0,1,2,0,2,0,0,1,3,0,1,2,1,2,0,3,1,1,0,1,0,0,1,0,2,2,0
23,3,1,2,1,3,0,1,2,0,1,0,2,3,3,0,1,0,3,0,2,1,1,2,0,2,0,3,3,1,0,1,3,1,0,1,1
24,2,1,0,1,1,0,3,0,1,2,1,0,1,1,1,0,3,3,0,1,3,2,1,0,1,1,2,3,0,3,3,3,0,1,0,1
