,Celtic scored,Celtic received,Falkirk scored,Falkirk received,Hearts scored,Hearts received,Rangers scored,Rangers received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Hibernian scored,Hibernian received,Dundee United scored,Dundee United received,Dunfermline scored,Dunfermline received,Inverness C scored,Inverness C received,Motherwell scored,Motherwell received,Kilmarnock scored,Kilmarnock received
0,4,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,4
1,1,2,1,0,2,1,2,2,2,0,1,1,1,2,2,2,0,1,1,1,0,2,2,1
2,2,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,1,0,0,0,2,0,0
3,1,1,1,2,0,2,2,0,1,1,1,1,3,1,0,0,0,0,1,1,1,3,2,1
4,2,1,0,1,4,1,2,2,1,3,1,0,1,2,3,1,0,1,1,4,1,0,2,2
5,1,0,0,4,0,1,4,0,1,0,0,1,3,0,0,3,3,2,4,1,1,4,2,3
6,1,0,0,2,1,0,1,2,0,1,2,0,2,1,0,0,0,1,0,0,0,1,1,0
7,2,0,1,0,3,1,0,2,1,2,1,3,0,1,1,1,2,1,1,1,1,1,1,1
8,1,0,0,1,4,0,1,0,1,0,0,1,0,1,0,4,0,1,1,0,5,0,0,5
9,4,1,1,1,2,2,0,1,1,1,0,1,2,2,1,4,1,2,1,0,2,1,1,0
10,2,1,2,3,0,2,3,2,2,3,3,1,4,0,1,3,0,4,3,2,1,2,2,0
11,2,1,5,1,1,1,1,1,1,1,2,1,1,2,1,5,1,1,1,1,1,1,1,2
12,2,1,3,0,1,2,1,2,0,0,1,1,2,2,2,1,0,3,1,1,0,0,2,2
13,3,1,1,1,1,1,2,0,1,3,2,1,2,0,1,0,0,2,0,2,1,2,0,1
14,3,0,1,2,0,1,1,0,0,2,2,0,6,1,1,2,2,1,0,3,1,6,2,1
15,2,2,2,4,0,0,3,0,0,1,3,0,2,2,1,0,0,3,0,0,4,2,0,3
16,1,0,1,0,2,2,0,1,2,2,0,1,2,1,1,2,1,5,0,1,1,0,5,1
17,2,1,1,2,4,1,3,0,1,1,2,1,0,3,3,1,1,2,1,3,1,4,1,1
18,1,1,2,1,0,1,1,1,0,0,1,0,1,2,3,2,0,0,3,4,2,3,4,3
19,1,0,0,1,1,0,2,1,1,5,1,2,5,1,0,1,0,0,0,0,2,1,1,2
20,2,2,0,1,3,2,1,2,1,0,3,1,2,3,2,2,0,2,2,1,2,0,1,3
21,1,1,3,1,0,0,1,1,1,1,1,3,2,0,3,1,0,2,1,3,1,1,0,0
22,2,0,5,1,1,0,1,0,1,2,0,0,0,0,1,5,0,1,2,1,0,1,0,2
23,2,1,1,0,1,2,5,0,0,0,1,1,2,0,0,5,0,1,1,1,0,0,0,2
24,5,1,0,1,1,0,1,0,1,5,2,0,0,3,0,1,0,1,3,0,0,2,1,0
25,2,1,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,2,0,2,2,0
26,1,0,1,2,1,0,3,1,0,1,3,0,0,1,1,0,0,3,0,1,2,1,1,3
27,2,1,1,2,1,1,2,1,1,1,1,2,0,0,0,0,1,1,0,1,1,0,1,1
28,2,1,1,2,2,0,2,0,0,2,2,1,0,2,0,1,1,2,1,0,0,2,2,0
29,0,1,0,2,0,1,1,0,0,0,1,0,2,0,1,1,0,0,2,3,1,1,3,2
30,0,1,1,0,0,4,3,0,1,1,0,3,1,1,4,0,3,1,1,3,0,1,1,0
31,1,1,2,0,1,0,1,1,0,2,2,1,0,1,1,1,0,2,1,1,2,0,1,2
32,1,0,1,1,1,0,1,0,0,1,2,4,0,1,4,2,1,0,1,1,0,1,0,1
