,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
68,Boavista,Setubal,13,5,1.6666666666666667,2.333333333333333,2.0,1.3333333333333333
69,Leiria,Nacional,16,8,1.0,2.333333333333333,1.0,0.6666666666666666
70,Sp Lisbon,Naval,3,14,2.333333333333333,0.3333333333333333,1.0,1.6666666666666667
71,Maritimo,Guimaraes,6,4,0.3333333333333333,1.0,1.0,1.3333333333333333
72,Belenenses,Leixoes,10,9,1.6666666666666667,1.0,1.0,1.3333333333333333
73,Guimaraes,Pacos Ferreira,3,14,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667
74,Benfica,Boavista,1,15,3.333333333333333,1.0,1.3333333333333333,3.0
75,Est Amadora,Porto,11,2,1.6666666666666667,1.6666666666666667,2.0,1.0
76,Naval,Leiria,12,16,1.0,1.6666666666666667,0.6666666666666666,2.0
77,Setubal,Academica,4,13,3.0,1.6666666666666667,1.3333333333333333,2.0
78,Sp Braga,Sp Lisbon,7,5,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
79,Nacional,Maritimo,10,6,1.0,1.0,1.0,1.0
80,Leiria,Sp Braga,16,7,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333
81,Academica,Benfica,15,1,1.6666666666666667,3.0,3.6666666666666665,1.0
82,Leixoes,Sp Lisbon,9,3,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667
83,Belenenses,Est Amadora,10,11,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667
84,Maritimo,Naval,6,8,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333
85,Pacos Ferreira,Nacional,13,12,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333
86,Porto,Setubal,2,5,1.6666666666666667,1.0,2.0,2.0
87,Boavista,Guimaraes,14,4,2.333333333333333,3.6666666666666665,1.0,1.0
88,Setubal,Belenenses,5,10,2.0,2.0,0.6666666666666666,0.6666666666666666
89,Benfica,Porto,2,1,3.0,1.0,1.6666666666666667,0.6666666666666666
90,Est Amadora,Leixoes,9,12,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333
91,Nacional,Boavista,10,14,0.6666666666666666,1.0,1.3333333333333333,3.333333333333333
92,Naval,Pacos Ferreira,8,13,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
93,Sp Braga,Maritimo,6,7,1.6666666666666667,0.3333333333333333,1.0,1.0
94,Sp Lisbon,Leiria,4,16,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666
95,Guimaraes,Academica,3,15,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665
96,Pacos Ferreira,Sp Braga,13,6,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333
97,Belenenses,Benfica,8,2,0.6666666666666666,0.3333333333333333,1.0,1.0
98,Porto,Guimaraes,1,5,1.6666666666666667,0.0,1.3333333333333333,2.0
99,Academica,Nacional,14,12,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
100,Boavista,Naval,13,9,1.6666666666666667,1.3333333333333333,1.0,1.0
101,Est Amadora,Setubal,11,4,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
102,Leixoes,Leiria,10,16,1.0,1.3333333333333333,0.6666666666666666,1.0
103,Maritimo,Sp Lisbon,7,3,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0
104,Benfica,Est Amadora,2,11,1.0,1.0,0.6666666666666666,0.3333333333333333
105,Nacional,Porto,8,1,1.0,0.3333333333333333,1.0,0.3333333333333333
106,Guimaraes,Belenenses,4,9,1.0,1.0,0.6666666666666666,0.6666666666666666
107,Naval,Academica,11,12,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666
108,Sp Lisbon,Pacos Ferreira,3,15,1.6666666666666667,1.0,0.6666666666666666,2.0
109,Leiria,Maritimo,16,7,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667
110,Leixoes,Setubal,10,5,1.0,1.3333333333333333,1.0,0.6666666666666666
111,Academica,Sp Braga,12,6,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333
112,Boavista,Sp Lisbon,14,3,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0
113,Setubal,Benfica,5,2,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666
114,Est Amadora,Guimaraes,9,4,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0
115,Maritimo,Leixoes,6,12,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333
116,Pacos Ferreira,Leiria,15,16,1.0,1.6666666666666667,1.0,2.0
117,Porto,Naval,1,14,1.0,0.3333333333333333,0.0,1.3333333333333333
118,Belenenses,Nacional,10,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
119,Pacos Ferreira,Maritimo,15,6,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333
120,Benfica,Leixoes,2,12,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333
121,Porto,Sp Braga,1,7,1.6666666666666667,0.3333333333333333,1.0,2.333333333333333
122,Academica,Sp Lisbon,14,4,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333
123,Belenenses,Naval,13,10,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666666
124,Boavista,Leiria,9,16,1.6666666666666667,0.3333333333333333,1.0,2.333333333333333
125,Est Amadora,Nacional,11,8,1.3333333333333333,1.6666666666666667,1.0,0.3333333333333333
126,Setubal,Guimaraes,5,3,0.6666666666666666,1.0,1.0,1.3333333333333333
127,Sp Braga,Belenenses,7,13,1.0,2.333333333333333,0.3333333333333333,1.6666666666666667
128,Guimaraes,Benfica,3,2,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333
129,Leiria,Academica,16,14,1.6666666666666667,2.0,1.6666666666666667,2.333333333333333
130,Leixoes,Pacos Ferreira,9,15,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0
131,Nacional,Setubal,8,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
132,Naval,Est Amadora,11,12,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0
133,Sp Lisbon,Porto,3,1,1.0,1.0,1.6666666666666667,0.6666666666666666
134,Maritimo,Boavista,5,10,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0
135,Est Amadora,Sp Braga,12,7,1.6666666666666667,1.0,1.3333333333333333,2.6666666666666665
136,Benfica,Nacional,2,8,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
137,Porto,Leiria,1,16,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.6666666666666665
138,Academica,Maritimo,13,5,1.0,1.3333333333333333,1.0,1.3333333333333333
139,Belenenses,Sp Lisbon,11,4,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666
140,Boavista,Pacos Ferreira,9,15,2.333333333333333,2.0,2.0,2.0
141,Guimaraes,Leixoes,3,12,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
142,Setubal,Naval,6,10,0.3333333333333333,1.0,2.0,0.6666666666666666
143,Maritimo,Porto,5,1,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666
144,Leixoes,Boavista,12,9,0.6666666666666666,0.6666666666666666,2.333333333333333,2.0
145,Nacional,Guimaraes,7,4,0.3333333333333333,0.0,1.0,1.6666666666666667
146,Naval,Benfica,11,2,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333
147,Pacos Ferreira,Academica,15,13,1.3333333333333333,2.0,1.0,1.3333333333333333
148,Sp Braga,Setubal,8,5,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333
149,Sp Lisbon,Est Amadora,3,14,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333
150,Leiria,Belenenses,16,9,1.3333333333333333,2.333333333333333,1.3333333333333333,0.6666666666666666
151,Guimaraes,Naval,4,11,1.0,1.6666666666666667,1.0,1.3333333333333333
152,Belenenses,Maritimo,9,6,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333
153,Est Amadora,Leiria,12,16,1.6666666666666667,1.6666666666666667,1.0,3.333333333333333
154,Porto,Pacos Ferreira,1,15,3.333333333333333,0.0,1.3333333333333333,2.6666666666666665
155,Benfica,Sp Braga,2,8,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667
156,Nacional,Leixoes,7,14,0.6666666666666666,0.0,1.0,1.6666666666666667
157,Setubal,Sp Lisbon,5,4,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666
158,Academica,Boavista,13,9,1.0,0.6666666666666666,2.333333333333333,2.0
159,Sp Braga,Guimaraes,8,3,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666
160,Boavista,Porto,9,1,2.333333333333333,2.0,3.333333333333333,0.0
