,Antalyaspor scored,Antalyaspor received,Fenerbahce scored,Fenerbahce received,Galatasaray scored,Galatasaray received,Bursaspor scored,Bursaspor received,Trabzonspor scored,Trabzonspor received,Besiktas scored,Besiktas received,Buyuksehyr scored,Buyuksehyr received,Eskisehirspor scored,Eskisehirspor received,Genclerbirligi scored,Genclerbirligi received,Kayserispor scored,Kayserispor received,Ankaragucu scored,Ankaragucu received,Gaziantepspor scored,Gaziantepspor received,Sivasspor scored,Sivasspor received,Denizlispor scored,Denizlispor received,Ankaraspor scored,Ankaraspor received,Diyarbakirspor scored,Diyarbakirspor received,Manisaspor scored,Manisaspor received,Kasimpasa scored,Kasimpasa received
0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.6666666666666667,2.3333333333333335,1.0,3.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.6666666666666667,2.0,1.6666666666666667,1.0,1.6666666666666667,0.0,1.6666666666666667,,,,,,
1,0.3333333333333333,0.6666666666666666,3.0,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.0,2.0,0.6666666666666666,2.0,1.3333333333333333,2.0,2.6666666666666665,1.6666666666666667,2.3333333333333335,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,3.0,0.0,2.0,,,,,,
2,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,3.3333333333333335,1.0,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.0,1.0,1.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.0,1.0,2.3333333333333335,0.0,3.0,,,,,,
3,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,3.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,1.0,1.6666666666666667,1.0,2.3333333333333335,0.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,2.6666666666666665,0.0,3.0,1.6666666666666667,1.3333333333333333,1.0,1.0,0.3333333333333333,3.0
4,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,0.0,1.0,1.0,2.6666666666666665,1.3333333333333333,1.0,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,0.0,3.0,1.0,1.0,1.6666666666666667,1.0,0.0,2.3333333333333335
5,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,3.0,0.3333333333333333,1.3333333333333333,1.0,3.3333333333333335,1.0,0.0,1.3333333333333333,1.0,3.0,2.3333333333333335,1.6666666666666667,2.6666666666666665,1.0,2.3333333333333335,0.0,1.0,1.6666666666666667,1.0,1.0,0.6666666666666666,2.6666666666666665,1.0,1.0,0.0,3.0,0.6666666666666666,0.0,1.3333333333333333,1.0,0.3333333333333333,2.6666666666666665
6,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,2.3333333333333335,0.6666666666666666,3.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.0,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.0,3.0,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333
7,0.6666666666666666,2.3333333333333335,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,3.0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,0.0,2.3333333333333335,1.0,1.0,2.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,3.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,1.0,1.3333333333333333,1.0
8,1.6666666666666667,1.6666666666666667,2.0,1.0,1.6666666666666667,2.3333333333333335,3.0,0.6666666666666666,1.6666666666666667,2.0,2.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,2.0,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.0,1.0,1.6666666666666667,0.0,3.0,0.6666666666666666,3.6666666666666665,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666
9,2.0,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,3.0,3.6666666666666665,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,0.0,3.0,1.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,2.3333333333333335,1.0
10,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,3.3333333333333335,1.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,2.3333333333333335,0.0,3.0,1.0,2.0,1.0,1.0,1.6666666666666667,1.3333333333333333
