,Genoa scored,Genoa received,Verona scored,Verona received,Juventus scored,Juventus received,Milan scored,Milan received,Napoli scored,Napoli received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Sassuolo scored,Sassuolo received,Atalanta scored,Atalanta received,Inter scored,Inter received,Lazio scored,Lazio received,Udinese scored,Udinese received,Torino scored,Torino received,Bologna scored,Bologna received,Parma scored,Parma received,Roma scored,Roma received,Sampdoria scored,Sampdoria received,Benevento scored,Benevento received,Spezia Calcio scored,Spezia Calcio received,Crotone scored,Crotone received
0,1.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,2.6666666666666665,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,2.3333333333333335,0.0,2.6666666666666665,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.3333333333333335,2.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,2.3333333333333335,,,,,,
1,1.0,1.6666666666666667,1.0,1.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.0,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.0,0.6666666666666666,1.6666666666666667,,,,,,
2,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
