,Angers scored,Angers received,Monaco scored,Monaco received,Bastia scored,Bastia received,Reims scored,Reims received,Toulouse scored,Toulouse received,Nantes scored,Nantes received,Paris SG scored,Paris SG received,Caen scored,Caen received,Troyes scored,Troyes received,Lorient scored,Lorient received,Ajaccio GFCO scored,Ajaccio GFCO received,Lyon scored,Lyon received,St Etienne scored,St Etienne received,Bordeaux scored,Bordeaux received,Nice scored,Nice received,Rennes scored,Rennes received,Guingamp scored,Guingamp received,Lille scored,Lille received,Marseille scored,Marseille received,Montpellier scored,Montpellier received
22,24,18,33,28,22,27,23,32,25,41,21,22,58,10,26,28,16,45,32,32,24,31,28,27,25,27,31,30,37,28,32,29,22,30,18,19,33,24,27,29
23,25,20,35,28,22,29,25,33,25,42,24,23,61,11,26,29,16,49,33,35,25,34,31,27,26,27,31,33,38,28,32,30,26,30,19,19,34,24,27,30
24,25,23,36,28,24,29,27,33,25,42,24,23,63,12,26,31,16,51,34,36,25,34,34,27,30,28,32,37,38,29,33,31,26,30,20,20,35,26,28,31
25,25,24,37,29,25,29,27,34,25,44,26,24,63,12,27,35,19,53,35,38,27,37,38,28,31,29,36,39,39,30,34,31,28,34,20,20,36,27,30,31
26,27,27,40,30,25,29,28,38,26,45,26,24,67,13,28,35,20,56,39,41,28,38,38,29,32,30,36,39,39,30,34,32,31,38,21,20,37,28,33,33
27,29,29,40,30,27,29,32,39,27,47,26,24,68,15,30,36,20,57,40,41,29,39,40,30,33,32,37,43,39,32,36,33,33,40,21,23,38,29,36,33
28,29,29,42,32,27,29,32,41,28,48,27,28,68,15,32,38,21,59,40,41,30,40,45,31,33,32,38,44,41,33,40,34,34,45,23,23,39,30,36,33
29,29,31,44,34,28,31,34,43,32,48,29,28,77,15,32,39,21,68,41,42,31,40,47,33,33,34,38,48,43,33,42,36,36,45,25,24,40,31,36,35
30,34,32,46,34,29,32,34,44,32,49,29,30,77,17,34,40,22,70,42,47,31,43,49,33,36,34,39,49,46,33,47,38,37,45,26,24,42,36,36,38
31,35,32,47,36,31,33,35,47,34,49,29,33,81,18,34,42,22,71,43,50,31,45,52,34,38,34,41,50,47,37,50,39,39,47,29,24,43,38,38,40
32,35,32,48,40,31,37,37,48,38,49,30,35,83,18,35,44,22,72,45,51,31,45,54,34,39,34,41,50,50,37,50,42,39,49,33,25,43,38,38,42
33,38,33,50,41,31,38,38,50,39,50,30,37,89,18,35,50,24,73,46,52,33,49,55,35,40,34,42,53,51,38,50,45,42,49,37,27,44,40,40,42
34,38,33,51,42,33,41,38,52,41,53,31,38,90,19,36,51,25,77,46,54,36,51,58,37,42,34,43,54,53,38,51,46,43,50,37,27,45,41,44,43
35,38,34,54,44,33,41,40,55,41,53,32,38,94,19,36,51,27,81,46,55,37,53,60,38,42,34,47,56,53,39,51,50,45,53,38,27,46,41,47,45
36,38,35,55,50,34,41,40,56,42,53,33,40,98,19,38,52,27,82,46,58,37,57,66,39,42,36,50,56,55,39,51,52,45,53,38,27,47,41,49,45
37,40,38,57,50,36,42,44,57,45,55,33,44,102,19,39,52,28,83,47,58,37,58,67,43,42,37,50,57,58,41,52,54,47,56,39,27,48,42,49,47
