,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Feyenoord scored,Feyenoord received,Roda scored,Roda received,Twente scored,Twente received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Heerenveen scored,Heerenveen received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received,VVV Venlo scored,VVV Venlo received,Groningen scored,Groningen received,NAC Breda scored,NAC Breda received,PSV Eindhoven scored,PSV Eindhoven received,Excelsior scored,Excelsior received,Graafschap scored,Graafschap received,Waalwijk scored,Waalwijk received
0,3.0,1.0,2.3333333333333335,2.6666666666666665,2.0,1.6666666666666667,1.6666666666666667,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,1.0,3.0,3.3333333333333335,2.0,1.3333333333333333,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.0,2.3333333333333335,1.0,1.3333333333333333,2.6666666666666665,2.0,0.6666666666666666,2.3333333333333335,,
1,3.3333333333333335,1.0,2.0,2.6666666666666665,2.0,1.3333333333333333,0.0,2.6666666666666665,2.3333333333333335,1.0,2.3333333333333335,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,3.6666666666666665,2.6666666666666665,2.0,2.0,2.0,1.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,2.3333333333333335,,
2,3.3333333333333335,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,2.0,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,3.3333333333333335,0.6666666666666666,3.3333333333333335,2.6666666666666665,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,,
3,3.6666666666666665,1.3333333333333333,2.3333333333333335,0.6666666666666666,2.0,1.0,0.3333333333333333,2.6666666666666665,3.6666666666666665,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,4.0,1.6666666666666667,2.3333333333333335,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,3.3333333333333335,2.0,2.3333333333333335,1.3333333333333333,2.0,3.3333333333333335,0.3333333333333333,0.6666666666666666,3.0,1.0,2.0,1.3333333333333333,0.6666666666666666
4,3.0,1.6666666666666667,3.6666666666666665,0.0,2.0,1.3333333333333333,1.0,2.0,3.3333333333333335,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,2.0,2.0,2.3333333333333335,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,3.0,2.0,3.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,2.3333333333333335,4.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333
5,3.0,1.6666666666666667,3.0,0.3333333333333333,3.0,1.0,1.0,3.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667,2.0,2.6666666666666665,1.6666666666666667,2.0,2.6666666666666665,1.3333333333333333,3.3333333333333335,0.6666666666666666,2.0,1.3333333333333333,2.0,3.6666666666666665,2.0,1.0,3.6666666666666665,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.0
6,2.0,1.6666666666666667,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.0,1.0,4.333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,4.0,2.0,0.6666666666666666,2.3333333333333335,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666
7,1.0,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,5.0,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.0,0.6666666666666666,2.0,1.6666666666666667,3.6666666666666665,1.0,0.6666666666666666,2.0,0.6666666666666666,3.0,1.0,1.6666666666666667
8,1.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,3.0,3.6666666666666665,2.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,0.0,1.6666666666666667,1.0,1.0,2.0,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,3.3333333333333335,0.3333333333333333,0.6666666666666666,2.0,1.0,2.0,0.6666666666666666,2.3333333333333335
9,1.0,1.3333333333333333,2.0,1.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.6666666666666667,2.3333333333333335,1.0,2.0,0.3333333333333333,0.0,1.3333333333333333,2.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,1.0,2.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,3.6666666666666665
10,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.0,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,1.0,1.0,3.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.6666666666666666,2.6666666666666665,1.0,0.3333333333333333,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.0,2.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,3.0
