,Dortmund scored,Dortmund received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Mainz scored,Mainz received,Werder Bremen scored,Werder Bremen received,Schalke 04 scored,Schalke 04 received,Hamburg scored,Hamburg received,Nurnberg scored,Nurnberg received,Hoffenheim scored,Hoffenheim received,Stuttgart scored,Stuttgart received,M'gladbach scored,M'gladbach received,Freiburg scored,Freiburg received,Wolfsburg scored,Wolfsburg received,Augsburg scored,Augsburg received,Ein Frankfurt scored,Ein Frankfurt received,Hertha scored,Hertha received,Braunschweig scored,Braunschweig received
0,1.6666666666666667,2.0,2.0,0.3333333333333333,2.6666666666666665,1.3333333333333333,2.0,1.6666666666666667,2.0,2.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.0,2.0,2.0,1.0,2.0,2.0,1.3333333333333333,,,,
1,2.0,2.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,2.0,2.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,2.6666666666666665,2.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,2.0,1.3333333333333333,1.6666666666666667,3.0,1.6666666666666667,1.0,1.6666666666666667,1.0,1.3333333333333333,,,,
2,1.3333333333333333,1.0,2.0,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,2.0,1.0,1.0,1.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,3.3333333333333335,1.6666666666666667,1.0,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,,,,
3,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,2.0,1.6666666666666667,2.0,0.6666666666666666,1.6666666666666667,3.3333333333333335,3.3333333333333335,2.3333333333333335,1.6666666666666667,3.0,1.6666666666666667,1.6666666666666667,2.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.3333333333333333,0.3333333333333333,2.6666666666666665
4,3.0,1.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.6666666666666666,2.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,2.3333333333333335,3.3333333333333335,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,1.6666666666666667,2.0,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,2.3333333333333335
5,3.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,3.0,1.0,2.3333333333333335,1.0,1.3333333333333333,2.0,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,3.0,2.6666666666666665,1.0,3.0,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,3.0
6,4.0,1.0,3.0,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,2.0,2.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.0,1.3333333333333333,1.0,0.6666666666666666,3.0
7,2.0,1.0,2.3333333333333335,0.6666666666666666,2.0,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,3.0,2.0,1.3333333333333333,2.3333333333333335,2.6666666666666665,2.3333333333333335,1.3333333333333333,1.3333333333333333,3.0,2.0,2.3333333333333335,2.0,0.6666666666666666,2.6666666666666665,1.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.0,2.6666666666666665
8,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.0,1.3333333333333333,1.3333333333333333,3.3333333333333335,2.0,3.3333333333333335,1.6666666666666667,1.3333333333333333,3.0,2.0,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.3333333333333335
9,1.3333333333333333,1.0,1.6666666666666667,1.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,2.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,2.0,3.6666666666666665,1.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.0,2.6666666666666665,1.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667
10,3.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,3.0,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,2.0,1.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,2.0,0.6666666666666666,1.0,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0,2.3333333333333335,1.0,1.6666666666666667,1.0,1.6666666666666667
11,3.3333333333333335,1.3333333333333333,2.3333333333333335,1.6666666666666667,2.6666666666666665,1.0,1.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.0,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,2.3333333333333335,2.3333333333333335,2.0,1.6666666666666667,2.6666666666666665,3.0,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,1.0,2.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,2.3333333333333335,0.3333333333333333,0.6666666666666666
12,2.3333333333333335,2.0,2.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,2.0,1.6666666666666667,1.3333333333333333,2.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,2.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,1.0,2.3333333333333335,1.3333333333333333,3.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333
