,Getafe scored,Getafe received,Barcelona scored,Barcelona received,Malaga scored,Malaga received,Mallorca scored,Mallorca received,Valencia scored,Valencia received,Real Madrid scored,Real Madrid received,Ath Bilbao scored,Ath Bilbao received,Zaragoza scored,Zaragoza received,Osasuna scored,Osasuna received,Villarreal scored,Villarreal received,Almeria scored,Almeria received,Valladolid scored,Valladolid received,La Coruna scored,La Coruna received,Espanol scored,Espanol received,Sevilla scored,Sevilla received,Xerez scored,Xerez received,Santander scored,Santander received,Ath Madrid scored,Ath Madrid received,Sp Gijon scored,Sp Gijon received,Tenerife scored,Tenerife received
23,31,32,59,14,29,29,38,28,42,26,64,18,32,30,29,47,24,26,36,37,27,33,27,42,26,26,18,32,36,25,14,44,24,37,37,37,28,29,20,49
24,31,32,61,16,31,33,41,28,42,26,67,20,34,30,30,48,24,26,36,37,29,35,27,44,29,27,18,32,38,28,18,46,24,37,38,38,28,32,21,52
25,34,32,64,16,31,34,41,31,42,29,71,21,34,30,30,48,24,27,38,37,30,35,28,48,30,28,19,36,39,29,18,48,24,37,39,38,28,32,25,53
26,36,34,68,18,33,34,45,32,44,29,74,22,36,32,32,52,25,30,38,39,30,37,30,48,30,30,21,36,39,31,20,49,27,38,40,42,29,35,26,55
27,38,38,70,18,33,35,45,32,45,29,78,24,36,34,32,53,25,32,40,41,31,37,30,48,31,32,21,36,40,32,21,50,27,38,42,42,31,36,28,57
28,41,39,71,18,34,36,45,33,45,32,81,26,40,37,35,53,26,32,43,41,31,38,30,51,32,35,21,36,40,35,24,50,30,42,44,45,31,36,29,58
29,42,40,75,19,34,38,46,34,48,32,83,26,41,41,37,53,26,35,45,41,32,39,30,53,32,38,22,37,43,35,26,52,30,44,47,45,33,38,29,61
30,43,40,77,19,35,40,49,36,50,35,83,28,45,42,37,55,28,35,46,41,33,43,30,53,33,39,25,37,45,36,26,53,31,45,47,48,33,39,29,61
31,46,40,80,19,37,42,50,37,52,35,85,29,45,44,38,56,30,37,46,44,34,45,32,54,33,42,26,40,46,38,28,54,34,46,48,50,33,41,31,61
32,48,43,80,19,37,42,52,37,52,37,87,29,45,44,38,56,30,39,48,45,34,45,32,54,33,42,26,40,49,38,30,56,36,48,49,52,33,44,34,63
33,52,46,83,20,38,43,53,38,53,37,89,30,45,44,39,58,30,39,50,46,34,46,34,54,33,43,27,40,52,42,31,59,37,50,52,53,33,46,35,66
34,52,46,87,21,39,44,56,39,55,37,92,32,46,47,40,58,32,42,51,50,35,48,34,54,33,44,27,42,55,43,33,60,38,52,53,56,34,47,37,67
35,53,47,91,22,40,45,57,43,58,38,96,33,47,48,41,58,35,43,53,54,39,50,35,57,34,47,27,43,60,44,34,63,39,57,56,57,35,48,38,71
36,55,48,94,24,41,47,57,44,58,40,101,34,48,53,43,61,36,45,55,54,41,52,37,58,35,47,29,44,62,47,37,65,40,59,57,58,36,49,40,73
37,58,48,98,24,42,48,59,44,59,40,102,35,50,53,46,64,37,46,58,57,43,55,37,62,35,49,29,46,65,49,38,66,42,59,57,61,36,51,40,74
