,Getafe scored,Getafe received,Barcelona scored,Barcelona received,Malaga scored,Malaga received,Mallorca scored,Mallorca received,Valencia scored,Valencia received,Real Madrid scored,Real Madrid received,Ath Bilbao scored,Ath Bilbao received,Zaragoza scored,Zaragoza received,Osasuna scored,Osasuna received,Villarreal scored,Villarreal received,Almeria scored,Almeria received,Valladolid scored,Valladolid received,La Coruna scored,La Coruna received,Espanol scored,Espanol received,Sevilla scored,Sevilla received,Xerez scored,Xerez received,Santander scored,Santander received,Ath Madrid scored,Ath Madrid received,Sp Gijon scored,Sp Gijon received,Tenerife scored,Tenerife received
0,4,1,3,0,3,0,2,0,2,0,3,2,1,0,1,0,1,1,1,1,0,0,0,0,2,3,0,1,0,2,0,2,1,4,0,3,0,3,0,1
1,0,2,2,0,0,1,1,1,4,2,3,0,1,0,1,4,1,2,1,1,0,1,2,4,1,0,0,3,4,1,0,1,1,1,1,1,1,0,2,1
2,0,1,5,2,1,2,4,0,2,2,5,0,3,2,1,2,0,2,2,3,1,0,2,1,2,3,3,2,2,0,0,5,2,1,2,5,2,2,0,4
3,3,1,4,1,1,2,0,2,1,3,2,0,0,1,1,1,2,1,0,2,2,2,1,2,3,0,2,1,2,0,0,3,1,4,2,2,1,1,1,0
4,0,3,2,0,0,2,3,0,2,2,3,0,0,4,3,0,1,0,0,1,2,2,0,3,1,0,0,0,4,0,0,0,2,2,2,2,0,1,0,3
5,2,1,1,0,1,1,1,4,1,0,1,2,2,2,1,2,1,2,0,0,0,1,2,2,1,0,0,0,2,1,1,1,0,1,2,1,4,1,0,1
6,1,3,0,0,1,2,3,1,0,0,4,2,1,2,2,2,3,0,1,2,2,1,2,4,1,0,2,1,0,1,2,1,2,2,0,3,2,1,1,2
7,2,0,6,1,1,2,1,1,3,0,0,0,0,2,1,6,1,1,2,1,0,3,4,0,0,4,0,0,0,0,0,1,1,1,1,1,0,0,1,0
8,0,2,1,1,0,1,1,0,1,0,2,0,1,0,2,1,1,1,5,0,1,2,1,1,1,1,1,1,2,0,0,2,0,1,0,1,1,1,0,5
9,0,2,4,2,2,2,2,4,3,1,3,2,2,0,1,3,0,2,2,3,2,0,0,0,2,0,0,1,3,2,0,0,0,2,2,3,1,0,2,2
10,2,0,1,1,1,1,3,1,3,1,1,0,1,1,1,1,1,3,3,1,1,3,1,3,2,1,0,2,2,1,0,0,0,1,1,2,0,0,1,2
11,5,1,1,0,2,2,1,1,1,1,0,1,4,1,0,1,1,0,0,1,1,4,3,3,1,0,0,4,2,2,1,5,0,1,4,0,1,0,3,3
12,2,3,3,1,1,1,4,1,2,1,4,2,1,2,1,4,1,1,3,2,2,4,1,1,1,3,0,4,1,1,0,2,4,0,2,0,1,2,2,1
13,2,1,1,0,1,1,1,0,2,3,3,2,2,1,1,2,0,1,2,1,1,1,1,1,1,1,0,1,1,0,2,3,3,2,1,2,0,1,1,2
14,2,1,2,0,2,1,1,2,0,0,6,0,2,0,0,6,0,2,2,0,0,2,2,1,0,0,2,0,1,2,0,2,0,2,1,1,1,2,1,1
15,1,0,1,1,2,2,2,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,2,0,1,2,0,2,1,2,2,0,2
16,0,1,5,0,1,1,0,2,3,1,2,0,1,1,1,2,0,1,1,1,1,1,0,4,1,0,2,1,1,2,1,3,2,1,4,0,1,0,0,5
17,0,1,4,0,1,0,2,0,4,1,0,1,1,0,0,0,2,0,1,4,1,1,1,1,0,2,0,2,0,4,0,0,1,1,3,2,2,3,1,1
18,1,0,3,0,0,2,1,1,0,0,2,0,1,3,2,4,2,1,4,2,0,1,0,3,3,1,1,1,1,0,1,2,1,0,0,1,0,1,0,0
19,0,0,1,0,2,0,1,2,1,2,3,1,0,1,3,1,2,0,0,2,1,1,1,1,1,3,1,0,2,1,2,1,0,0,0,2,0,1,1,3
20,1,2,2,1,0,0,1,0,2,0,3,0,3,2,2,1,1,0,0,1,3,1,0,2,0,0,0,3,1,2,2,3,1,1,1,1,1,3,0,1
21,2,2,1,2,3,0,0,1,1,1,3,0,1,2,1,1,0,1,2,1,2,2,1,1,0,2,2,0,1,0,0,3,0,3,2,1,1,1,1,0
22,1,2,4,0,2,1,1,3,2,1,6,2,4,1,1,3,1,1,2,6,1,0,1,1,2,1,1,2,3,1,1,2,0,4,0,1,3,1,1,4
23,0,2,2,1,1,2,2,1,1,4,5,1,0,0,2,0,2,3,1,0,2,0,1,2,0,1,1,1,0,0,1,1,0,2,4,1,3,2,1,5
24,0,0,2,2,2,4,3,0,0,0,3,2,2,0,1,1,0,0,0,0,2,2,0,2,3,1,0,0,2,3,4,2,0,0,1,1,0,3,1,3
25,3,0,3,0,0,1,0,3,0,3,4,1,0,0,0,0,0,1,2,0,1,0,1,4,1,1,1,4,1,1,0,2,0,0,1,0,0,0,4,1
26,2,2,4,2,2,0,4,1,2,0,3,1,2,2,2,4,1,3,0,2,0,2,2,0,0,2,2,0,0,2,2,1,3,1,1,4,1,3,1,2
27,2,4,2,0,0,1,0,0,1,0,4,2,0,2,0,1,0,2,2,2,1,0,0,0,1,2,0,0,1,1,1,1,0,0,2,0,2,1,2,2
28,3,1,1,0,1,1,0,1,0,3,3,2,4,3,3,0,1,0,3,0,0,1,0,3,1,3,0,0,0,3,3,0,3,4,2,3,0,0,1,1
