,Galatasaray scored,Galatasaray received,Kayserispor scored,Kayserispor received,Gaziantepspor scored,Gaziantepspor received,Buyuksehyr scored,Buyuksehyr received,Oftasspor scored,Oftasspor received,Ankaragucu scored,Ankaragucu received,Besiktas scored,Besiktas received,Sivasspor scored,Sivasspor received,Bursaspor scored,Bursaspor received,Denizlispor scored,Denizlispor received,Ankaraspor scored,Ankaraspor received,Genclerbirligi scored,Genclerbirligi received,Konyaspor scored,Konyaspor received,Trabzonspor scored,Trabzonspor received,Manisaspor scored,Manisaspor received,Fenerbahce scored,Fenerbahce received,Rizespor scored,Rizespor received,Kasimpasa scored,Kasimpasa received
0,4,0,3,1,2,0,2,0,2,1,2,1,1,0,3,0,0,0,0,0,1,2,1,2,0,1,0,3,1,3,0,2,0,4,0,2
1,1,0,1,1,1,2,1,2,0,2,3,2,2,1,2,1,0,1,2,3,1,2,2,0,1,1,2,0,2,1,2,1,0,2,1,2
2,1,0,2,0,0,1,1,0,0,1,0,1,1,0,0,1,3,1,3,2,1,1,1,3,1,1,5,1,2,3,1,0,1,5,0,2
3,2,2,0,0,0,2,1,3,1,1,2,2,0,0,2,0,1,1,2,2,1,3,2,2,2,2,1,1,2,2,1,1,3,1,3,1
4,6,0,3,4,4,3,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,6,0,0,2,0,1,1,1,1,1,0
5,1,0,3,1,2,1,0,1,1,2,1,0,3,2,2,0,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,0,2,0,1
6,2,1,0,2,1,0,4,1,2,0,0,2,1,2,3,2,2,3,2,0,0,1,3,1,0,1,1,0,1,4,2,0,0,2,1,3
7,1,1,1,1,1,2,2,3,1,1,2,2,1,0,2,2,1,1,0,0,0,0,0,1,3,2,0,0,1,1,1,1,2,1,0,0
8,0,0,1,1,1,2,2,0,2,1,1,2,3,2,1,0,0,2,2,1,0,0,1,1,1,4,2,3,0,1,4,1,2,0,0,2
9,2,1,1,0,1,1,0,0,2,0,1,0,0,0,1,2,1,1,1,2,2,0,0,2,2,1,0,1,0,2,2,1,0,1,1,2
10,1,1,1,1,1,1,1,1,0,1,1,2,1,2,4,0,2,1,2,1,1,2,1,2,1,0,2,1,4,1,2,1,1,4,0,4
