,Galatasaray scored,Galatasaray received,Kayserispor scored,Kayserispor received,Gaziantepspor scored,Gaziantepspor received,Ankaragucu scored,Ankaragucu received,Besiktas scored,Besiktas received,Sivasspor scored,Sivasspor received,Bursaspor scored,Bursaspor received,Denizlispor scored,Denizlispor received,Ankaraspor scored,Ankaraspor received,Genclerbirligi scored,Genclerbirligi received,Konyaspor scored,Konyaspor received,Trabzonspor scored,Trabzonspor received,Manisaspor scored,Manisaspor received,Fenerbahce scored,Fenerbahce received,Rizespor scored,Rizespor received,Buyuksehyr scored,Buyuksehyr received,Oftasspor scored,Oftasspor received,Kasimpasa scored,Kasimpasa received
2,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,1.0,1.0,1.3333333333333333,2.0,1.0,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,,,,,,
3,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,2.3333333333333335,1.0,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.6666666666666665,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667
4,3.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,1.0,3.0,2.0,0.6666666666666666,2.0,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,1.0,0.3333333333333333,1.0,1.3333333333333333,1.0
5,3.0,0.6666666666666666,2.0,1.6666666666666667,2.0,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,0.0,0.6666666666666666,1.0,1.3333333333333333,2.0,0.6666666666666666,2.0,1.0,1.6666666666666667,1.0,3.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666
6,3.0,0.3333333333333333,2.0,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.0,0.6666666666666666,1.3333333333333333
7,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333
8,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.0,2.0,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,1.0,2.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,1.0,1.0,0.6666666666666666,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.6666666666666667
9,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.3333333333333333,2.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333
10,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,1.0,1.6666666666666667,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,2.6666666666666665
11,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,3.0
