,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Galatasaray,Kayserispor,Gaziantepspor,Buyuksehyr,Oftasspor,Ankaragucu,Besiktas,Sivasspor,Bursaspor,Denizlispor,Ankaraspor,Genclerbirligi,Konyaspor,Trabzonspor,Manisaspor,Fenerbahce,Rizespor,Kasimpasa
1,Galatasaray,Ankaragucu,Besiktas,Sivasspor,Kayserispor,Gaziantepspor,Genclerbirligi,Buyuksehyr,Oftasspor,Trabzonspor,Manisaspor,Fenerbahce,Denizlispor,Konyaspor,Bursaspor,Ankaraspor,Rizespor,Kasimpasa
2,Galatasaray,Besiktas,Kayserispor,Trabzonspor,Buyuksehyr,Ankaragucu,Fenerbahce,Sivasspor,Bursaspor,Denizlispor,Gaziantepspor,Genclerbirligi,Oftasspor,Manisaspor,Konyaspor,Ankaraspor,Rizespor,Kasimpasa
3,Galatasaray,Besiktas,Sivasspor,Kayserispor,Trabzonspor,Ankaragucu,Fenerbahce,Buyuksehyr,Bursaspor,Denizlispor,Genclerbirligi,Oftasspor,Manisaspor,Konyaspor,Gaziantepspor,Rizespor,Kasimpasa,Ankaraspor
4,Galatasaray,Sivasspor,Besiktas,Buyuksehyr,Kayserispor,Trabzonspor,Ankaragucu,Fenerbahce,Manisaspor,Gaziantepspor,Kasimpasa,Bursaspor,Denizlispor,Genclerbirligi,Oftasspor,Rizespor,Konyaspor,Ankaraspor
5,Galatasaray,Sivasspor,Besiktas,Kayserispor,Ankaragucu,Trabzonspor,Gaziantepspor,Buyuksehyr,Fenerbahce,Manisaspor,Bursaspor,Kasimpasa,Denizlispor,Genclerbirligi,Oftasspor,Konyaspor,Rizespor,Ankaraspor
6,Galatasaray,Sivasspor,Besiktas,Trabzonspor,Buyuksehyr,Gaziantepspor,Fenerbahce,Kayserispor,Ankaragucu,Denizlispor,Genclerbirligi,Manisaspor,Oftasspor,Bursaspor,Kasimpasa,Konyaspor,Rizespor,Ankaraspor
7,Galatasaray,Sivasspor,Besiktas,Trabzonspor,Fenerbahce,Kayserispor,Buyuksehyr,Gaziantepspor,Ankaragucu,Denizlispor,Manisaspor,Genclerbirligi,Oftasspor,Bursaspor,Konyaspor,Rizespor,Kasimpasa,Ankaraspor
8,Sivasspor,Galatasaray,Besiktas,Fenerbahce,Buyuksehyr,Kayserispor,Trabzonspor,Denizlispor,Gaziantepspor,Ankaragucu,Oftasspor,Rizespor,Genclerbirligi,Manisaspor,Bursaspor,Konyaspor,Kasimpasa,Ankaraspor
9,Galatasaray,Sivasspor,Besiktas,Fenerbahce,Kayserispor,Buyuksehyr,Ankaragucu,Oftasspor,Trabzonspor,Gaziantepspor,Denizlispor,Konyaspor,Rizespor,Genclerbirligi,Manisaspor,Bursaspor,Ankaraspor,Kasimpasa
