,Galatasaray scored,Galatasaray received,Kayserispor scored,Kayserispor received,Gaziantepspor scored,Gaziantepspor received,Buyuksehyr scored,Buyuksehyr received,Oftasspor scored,Oftasspor received,Ankaragucu scored,Ankaragucu received,Besiktas scored,Besiktas received,Sivasspor scored,Sivasspor received,Bursaspor scored,Bursaspor received,Denizlispor scored,Denizlispor received,Ankaraspor scored,Ankaraspor received,Genclerbirligi scored,Genclerbirligi received,Konyaspor scored,Konyaspor received,Trabzonspor scored,Trabzonspor received,Manisaspor scored,Manisaspor received,Fenerbahce scored,Fenerbahce received,Rizespor scored,Rizespor received,Kasimpasa scored,Kasimpasa received
17,34,14,25,17,23,24,22,22,17,17,20,22,24,15,30,13,17,20,23,22,15,22,20,28,23,29,22,24,23,30,32,19,20,32,13,33
18,35,14,28,17,23,29,22,24,19,18,21,23,28,17,32,13,17,21,24,23,16,22,24,29,23,32,23,26,23,31,37,19,21,36,15,37
19,39,14,30,17,24,32,24,27,22,20,21,27,31,18,33,17,19,22,26,26,19,23,25,31,24,35,27,26,26,33,41,20,21,40,15,39
20,45,17,32,17,24,32,26,28,23,23,21,28,31,20,33,17,20,24,28,27,21,23,26,31,25,37,29,27,29,39,44,21,22,42,15,41
21,46,17,35,18,25,35,28,30,23,24,21,30,34,22,34,17,22,26,28,28,23,26,28,32,25,38,31,27,30,41,48,23,24,46,16,41
22,46,18,38,18,26,36,29,32,24,25,23,31,36,23,34,17,24,26,29,30,23,29,34,33,26,44,33,29,32,43,48,25,24,46,17,41
23,46,19,39,19,27,37,30,33,24,25,23,31,37,23,35,17,24,27,30,31,24,30,34,33,27,44,33,30,33,44,48,25,24,46,17,41
24,48,19,39,21,28,38,35,33,26,27,25,34,39,24,38,19,26,29,31,31,24,31,35,35,27,49,35,31,34,48,52,26,25,47,18,43
25,49,19,42,21,29,40,35,34,26,29,27,34,42,24,39,20,28,30,33,32,24,32,35,38,28,53,35,34,35,49,56,27,26,49,19,43
26,51,20,43,23,30,40,37,35,27,29,27,34,43,26,42,20,28,31,34,34,27,33,36,41,28,56,37,35,35,50,59,27,26,49,19,46
27,51,20,44,25,30,40,39,36,28,29,29,34,44,28,46,20,28,33,37,36,28,33,38,44,28,57,37,36,37,51,61,28,27,51,19,50
28,52,20,45,27,32,41,39,37,28,30,30,36,46,29,47,22,29,33,37,38,29,33,38,45,30,59,39,36,37,52,63,29,29,53,20,50
29,53,20,45,28,32,43,42,39,29,30,32,37,46,30,48,22,29,35,39,41,31,35,40,45,32,59,39,37,38,54,65,31,30,53,20,51
30,56,20,46,29,33,43,42,42,30,31,32,40,48,31,50,23,30,35,40,45,32,37,40,45,35,59,39,37,38,55,69,32,31,55,20,52
31,57,20,49,29,34,44,43,44,30,32,34,42,51,31,52,24,30,38,41,47,33,37,42,46,35,61,40,38,40,55,69,33,31,58,22,54
32,62,23,50,29,35,45,44,46,30,34,34,44,53,31,55,29,30,39,43,47,34,37,44,49,36,62,42,39,41,57,72,35,31,59,24,55
33,64,23,50,31,36,45,44,47,30,36,36,44,58,32,57,29,31,40,48,48,35,38,44,51,37,64,44,39,42,62,72,37,32,64,26,56
