,Dortmund scored,Dortmund received,Bayern Munich scored,Bayern Munich received,Schalke 04 scored,Schalke 04 received,Hertha scored,Hertha received,Hoffenheim scored,Hoffenheim received,M'gladbach scored,M'gladbach received,Hamburg scored,Hamburg received,Hannover scored,Hannover received,Ein Frankfurt scored,Ein Frankfurt received,Freiburg scored,Freiburg received,FC Koln scored,FC Koln received,Mainz scored,Mainz received,Augsburg scored,Augsburg received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,RB Leipzig scored,RB Leipzig received,Stuttgart scored,Stuttgart received,Wolfsburg scored,Wolfsburg received
0,3,0,3,1,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,3,0,2,0,2,0,3
1,2,0,2,0,0,1,0,2,2,2,2,2,3,1,1,0,0,1,1,4,1,3,0,1,2,2,0,2,2,2,4,1,1,0,1,0
2,0,0,0,2,3,1,1,1,2,0,0,1,0,2,1,1,1,0,0,0,0,3,3,1,3,0,1,1,1,3,2,0,1,3,1,1
3,5,0,4,0,2,1,1,1,1,1,2,2,0,2,2,0,1,2,0,4,0,5,0,4,2,1,1,2,4,0,2,2,1,0,0,1
4,3,0,3,0,0,3,2,1,3,2,2,0,0,3,1,1,1,0,1,1,0,1,2,3,1,0,1,1,1,2,0,1,0,2,1,1
5,6,1,2,2,0,2,0,1,2,0,1,6,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,2,2
6,2,1,2,2,1,1,2,2,2,3,2,1,0,0,1,2,2,1,3,2,1,2,1,1,1,2,0,0,1,1,2,1,1,2,1,1
7,2,3,5,0,2,0,0,2,2,2,2,0,2,3,1,2,2,1,0,5,1,2,3,2,2,2,0,2,2,2,3,2,2,1,2,2
8,2,2,1,0,2,0,1,1,1,1,1,5,0,1,2,1,2,2,1,1,0,0,0,2,1,2,0,0,5,1,1,0,0,1,1,1
9,2,4,2,0,1,1,2,1,1,3,3,1,1,2,4,2,1,1,0,3,1,2,1,1,3,0,0,3,2,1,0,2,3,0,1,1
