,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Waregem,Club Brugge,Genk,Anderlecht,St Truiden,Charleroi,Westerlo,Gent,Kortrijk,Oostende,Mouscron,Waasland-Beveren,Mechelen,Eupen,Lokeren,Standard
1,Anderlecht,Waregem,Charleroi,Gent,Club Brugge,Genk,Mechelen,Oostende,St Truiden,Lokeren,Standard,Westerlo,Kortrijk,Mouscron,Waasland-Beveren,Eupen
2,Waregem,Anderlecht,Charleroi,Club Brugge,Oostende,Gent,Genk,Mechelen,St Truiden,Eupen,Lokeren,Kortrijk,Standard,Waasland-Beveren,Westerlo,Mouscron
3,Waregem,Anderlecht,Gent,Charleroi,Genk,Oostende,Club Brugge,Mechelen,Kortrijk,St Truiden,Eupen,Mouscron,Lokeren,Standard,Waasland-Beveren,Westerlo
4,Charleroi,Waregem,Genk,Oostende,Anderlecht,Gent,Mechelen,Kortrijk,Club Brugge,Lokeren,St Truiden,Eupen,Standard,Mouscron,Waasland-Beveren,Westerlo
5,Waregem,Anderlecht,Gent,Mechelen,Charleroi,Kortrijk,Genk,Oostende,Club Brugge,Eupen,Standard,Lokeren,Waasland-Beveren,St Truiden,Mouscron,Westerlo
6,Waregem,Anderlecht,Oostende,Gent,Mechelen,Charleroi,Kortrijk,Club Brugge,Genk,Standard,St Truiden,Eupen,Mouscron,Lokeren,Waasland-Beveren,Westerlo
7,Waregem,Anderlecht,Gent,Charleroi,Kortrijk,Club Brugge,Oostende,Standard,Mechelen,Genk,St Truiden,Eupen,Lokeren,Waasland-Beveren,Mouscron,Westerlo
8,Waregem,Anderlecht,Club Brugge,Charleroi,Gent,Oostende,Kortrijk,Genk,Standard,Mechelen,Lokeren,Mouscron,St Truiden,Westerlo,Eupen,Waasland-Beveren
9,Anderlecht,Waregem,Charleroi,Gent,Oostende,Club Brugge,Kortrijk,Genk,Standard,Mechelen,Mouscron,Lokeren,St Truiden,Waasland-Beveren,Westerlo,Eupen
10,Waregem,Anderlecht,Charleroi,Club Brugge,Gent,Oostende,Genk,Standard,Kortrijk,Mechelen,Mouscron,Eupen,Lokeren,St Truiden,Westerlo,Waasland-Beveren
11,Waregem,Anderlecht,Charleroi,Club Brugge,Gent,Oostende,Genk,Kortrijk,Standard,Mechelen,Mouscron,Eupen,Waasland-Beveren,Lokeren,St Truiden,Westerlo
12,Waregem,Anderlecht,Oostende,Charleroi,Club Brugge,Gent,Genk,Kortrijk,Mechelen,Standard,Waasland-Beveren,Eupen,Mouscron,Lokeren,St Truiden,Westerlo
13,Waregem,Anderlecht,Oostende,Club Brugge,Gent,Charleroi,Kortrijk,Genk,Standard,Mechelen,Eupen,Waasland-Beveren,Lokeren,Mouscron,St Truiden,Westerlo
14,Waregem,Oostende,Gent,Club Brugge,Charleroi,Anderlecht,Genk,Kortrijk,Mechelen,Standard,Eupen,Waasland-Beveren,Lokeren,Mouscron,St Truiden,Westerlo
15,Waregem,Oostende,Club Brugge,Gent,Charleroi,Anderlecht,Genk,Kortrijk,Standard,Mechelen,Eupen,Lokeren,Waasland-Beveren,Mouscron,St Truiden,Westerlo
16,Waregem,Club Brugge,Anderlecht,Oostende,Gent,Charleroi,Standard,Mechelen,Genk,Kortrijk,Lokeren,Eupen,Waasland-Beveren,St Truiden,Mouscron,Westerlo
17,Waregem,Club Brugge,Anderlecht,Oostende,Gent,Charleroi,Standard,Mechelen,Genk,Kortrijk,Lokeren,Eupen,St Truiden,Waasland-Beveren,Mouscron,Westerlo
18,Club Brugge,Waregem,Anderlecht,Charleroi,Oostende,Gent,Mechelen,Standard,Genk,Kortrijk,Lokeren,St Truiden,Eupen,Waasland-Beveren,Mouscron,Westerlo
19,Club Brugge,Waregem,Anderlecht,Oostende,Mechelen,Charleroi,Gent,Standard,Genk,Kortrijk,Lokeren,St Truiden,Waasland-Beveren,Eupen,Mouscron,Westerlo
20,Club Brugge,Anderlecht,Waregem,Oostende,Mechelen,Charleroi,Gent,Standard,Genk,Kortrijk,Lokeren,St Truiden,Waasland-Beveren,Eupen,Westerlo,Mouscron
21,Club Brugge,Anderlecht,Waregem,Oostende,Gent,Mechelen,Charleroi,Genk,Standard,Kortrijk,Lokeren,St Truiden,Waasland-Beveren,Eupen,Westerlo,Mouscron
22,Club Brugge,Anderlecht,Waregem,Oostende,Charleroi,Gent,Mechelen,Genk,Standard,Lokeren,Kortrijk,St Truiden,Eupen,Waasland-Beveren,Westerlo,Mouscron
23,Club Brugge,Anderlecht,Waregem,Charleroi,Oostende,Gent,Mechelen,Genk,Standard,Kortrijk,St Truiden,Lokeren,Waasland-Beveren,Eupen,Westerlo,Mouscron
24,Club Brugge,Anderlecht,Waregem,Oostende,Gent,Charleroi,Mechelen,Genk,Standard,Kortrijk,St Truiden,Lokeren,Waasland-Beveren,Westerlo,Eupen,Mouscron
25,Anderlecht,Club Brugge,Waregem,Oostende,Charleroi,Mechelen,Genk,Gent,Standard,Kortrijk,Lokeren,St Truiden,Waasland-Beveren,Eupen,Westerlo,Mouscron
26,Anderlecht,Club Brugge,Waregem,Oostende,Mechelen,Charleroi,Genk,Gent,Standard,Kortrijk,Lokeren,Waasland-Beveren,Eupen,St Truiden,Westerlo,Mouscron
27,Anderlecht,Club Brugge,Waregem,Oostende,Charleroi,Mechelen,Gent,Genk,Standard,Waasland-Beveren,Eupen,Kortrijk,Lokeren,St Truiden,Westerlo,Mouscron
28,Anderlecht,Club Brugge,Waregem,Oostende,Mechelen,Charleroi,Gent,Genk,Standard,Kortrijk,Waasland-Beveren,Eupen,Lokeren,St Truiden,Westerlo,Mouscron
29,Anderlecht,Club Brugge,Waregem,Gent,Oostende,Charleroi,Mechelen,Genk,Standard,Kortrijk,Lokeren,St Truiden,Waasland-Beveren,Eupen,Mouscron,Westerlo
