,Inter scored,Inter received,Napoli scored,Napoli received,Chievo scored,Chievo received,Genoa scored,Genoa received,Juventus scored,Juventus received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Sampdoria scored,Sampdoria received,Roma scored,Roma received,Catania scored,Catania received,Torino scored,Torino received,Udinese scored,Udinese received,Milan scored,Milan received,Bologna scored,Bologna received,Cagliari scored,Cagliari received,Parma scored,Parma received,Pescara scored,Pescara received,Palermo scored,Palermo received,Atalanta scored,Atalanta received,Siena scored,Siena received
0,3,0,3,0,2,0,2,0,2,0,2,1,1,0,1,0,2,2,2,2,0,0,1,2,0,1,0,2,0,2,0,2,0,3,0,3,0,1,0,0
1,1,3,2,1,0,2,2,3,4,1,1,2,3,0,2,1,3,1,3,2,3,0,1,4,3,1,1,3,1,1,2,0,0,3,0,3,1,1,1,2
2,2,0,3,1,1,3,1,3,3,1,2,0,3,1,3,2,2,3,0,2,0,2,2,2,0,1,3,2,1,1,1,3,2,3,1,1,1,0,2,2
3,0,2,0,0,0,2,1,0,2,0,1,1,0,1,1,1,3,0,0,0,1,1,2,1,1,2,1,1,0,3,1,1,1,1,0,1,1,0,2,0
4,2,0,3,0,0,2,1,1,0,0,0,0,0,3,1,1,1,1,2,1,0,0,0,0,2,0,0,1,0,2,1,1,1,0,0,1,1,2,1,0
5,2,1,1,0,1,4,0,0,4,1,1,2,2,1,0,1,1,4,0,4,5,1,0,0,1,1,4,0,1,2,1,1,2,1,4,1,1,5,1,2
6,1,0,2,1,2,1,1,1,2,1,1,0,3,0,1,2,2,0,2,0,0,1,1,2,0,1,0,1,1,0,0,2,0,3,1,1,0,2,1,2
7,2,0,0,2,1,1,2,4,2,0,1,1,3,2,1,2,4,2,0,2,0,0,1,0,2,3,0,1,1,0,2,1,0,1,0,0,2,1,1,2
8,3,1,1,0,0,1,0,1,1,0,2,0,0,2,0,1,2,3,0,1,1,3,3,2,1,0,1,3,1,0,3,1,0,0,0,0,0,0,0,0
9,3,2,0,1,2,0,0,1,2,1,1,0,1,1,2,3,2,3,2,2,1,1,2,2,2,2,1,2,4,2,3,2,0,2,2,2,1,0,2,4
10,3,1,1,1,1,5,0,1,1,3,4,1,0,4,1,2,4,1,4,0,1,1,1,1,5,1,1,1,1,4,0,2,2,0,1,4,2,1,1,0
11,2,3,4,2,2,2,2,4,6,1,3,1,3,2,0,2,2,3,0,0,1,0,2,2,1,3,0,1,0,0,0,0,1,6,2,0,3,2,0,0
12,2,2,2,2,1,2,1,3,0,0,4,1,0,0,3,1,2,0,2,1,0,2,2,2,2,2,3,0,2,2,2,2,0,1,0,3,1,4,1,0
13,0,1,1,0,0,0,1,0,0,1,2,2,3,0,1,0,1,0,1,3,2,2,0,3,1,0,0,1,0,1,1,0,0,1,3,1,0,1,0,0
14,1,0,5,1,4,2,2,4,3,0,2,2,2,1,2,2,3,1,1,3,0,3,4,1,3,1,2,1,1,4,1,2,1,5,0,1,1,2,1,3
15,2,1,1,2,2,0,0,2,1,0,2,4,0,0,0,2,4,2,3,1,2,4,2,0,4,2,0,0,0,2,1,2,2,0,0,1,2,1,1,3
16,0,1,2,3,1,0,1,1,3,0,4,1,1,0,1,3,0,1,3,1,1,1,1,1,4,1,3,2,1,4,4,1,1,4,1,1,0,3,1,4
17,1,1,2,0,0,2,1,1,3,1,3,0,1,0,0,1,4,2,1,2,2,0,1,1,2,4,1,2,1,3,2,1,2,1,0,3,1,1,0,2
18,0,3,4,1,1,0,2,0,1,2,0,2,2,1,2,1,1,4,0,0,0,0,3,0,2,1,0,2,1,2,2,1,2,0,1,2,0,1,1,2
19,2,0,3,0,0,4,1,2,1,1,1,3,2,0,0,0,0,1,1,0,3,2,3,1,0,0,4,0,2,1,1,1,0,2,0,3,0,2,2,3
20,1,1,1,1,1,1,0,2,4,0,1,1,2,2,0,1,1,1,2,0,2,0,0,4,2,1,1,2,1,1,1,1,0,2,2,2,1,1,1,0
21,2,2,2,1,1,0,1,1,1,1,1,2,0,1,6,0,3,3,2,1,2,2,1,0,1,0,3,3,1,1,1,2,0,6,1,1,0,1,0,1
22,1,3,2,0,1,2,3,2,2,1,2,0,2,3,0,0,2,4,0,2,0,0,1,2,2,1,3,2,4,2,0,2,2,3,1,2,2,1,3,1
23,3,1,1,1,1,3,0,0,2,0,0,2,1,1,3,1,1,3,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
