,Dundee scored,Dundee received,Celtic scored,Celtic received,Hearts scored,Hearts received,Aberdeen scored,Aberdeen received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received,Partick scored,Partick received,St Johnstone scored,St Johnstone received,Dundee United scored,Dundee United received,Inverness C scored,Inverness C received,Ross County scored,Ross County received,Kilmarnock scored,Kilmarnock received
0,4,0,2,0,4,3,1,0,1,0,0,0,0,0,3,4,0,1,0,1,0,2,0,4
1,1,2,2,0,2,1,2,0,0,2,0,2,0,2,1,1,2,0,1,1,2,0,0,2
2,2,2,2,2,2,0,1,0,0,2,0,1,0,0,1,1,2,2,0,0,1,1,2,2
3,2,1,4,2,2,1,2,1,1,2,4,0,2,2,1,2,0,4,2,4,1,2,2,2
4,0,2,3,1,3,0,2,0,1,2,2,0,0,3,2,1,1,3,0,2,4,0,0,4
5,1,1,3,1,2,3,2,0,1,0,3,2,0,2,1,3,1,2,1,1,2,1,0,1
6,1,0,1,2,0,2,2,1,1,1,1,4,0,1,4,1,1,2,2,0,1,1,2,1
7,0,6,6,0,1,3,3,1,0,1,1,0,0,1,1,2,1,1,1,1,1,0,2,1
8,3,3,0,0,0,0,1,2,2,1,2,1,1,2,2,1,1,2,2,1,3,3,1,2
9,2,1,2,1,1,1,1,5,1,2,1,2,3,0,5,1,0,3,2,1,1,2,1,1
10,1,1,1,0,1,0,0,2,0,1,1,1,2,1,1,2,0,1,0,2,2,0,2,0
11,1,2,5,0,2,0,1,1,1,1,1,1,1,1,1,0,0,5,0,1,0,2,2,1
12,1,1,3,1,4,0,1,3,1,0,2,4,0,4,4,2,1,0,1,1,0,1,0,1
13,1,1,4,1,2,0,2,0,1,3,0,2,1,1,2,1,0,2,3,1,1,4,1,2
14,1,1,0,0,1,1,1,1,0,3,1,1,2,1,2,1,1,2,1,2,3,0,0,0
15,1,1,3,1,2,2,3,1,2,2,2,1,5,2,1,1,1,2,1,3,1,3,2,5
16,0,2,8,1,2,0,2,0,0,1,1,8,1,0,3,2,1,1,0,2,2,3,1,1
17,1,3,3,0,0,1,1,0,3,1,1,3,1,0,0,3,0,1,2,1,3,1,1,2
18,4,0,1,2,0,0,4,0,2,1,0,4,1,0,0,0,2,2,2,2,0,1,0,4
19,2,5,2,2,2,2,2,2,3,0,0,1,2,0,0,2,0,3,2,2,5,2,1,0
20,0,0,0,0,3,2,0,0,2,0,3,4,0,0,0,2,2,3,4,3,3,2,2,3
21,2,1,1,0,2,2,4,3,3,3,3,3,0,1,3,4,1,2,2,0,0,2,2,2
22,4,2,4,1,6,0,3,2,0,6,0,0,2,4,0,0,1,4,1,2,2,3,2,1
23,0,1,3,1,0,0,1,0,1,2,0,0,0,0,1,3,5,1,0,0,2,1,1,5
24,2,2,1,2,3,0,2,1,2,2,1,0,1,0,1,0,0,1,0,1,0,3,0,1
25,2,0,2,0,1,0,1,3,0,2,0,0,0,1,0,2,0,0,3,1,0,2,2,0
26,0,0,3,0,1,2,2,1,1,2,1,2,1,2,2,1,2,1,0,3,2,1,0,0
27,1,1,1,1,1,0,1,1,3,1,1,1,1,3,1,1,3,0,1,1,0,3,0,1
28,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,2,0,1,0,0,2,0,0,2
29,0,1,2,1,1,0,2,1,2,1,1,0,1,2,1,1,1,2,0,1,1,1,1,2
30,2,2,1,0,0,3,1,2,2,1,1,2,2,1,3,0,2,2,3,0,0,3,0,1
31,5,2,3,1,1,3,3,0,2,1,0,3,0,0,0,1,1,0,1,2,2,5,0,0
32,1,2,2,1,2,1,1,2,1,2,2,1,0,1,0,3,0,2,2,0,1,0,3,0
