,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
3,AZ Alkmaar,Feyenoord,Waalwijk,PSV Eindhoven,Heracles,Ajax,NAC Breda,Sparta,Heerenveen,Den Haag,Nijmegen,Vitesse,Groningen,Twente,Roda JC,Utrecht,Willem II,Roosendaal,
4,AZ Alkmaar,Feyenoord,Waalwijk,PSV Eindhoven,Heracles,Ajax,NAC Breda,Sparta,Groningen,Den Haag,Nijmegen,Willem II,Twente,Utrecht,Heerenveen,Vitesse,Roda JC,Roosendaal,
5,Feyenoord,AZ Alkmaar,Waalwijk,PSV Eindhoven,Ajax,NAC Breda,Heracles,Sparta,Willem II,Utrecht,Heerenveen,Vitesse,Groningen,Den Haag,Nijmegen,Twente,Roda JC,Roosendaal,
6,AZ Alkmaar,Feyenoord,PSV Eindhoven,Waalwijk,Ajax,NAC Breda,Utrecht,Sparta,Heracles,Groningen,Den Haag,Twente,Willem II,Heerenveen,Vitesse,Roda JC,Nijmegen,Roosendaal,
7,Feyenoord,PSV Eindhoven,AZ Alkmaar,Waalwijk,Ajax,NAC Breda,Sparta,Heracles,Twente,Utrecht,Heerenveen,Vitesse,Groningen,Roda JC,Willem II,Nijmegen,Den Haag,Roosendaal,
8,PSV Eindhoven,AZ Alkmaar,Feyenoord,Waalwijk,Ajax,NAC Breda,Vitesse,Groningen,Roda JC,Twente,Utrecht,Heerenveen,Nijmegen,Sparta,Heracles,Den Haag,Willem II,Roosendaal,
9,PSV Eindhoven,AZ Alkmaar,Feyenoord,Waalwijk,Vitesse,Ajax,Groningen,Utrecht,NAC Breda,Heerenveen,Nijmegen,Sparta,Roda JC,Twente,Heracles,Den Haag,Willem II,Roosendaal,
10,PSV Eindhoven,AZ Alkmaar,Feyenoord,Waalwijk,Vitesse,Ajax,Heerenveen,Utrecht,Nijmegen,NAC Breda,Groningen,Twente,Roda JC,Sparta,Heracles,Den Haag,Willem II,Roosendaal,
11,PSV Eindhoven,Feyenoord,AZ Alkmaar,Waalwijk,Vitesse,Ajax,Heerenveen,Utrecht,Nijmegen,Groningen,NAC Breda,Heracles,Twente,Roda JC,Sparta,Den Haag,Willem II,Roosendaal,
12,PSV Eindhoven,Feyenoord,AZ Alkmaar,Vitesse,Waalwijk,Heerenveen,Utrecht,Nijmegen,Ajax,Twente,Groningen,NAC Breda,Heracles,Roda JC,Sparta,Den Haag,Willem II,Roosendaal,
13,PSV Eindhoven,AZ Alkmaar,Feyenoord,Utrecht,Nijmegen,Vitesse,Waalwijk,Ajax,Heerenveen,Groningen,Twente,NAC Breda,Roda JC,Heracles,Sparta,Den Haag,Willem II,Roosendaal,
14,AZ Alkmaar,Feyenoord,PSV Eindhoven,Nijmegen,Waalwijk,Ajax,Utrecht,Vitesse,Groningen,Heerenveen,NAC Breda,Twente,Roda JC,Den Haag,Heracles,Sparta,Willem II,Roosendaal,
15,AZ Alkmaar,PSV Eindhoven,Feyenoord,Ajax,Nijmegen,Waalwijk,Groningen,Heerenveen,Utrecht,Vitesse,Roda JC,NAC Breda,Den Haag,Twente,Heracles,Sparta,Willem II,Roosendaal,
16,PSV Eindhoven,AZ Alkmaar,Feyenoord,Ajax,Waalwijk,Nijmegen,Heerenveen,Vitesse,Utrecht,Groningen,Roda JC,Twente,NAC Breda,Heracles,Den Haag,Sparta,Willem II,Roosendaal,
17,PSV Eindhoven,Feyenoord,AZ Alkmaar,Ajax,Waalwijk,Nijmegen,Heerenveen,Utrecht,Groningen,Vitesse,Roda JC,Heracles,Twente,NAC Breda,Den Haag,Sparta,Willem II,Roosendaal,
18,PSV Eindhoven,Feyenoord,AZ Alkmaar,Utrecht,Groningen,Ajax,Waalwijk,Nijmegen,Heerenveen,Vitesse,Roda JC,Twente,Heracles,NAC Breda,Den Haag,Sparta,Willem II,Roosendaal,
19,PSV Eindhoven,AZ Alkmaar,Feyenoord,Ajax,Nijmegen,Utrecht,Groningen,Waalwijk,Heerenveen,Vitesse,Roda JC,Heracles,Twente,NAC Breda,Den Haag,Sparta,Willem II,Roosendaal,
20,PSV Eindhoven,Feyenoord,AZ Alkmaar,Utrecht,Groningen,Nijmegen,Ajax,Heerenveen,Vitesse,Waalwijk,Roda JC,Heracles,Twente,Sparta,NAC Breda,Den Haag,Willem II,Roosendaal,
21,PSV Eindhoven,Feyenoord,AZ Alkmaar,Nijmegen,Groningen,Heerenveen,Utrecht,Ajax,Vitesse,Waalwijk,Roda JC,Heracles,Twente,Sparta,NAC Breda,Den Haag,Willem II,Roosendaal,
22,PSV Eindhoven,Feyenoord,AZ Alkmaar,Nijmegen,Heerenveen,Ajax,Groningen,Utrecht,Vitesse,Waalwijk,Roda JC,Twente,Heracles,Sparta,NAC Breda,Den Haag,Willem II,Roosendaal,
23,PSV Eindhoven,AZ Alkmaar,Feyenoord,Heerenveen,Ajax,Groningen,Nijmegen,Utrecht,Waalwijk,Vitesse,Twente,Roda JC,Heracles,NAC Breda,Sparta,Den Haag,Willem II,Roosendaal,
24,PSV Eindhoven,Feyenoord,AZ Alkmaar,Ajax,Groningen,Heerenveen,Utrecht,Nijmegen,Twente,Waalwijk,Vitesse,Roda JC,Heracles,NAC Breda,Sparta,Den Haag,Willem II,Roosendaal,
25,PSV Eindhoven,Feyenoord,AZ Alkmaar,Ajax,Groningen,Heerenveen,Utrecht,Nijmegen,Twente,Waalwijk,Vitesse,Roda JC,Sparta,Heracles,NAC Breda,Den Haag,Willem II,Roosendaal,
26,PSV Eindhoven,Feyenoord,AZ Alkmaar,Ajax,Groningen,Heerenveen,Utrecht,Nijmegen,Twente,Waalwijk,Roda JC,Vitesse,NAC Breda,Sparta,Heracles,Den Haag,Willem II,Roosendaal,
