,Bordeaux scored,Bordeaux received,Bastia scored,Bastia received,Lille scored,Lille received,Nancy scored,Nancy received,Lyon scored,Lyon received,Marseille scored,Marseille received,Valenciennes scored,Valenciennes received,Ajaccio scored,Ajaccio received,Lorient scored,Lorient received,Paris SG scored,Paris SG received,Montpellier scored,Montpellier received,Toulouse scored,Toulouse received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received,Sochaux scored,Sochaux received,St Etienne scored,St Etienne received,Troyes scored,Troyes received,Nice scored,Nice received,Brest scored,Brest received,Reims scored,Reims received,Rennes scored,Rennes received
0,3,2,3,2,2,1,1,0,1,0,1,0,1,0,1,0,2,2,2,2,1,1,1,1,2,3,2,3,1,2,0,1,0,1,0,1,0,1,0,1
1,1,0,2,1,1,1,1,1,4,1,2,0,0,0,0,0,2,1,0,0,1,2,2,1,0,1,0,2,1,2,1,4,0,0,1,0,1,2,0,1
2,0,0,2,3,2,2,0,1,1,1,1,0,3,0,0,3,2,2,0,0,0,1,1,0,1,1,0,1,4,0,2,2,2,2,0,4,1,0,3,2
3,1,1,0,3,1,2,0,3,3,2,3,1,2,3,2,0,3,0,2,1,3,1,1,1,0,2,1,3,3,0,1,2,1,1,2,1,1,1,1,3
4,0,0,0,3,1,1,0,1,2,0,1,0,0,0,0,2,2,1,2,0,1,3,0,2,3,0,1,0,0,1,1,1,4,2,2,4,3,1,1,2
5,2,2,0,4,1,1,0,2,1,1,1,0,1,2,2,2,1,1,4,0,1,1,2,2,0,1,3,1,1,1,1,3,1,1,2,1,2,0,2,2
6,2,0,2,2,0,2,0,2,0,2,1,4,4,1,1,0,1,1,2,0,2,0,2,0,1,1,0,2,0,0,0,2,2,2,0,1,0,0,2,0
7,1,1,3,2,2,0,0,4,1,1,2,2,2,2,0,2,1,1,2,2,2,3,2,2,3,2,0,1,4,0,2,3,1,3,1,1,3,1,1,0
8,1,1,0,0,1,1,1,1,1,0,0,1,6,1,0,0,1,6,1,0,1,2,4,0,0,4,1,1,1,1,1,0,1,1,0,1,0,1,2,1
9,1,3,3,1,2,1,0,1,4,1,1,4,1,2,4,4,4,4,1,0,3,1,3,1,1,2,2,1,2,0,1,1,1,3,1,3,1,1,0,2
10,1,0,2,5,2,0,1,2,5,2,2,0,3,1,0,2,0,2,1,2,1,1,0,1,0,2,1,3,2,1,1,1,2,1,2,0,0,1,1,0
11,4,0,2,3,1,0,1,3,1,1,2,2,3,2,4,2,0,4,1,1,1,1,2,4,2,1,1,1,2,0,0,2,2,2,0,1,1,2,3,1
12,1,0,0,3,0,2,3,3,3,0,0,1,1,1,0,1,2,0,1,2,1,1,0,1,2,2,1,0,2,2,3,3,1,0,3,0,0,3,2,1
13,0,1,2,1,0,1,1,1,0,3,1,0,0,1,1,1,1,2,4,0,1,0,3,0,1,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1
14,2,2,0,0,0,0,1,1,1,0,2,1,1,0,0,0,1,0,1,2,0,1,0,1,1,1,2,2,0,0,2,3,2,1,1,2,0,1,3,2
15,0,0,0,0,1,1,1,1,1,0,0,3,1,1,0,3,3,0,4,0,3,0,0,0,0,4,1,1,0,1,1,1,1,1,2,2,0,0,2,2
16,0,0,1,2,2,0,1,1,1,1,2,1,0,4,2,0,2,0,4,0,2,1,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,2,0,1
17,1,1,0,4,1,1,1,1,0,1,1,0,0,2,2,3,2,0,1,0,4,0,0,1,2,3,1,2,0,2,3,2,3,2,2,1,1,1,2,0
18,0,0,4,2,4,1,2,4,3,0,1,0,2,1,2,4,2,2,3,0,1,4,2,0,1,2,0,2,0,1,0,0,0,3,0,3,2,2,4,2
19,2,0,2,1,2,2,2,2,2,1,1,3,0,5,0,0,0,2,0,0,2,0,2,2,0,2,3,1,2,2,1,2,5,0,2,0,1,2,0,2
20,0,1,0,2,0,2,1,2,0,0,3,2,1,1,1,1,3,2,1,0,2,3,2,1,0,0,1,0,1,0,2,3,2,0,0,1,0,1,2,0
21,1,0,0,3,0,1,2,1,2,0,2,2,0,2,1,1,1,2,1,0,2,0,1,1,1,1,0,2,3,0,2,1,0,1,1,2,1,1,2,2
22,2,0,0,0,1,1,1,0,1,3,0,1,0,2,3,1,2,2,4,0,3,1,0,4,0,0,1,2,2,1,1,1,2,0,0,2,1,3,2,2
23,0,1,1,3,3,1,1,2,1,3,1,1,2,1,1,0,1,1,3,1,1,4,0,2,1,1,0,0,4,1,0,0,1,1,1,2,2,1,2,0
24,0,4,0,1,2,0,0,1,4,0,1,0,0,1,1,1,2,1,2,3,1,0,2,2,1,2,3,2,1,1,2,2,1,0,1,1,1,1,0,2
25,0,2,0,0,3,1,0,3,3,1,0,2,0,0,1,3,1,3,2,0,1,0,0,0,0,1,2,2,3,0,0,0,2,0,2,0,0,2,2,2
26,1,2,1,0,2,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,1,2,4,0,1,2,0,4,1,1,1,0,0,2
27,1,0,0,1,3,1,1,2,0,0,0,0,1,3,1,0,0,1,2,1,0,2,1,0,5,1,1,5,2,2,4,2,2,0,0,1,2,4,2,2
28,0,0,4,1,1,2,1,0,1,4,0,0,1,1,0,0,4,0,2,2,1,1,0,0,2,1,1,1,2,2,1,1,0,1,0,4,1,0,0,1
29,1,1,4,3,2,1,2,0,1,2,1,0,3,4,2,3,1,1,1,0,0,1,3,2,2,2,2,1,2,2,2,2,0,1,1,2,2,2,0,2
30,0,1,4,0,5,0,1,0,0,1,1,0,1,3,0,0,0,5,2,0,3,1,3,4,0,1,0,0,1,0,0,1,4,3,0,4,1,0,0,2
31,4,2,1,4,0,0,1,1,3,1,0,0,0,0,1,1,4,1,1,0,2,4,1,3,4,2,0,3,0,0,0,1,3,0,0,2,2,0,2,4
32,2,2,1,2,2,1,3,1,2,1,1,0,1,0,2,4,1,0,3,0,1,2,0,1,1,3,2,2,4,2,2,1,0,3,0,1,0,1,1,2
33,0,0,0,0,3,3,0,0,1,1,1,0,0,0,2,1,0,1,1,0,1,2,0,0,0,1,3,3,1,1,1,3,3,1,0,2,0,0,2,0
34,0,0,1,2,2,4,0,3,3,0,2,1,1,1,1,1,0,1,1,1,2,1,4,2,0,1,1,0,0,0,1,0,3,0,1,2,1,1,0,3
35,3,2,3,1,3,0,2,3,0,1,2,1,4,1,0,1,3,1,1,0,1,3,1,2,4,0,2,0,1,3,1,0,0,4,0,2,0,3,1,4
36,0,1,2,1,0,0,1,2,1,1,0,2,0,2,1,1,0,1,3,1,0,0,2,1,2,0,1,2,2,0,1,0,1,1,1,3,1,0,1,1
37,2,1,0,0,1,1,2,1,2,0,0,0,2,1,0,2,1,3,3,1,0,2,2,0,1,2,0,0,1,1,1,2,2,0,1,2,0,0,0,2
