,Sevilla scored,Sevilla received,Getafe scored,Getafe received,La Coruna scored,La Coruna received,Valencia scored,Valencia received,Ath Madrid scored,Ath Madrid received,Gimnàstic not found scored,Gimnàstic not found received,Barcelona scored,Barcelona received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Recreativo scored,Recreativo received,Villarreal scored,Villarreal received,Real Madrid scored,Real Madrid received,Mallorca scored,Mallorca received,Celta scored,Celta received,Zaragoza scored,Zaragoza received,Betis scored,Betis received,Santander scored,Santander received,Osasuna scored,Osasuna received,Levante scored,Levante received,Espanol scored,Espanol received
13,28,14,11,9,11,17,19,14,19,11,13,29,33,11,16,26,7,20,22,21,15,17,25,11,11,17,19,20,28,17,14,19,12,18,15,18,12,20,14,15
14,31,15,11,10,11,19,20,14,20,11,15,32,34,12,18,26,10,22,23,24,16,21,26,11,12,19,20,21,28,18,15,20,14,19,19,19,13,21,14,16
15,35,15,11,11,11,23,23,15,21,12,15,33,35,13,18,26,10,22,26,24,17,23,26,14,13,22,20,21,28,18,16,20,16,20,21,20,14,23,15,16
16,36,17,12,12,13,23,24,15,21,12,15,33,36,14,21,27,12,23,27,24,17,24,26,16,14,25,20,22,30,19,17,20,16,22,22,22,16,23,15,17
17,37,19,15,13,14,24,27,15,24,13,16,36,37,17,21,28,12,24,28,25,18,24,27,16,16,26,21,25,30,20,18,25,17,22,27,23,16,26,18,18
18,37,19,16,13,14,24,28,15,25,13,16,39,40,17,21,28,12,25,28,25,18,24,28,16,16,27,21,26,30,20,19,26,18,23,27,24,16,26,18,18
19,41,21,18,13,15,25,29,17,26,14,20,39,43,18,23,28,12,27,29,27,19,24,28,17,18,28,22,29,31,21,21,27,19,24,27,26,18,30,18,22
20,41,21,18,14,16,25,32,18,27,17,21,40,43,18,24,30,12,27,31,28,20,26,28,18,18,29,23,30,33,22,23,28,20,24,27,26,19,30,19,24
21,41,21,21,14,18,25,32,21,28,17,23,43,45,18,24,31,13,29,32,30,20,28,30,19,20,30,23,32,34,24,23,28,20,26,30,28,21,31,21,24
22,44,22,21,16,18,25,34,22,29,20,24,47,46,20,26,31,13,30,33,30,20,29,30,19,21,33,24,32,35,24,23,28,24,27,30,29,21,31,24,25
23,44,22,21,16,19,25,35,23,30,21,25,48,49,20,26,34,13,31,33,30,22,30,31,20,22,35,26,34,35,24,23,28,26,29,30,31,21,31,26,25
24,46,23,22,17,19,26,36,23,30,22,27,48,50,22,26,36,15,34,34,30,23,31,32,21,25,36,26,35,38,26,24,28,27,29,30,32,22,34,27,26
25,46,24,23,18,19,28,37,24,32,22,28,48,53,25,27,37,18,35,35,31,25,31,35,24,26,39,27,36,39,27,25,29,28,30,31,33,22,36,28,27
26,48,24,23,19,20,28,37,26,32,23,28,50,57,25,27,40,19,36,35,35,26,32,37,24,28,39,27,38,40,27,25,31,30,30,34,33,23,37,29,28
27,48,24,25,21,21,30,40,28,33,24,29,51,59,26,31,45,20,36,36,36,29,35,39,25,29,40,28,40,42,29,28,34,35,34,34,33,23,38,31,31
28,48,24,25,23,22,30,40,29,34,24,29,52,59,27,32,45,20,37,40,38,29,36,41,25,31,40,30,44,43,29,29,35,35,34,34,35,24,39,32,31
29,48,26,28,23,22,31,42,29,35,24,30,52,60,27,34,46,21,37,41,39,29,39,42,27,31,41,31,44,43,30,29,36,37,35,35,36,24,40,33,33
30,52,27,29,24,23,31,43,31,35,26,30,53,60,29,35,50,23,37,45,41,31,39,44,28,32,41,31,46,45,30,31,38,39,39,35,37,25,41,35,35
31,55,28,30,24,23,31,45,31,35,26,30,56,61,29,36,54,23,38,45,43,34,39,48,29,35,41,31,49,47,32,31,38,39,39,37,39,25,42,36,38
32,57,31,32,24,24,33,47,32,36,28,30,58,63,29,36,54,23,40,45,43,35,39,51,31,38,42,31,50,47,32,31,40,39,39,38,42,27,42,38,39
33,59,32,33,28,25,34,49,32,40,29,31,61,64,30,37,55,26,41,46,45,39,40,55,34,40,42,32,52,47,34,32,41,39,41,39,46,29,43,41,43
34,61,33,38,29,26,36,50,32,40,35,32,62,70,30,40,59,29,42,48,48,41,41,58,36,40,43,33,55,51,37,33,42,40,43,43,47,30,47,42,48
35,64,34,38,30,27,39,52,35,42,35,32,64,71,30,41,59,29,44,48,49,44,43,61,37,40,44,35,56,52,40,34,44,42,46,45,47,33,49,43,48
36,64,34,38,31,29,44,54,39,44,38,33,64,73,32,42,62,29,44,53,51,47,44,63,39,40,44,38,58,54,42,34,49,42,46,50,47,37,51,45,50
37,64,35,39,33,32,45,57,42,46,39,34,69,78,33,44,62,32,47,54,52,48,44,66,40,41,47,40,59,55,43,36,49,42,48,51,49,37,53,46,53
