,Roma scored,Roma received,Udinese scored,Udinese received,Napoli scored,Napoli received,Cesena scored,Cesena received,Juventus scored,Juventus received,Milan scored,Milan received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Sassuolo scored,Sassuolo received,Palermo scored,Palermo received,Atalanta scored,Atalanta received,Torino scored,Torino received,Inter scored,Inter received,Verona scored,Verona received,Genoa scored,Genoa received,Lazio scored,Lazio received,Fiorentina scored,Fiorentina received,Chievo scored,Chievo received,Empoli scored,Empoli received,Parma scored,Parma received
0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0
1,1.5,0.0,1.0,1.0,1.0,1.0,0.5,1.5,1.5,0.0,4.0,2.5,1.0,1.5,1.5,0.5,0.5,4.0,1.0,1.5,1.0,0.5,0.0,1.0,3.5,0.0,1.0,0.5,0.5,1.0,2.0,1.5,0.0,1.0,0.5,0.5,0.0,1.5,2.0,3.0
2,1.6666666666666667,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.6666666666666667,1.3333333333333333,0.0,2.6666666666666665,2.0,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,2.6666666666666665,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.6666666666666665
3,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,2.0,0.0,2.3333333333333335,2.3333333333333335,0.6666666666666666,2.0,1.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.3333333333333333,1.6666666666666667,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.6666666666666665,3.0
4,2.0,0.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,2.0,2.3333333333333335,0.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.0,2.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,2.0,2.6666666666666665
5,2.0,1.3333333333333333,2.0,1.0,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,3.0,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,3.3333333333333335,0.0,2.0,1.3333333333333333,1.3333333333333333,1.0,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.0,1.3333333333333333,2.6666666666666665
6,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,2.3333333333333335,1.0,2.0,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.3333333333333333,1.0,1.0,1.0,3.0,0.6666666666666666,1.6666666666666667,1.0,1.0,3.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335
7,1.6666666666666667,1.0,1.0,0.6666666666666666,3.3333333333333335,1.6666666666666667,0.6666666666666666,1.3333333333333333,2.0,1.0,2.0,0.6666666666666666,2.0,1.0,1.0,0.6666666666666666,2.0,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,3.0,1.6666666666666667,1.0,2.3333333333333335,1.0,1.3333333333333333,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0
8,1.6666666666666667,0.0,0.6666666666666666,1.3333333333333333,3.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,1.0,0.6666666666666666,1.0,2.3333333333333335,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,3.3333333333333335,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,2.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.6666666666666667
9,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.3333333333333335,3.0,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,0.6666666666666666,2.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,2.3333333333333335,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,1.3333333333333333
