,Aberdeen scored,Aberdeen received,Hibernian scored,Hibernian received,Rangers scored,Rangers received,Celtic scored,Celtic received,Dundee United scored,Dundee United received,Hearts scored,Hearts received,St Johnstone scored,St Johnstone received,St Mirren scored,St Mirren received,Motherwell scored,Motherwell received,Kilmarnock scored,Kilmarnock received,Inverness C scored,Inverness C received,Hamilton scored,Hamilton received
0,4,0,3,2,2,1,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,4
1,5,0,3,5,5,1,5,0,1,5,5,1,1,2,1,5,3,3,1,3,4,1,0,8
2,5,1,3,6,7,2,6,0,2,6,6,2,2,4,2,5,3,4,2,3,4,2,1,8
3,6,4,4,7,9,3,9,0,5,7,6,5,2,6,3,7,5,4,4,4,5,3,2,10
4,7,5,5,8,13,3,11,1,5,11,9,6,4,7,4,9,6,5,5,6,6,6,3,11
5,9,8,6,10,16,5,13,2,6,11,9,8,4,8,5,11,8,5,7,8,8,7,5,13
6,9,10,6,12,18,6,16,3,8,12,10,10,6,8,6,14,11,6,8,10,10,7,6,16
7,9,11,8,13,22,7,18,4,9,14,11,10,7,9,8,16,12,10,9,12,11,8,8,18
8,13,13,10,17,25,8,19,7,10,16,14,10,9,10,8,19,14,11,10,14,13,9,9,20
9,14,15,10,18,26,9,22,7,11,16,14,13,9,13,10,20,14,12,13,14,14,10,10,20
10,14,24,10,20,29,10,31,7,12,16,16,13,9,16,11,23,16,13,16,14,15,12,10,21
11,15,26,13,20,29,13,31,9,13,18,18,13,9,20,13,24,20,13,19,14,17,13,10,24
12,15,28,15,21,31,13,32,9,14,19,20,13,9,22,13,25,21,15,20,15,20,14,11,27
13,15,29,17,25,34,15,33,10,15,20,22,13,10,22,14,26,22,16,22,18,24,16,11,29
14,15,31,17,25,38,15,35,12,15,24,24,14,10,22,14,26,23,18,24,18,26,18,11,29
15,15,34,19,25,39,15,38,12,17,24,24,15,12,22,14,28,23,19,25,18,26,20,11,31
16,15,39,21,26,40,16,39,13,19,24,29,15,14,23,15,30,23,21,26,19,27,21,12,33
17,16,41,22,28,42,17,40,14,19,24,30,16,14,23,16,32,25,22,28,20,28,22,13,34
18,18,42,23,30,46,18,42,14,21,25,32,17,14,25,18,33,26,26,29,22,29,24,14,36
19,19,42,25,32,48,18,43,14,23,27,34,17,14,27,18,35,26,27,32,23,30,27,14,37
20,20,43,25,33,48,20,45,14,24,28,35,17,15,27,18,37,26,27,34,23,30,28,14,37
21,22,43,25,36,52,20,48,14,26,28,35,19,16,28,18,39,26,27,35,24,30,28,14,41
22,22,44,25,38,52,21,49,14,27,29,36,19,16,28,18,39,28,27,36,25,31,29,15,42
23,24,44,25,40,54,21,53,14,28,30,36,23,17,28,19,40,28,28,37,26,31,31,16,43
24,25,44,25,43,55,21,57,14,31,30,37,23,17,29,20,40,28,29,37,30,31,32,16,44
25,25,44,27,44,61,21,60,15,32,33,39,23,17,29,23,43,28,35,38,32,34,35,16,46
26,30,44,28,44,61,24,63,15,33,35,41,24,17,31,23,44,29,35,38,37,36,35,16,47
27,30,44,30,44,65,24,63,17,34,36,41,24,17,35,23,46,31,35,40,37,36,37,17,48
28,31,47,31,45,66,24,65,17,37,37,41,26,18,36,23,47,31,38,42,37,39,37,17,50
29,31,48,32,48,67,24,68,18,38,37,44,28,18,36,25,50,32,41,45,38,39,38,17,50
30,32,50,34,50,69,27,70,21,41,39,46,30,18,36,28,51,34,42,45,38,42,40,18,53
31,32,51,35,50,70,27,71,21,43,39,46,30,18,38,28,52,34,42,46,39,43,41,18,54
32,34,54,36,52,72,28,72,21,44,41,47,31,18,39,31,54,36,43,47,41,44,42,20,55
