,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,Celtic,Rangers,Aberdeen,Motherwell,Kilmarnock,Hearts,Dundee United,Inverness C,Hibernian,St Mirren,Hamilton,St Johnstone
4,Rangers,Celtic,Hearts,Aberdeen,Motherwell,Kilmarnock,Hibernian,Dundee United,Inverness C,St Johnstone,St Mirren,Hamilton
5,Rangers,Celtic,Motherwell,Hearts,Dundee United,Aberdeen,Inverness C,Kilmarnock,Hibernian,Hamilton,St Johnstone,St Mirren
6,Celtic,Rangers,Motherwell,Dundee United,Inverness C,Hearts,Aberdeen,Kilmarnock,St Johnstone,Hibernian,Hamilton,St Mirren
7,Rangers,Celtic,Motherwell,Inverness C,Hearts,Dundee United,St Johnstone,Hibernian,Aberdeen,Kilmarnock,Hamilton,St Mirren
8,Rangers,Celtic,Motherwell,Hearts,Inverness C,St Johnstone,Dundee United,Aberdeen,Hibernian,Kilmarnock,Hamilton,St Mirren
9,Rangers,Celtic,Motherwell,Inverness C,Hearts,Dundee United,St Johnstone,Aberdeen,Kilmarnock,Hamilton,Hibernian,St Mirren
10,Rangers,Celtic,Motherwell,Hearts,Dundee United,Inverness C,Kilmarnock,St Johnstone,Aberdeen,Hamilton,Hibernian,St Mirren
11,Rangers,Celtic,Motherwell,Hearts,Inverness C,Dundee United,Kilmarnock,Hibernian,St Mirren,St Johnstone,Aberdeen,Hamilton
12,Rangers,Celtic,Hearts,Motherwell,Inverness C,Dundee United,Kilmarnock,Hibernian,St Mirren,St Johnstone,Aberdeen,Hamilton
13,Rangers,Celtic,Hearts,Inverness C,Motherwell,Dundee United,Kilmarnock,Hibernian,St Johnstone,St Mirren,Aberdeen,Hamilton
14,Rangers,Celtic,Hearts,Inverness C,Motherwell,Kilmarnock,Dundee United,Hibernian,St Johnstone,St Mirren,Aberdeen,Hamilton
15,Rangers,Celtic,Hearts,Inverness C,Kilmarnock,Motherwell,Dundee United,Hibernian,St Johnstone,St Mirren,Aberdeen,Hamilton
16,Rangers,Celtic,Hearts,Inverness C,Dundee United,Kilmarnock,Motherwell,Hibernian,St Johnstone,St Mirren,Hamilton,Aberdeen
17,Rangers,Celtic,Hearts,Kilmarnock,Inverness C,Motherwell,Dundee United,St Johnstone,Hibernian,St Mirren,Hamilton,Aberdeen
18,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Inverness C,Motherwell,St Johnstone,Hibernian,St Mirren,Aberdeen,Hamilton
19,Rangers,Celtic,Hearts,Kilmarnock,Dundee United,Inverness C,Motherwell,Hibernian,St Johnstone,St Mirren,Aberdeen,Hamilton
20,Rangers,Celtic,Hearts,Kilmarnock,Dundee United,Inverness C,Motherwell,St Johnstone,Hibernian,Aberdeen,St Mirren,Hamilton
21,Rangers,Celtic,Hearts,Kilmarnock,Dundee United,Inverness C,Motherwell,St Johnstone,Hibernian,Aberdeen,St Mirren,Hamilton
22,Rangers,Celtic,Hearts,Kilmarnock,Dundee United,Motherwell,Inverness C,St Johnstone,Hibernian,Aberdeen,St Mirren,Hamilton
23,Rangers,Celtic,Hearts,Kilmarnock,Dundee United,Motherwell,St Johnstone,Inverness C,Aberdeen,Hibernian,St Mirren,Hamilton
24,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,St Johnstone,Inverness C,Aberdeen,Hibernian,St Mirren,Hamilton
25,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,St Johnstone,Inverness C,Aberdeen,Hibernian,St Mirren,Hamilton
26,Celtic,Rangers,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,St Johnstone,Aberdeen,Hibernian,St Mirren,Hamilton
27,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,Aberdeen,Hibernian,St Johnstone,St Mirren,Hamilton
28,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,Hibernian,St Johnstone,Aberdeen,St Mirren,Hamilton
29,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,St Johnstone,Hibernian,Aberdeen,St Mirren,Hamilton
30,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,St Johnstone,Hibernian,Aberdeen,St Mirren,Hamilton
31,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,Hibernian,St Johnstone,Aberdeen,St Mirren,Hamilton
32,Rangers,Celtic,Hearts,Dundee United,Kilmarnock,Motherwell,Inverness C,Hibernian,St Johnstone,Aberdeen,St Mirren,Hamilton
