,Ath Bilbao scored,Ath Bilbao received,Celta scored,Celta received,Getafe scored,Getafe received,Real Madrid scored,Real Madrid received,La Coruna scored,La Coruna received,Valencia scored,Valencia received,Osasuna scored,Osasuna received,Sevilla scored,Sevilla received,Ath Madrid scored,Ath Madrid received,Alaves scored,Alaves received,Barcelona scored,Barcelona received,Zaragoza scored,Zaragoza received,Cadiz scored,Cadiz received,Villarreal scored,Villarreal received,Mallorca scored,Mallorca received,Betis scored,Betis received,Espanol scored,Espanol received,Malaga scored,Malaga received,Sociedad scored,Sociedad received,Santander scored,Santander received
18,20,27,20,22,24,25,33,21,26,19,28,17,26,19,22,18,18,20,16,29,47,16,25,23,14,21,25,17,18,32,15,25,17,23,23,28,26,36,16,21
19,23,30,22,22,29,25,36,22,28,21,30,17,27,21,25,20,20,20,16,31,49,16,25,25,15,24,27,18,20,34,15,27,17,28,23,30,29,39,18,24
20,24,30,23,24,29,26,38,23,30,24,32,19,27,23,27,20,23,22,19,32,52,16,27,27,16,25,27,20,20,37,17,27,20,29,24,33,30,42,19,25
21,25,32,24,24,31,28,42,23,30,25,33,19,28,23,27,21,26,23,21,34,53,19,31,30,17,26,28,21,21,39,20,31,20,33,26,34,32,43,19,26
22,25,34,25,24,32,29,44,23,31,25,34,19,29,24,31,21,27,23,24,36,53,20,32,31,17,30,28,22,22,40,20,32,20,35,28,37,32,44,21,26
23,26,34,25,25,32,32,47,23,32,26,36,20,32,25,32,21,30,23,24,39,58,21,33,32,18,33,32,22,24,40,21,37,20,39,28,39,33,46,21,27
24,27,35,27,25,33,33,48,25,34,27,37,21,33,27,32,26,35,23,26,41,60,21,33,34,18,35,33,23,26,41,23,37,25,39,28,44,33,48,23,29
25,28,37,29,25,34,33,50,26,36,30,37,21,33,29,34,27,36,25,28,44,63,23,36,35,20,35,36,25,26,41,23,38,25,41,28,44,34,51,23,29
26,29,37,29,27,36,34,50,26,36,31,37,21,35,30,35,29,38,26,30,45,64,25,37,37,20,36,37,26,27,42,24,39,27,41,29,45,35,51,24,31
27,30,37,29,28,37,36,50,26,38,32,38,23,39,32,36,30,39,27,30,45,66,25,38,37,20,36,38,27,28,43,24,39,29,45,29,46,35,53,26,32
28,31,38,29,29,38,39,51,27,40,33,39,24,41,32,37,30,39,28,31,45,69,26,39,38,20,37,39,28,29,43,25,39,30,46,30,48,35,55,26,33
29,32,38,31,29,40,40,55,27,40,37,39,25,41,33,38,30,40,29,31,45,69,26,39,38,21,38,40,30,29,45,27,40,30,46,30,48,36,57,26,33
30,32,38,34,29,44,40,56,28,42,37,44,28,41,37,39,32,40,32,31,45,70,27,39,39,24,43,41,30,29,45,29,41,30,46,30,51,39,57,26,35
31,33,39,34,30,46,41,57,29,43,38,45,28,43,38,40,33,41,33,32,47,72,29,40,40,25,44,42,31,30,46,30,42,31,47,31,53,40,58,28,37
32,33,40,36,30,47,42,58,30,43,38,49,28,44,39,40,33,42,33,32,47,73,29,41,42,27,45,42,32,30,46,30,44,31,51,32,54,41,58,28,38
33,33,43,40,30,50,43,60,31,44,39,52,28,45,39,43,35,43,33,32,48,75,32,41,46,28,46,42,34,30,47,30,46,33,51,33,56,43,58,29,41
34,34,44,42,30,51,44,61,31,44,41,55,28,45,40,45,36,43,34,32,51,76,32,42,47,28,47,43,35,31,47,31,47,34,52,35,59,44,60,32,43
35,35,44,42,31,51,47,64,33,46,42,56,30,46,40,48,36,43,35,34,51,77,32,42,48,30,49,45,36,33,48,31,49,35,54,36,61,46,62,34,46
36,37,45,44,33,54,48,67,36,47,44,57,31,47,42,50,36,44,36,34,54,79,32,45,48,31,52,48,39,34,50,33,50,35,56,36,63,48,64,36,47
37,40,46,45,33,54,49,70,40,47,45,58,33,49,43,54,39,45,37,35,54,80,35,46,51,36,52,50,39,37,51,34,51,36,56,36,68,48,65,36,49
